"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient"
"Lachnospiracea_incertae_sedis.Otu1990",48,4.77885003695311e-06,0.000329693599579837,0.115942028985507,-0.768115942028985,0.714380833734662,-2.52819486449563,0.0035383689077412,0.000613395550111126
"Lachnospiracea_incertae_sedis.Otu2746",49,5.63578802700577e-06,0.000329693599579837,0.118357487922705,-0.763285024154589,0.708968259075312,-2.46196651136208,0.00306127790284943,0.000555618871950081
"Lachnospiracea_incertae_sedis.Otu0113",65,8.20139203109298e-05,0.00294875251607593,0.157004830917874,-0.685990338164251,0.615080614285871,-2.2524661284669,0.00462809684529004,0.000971275802674924
"Lachnospiraceae.Otu2512",67,0.000100812051831656,0.00294875251607593,0.161835748792271,-0.676328502415459,0.607301831322947,-3.50296505491031,0.0080882138255617,0.000713436079975163
"Lachnospiracea_incertae_sedis.Otu2549",74,0.000197188245533219,0.00461420494547732,0.178743961352657,-0.642512077294686,0.581371152152208,-2.49453636305466,0.00334584921284112,0.0005937123654144
"Lachnospiraceae.Otu2612",78,0.000270452821939926,0.00527383002782855,0.188405797101449,-0.623188405797101,0.568796022678914,-2.10889994799028,0.00248707225271854,0.000576562324632028
"Lachnospiraceae.Otu2222",86,0.000795574816709411,0.0116352816943751,0.207729468599034,-0.584541062801932,0.523858301967541,-2.25163429201663,0.00617957790682241,0.00129762543804645
"Lachnospiraceae.Otu0220",88.5,0.0012658056034522,0.0164554728448786,0.213768115942029,-0.572463768115942,0.503445106100313,-1.40606489636816,0.00619635023957275,0.00233812781266653
"Ruminococcus.Otu1859",89.5,0.000532215004863976,0.00889559365272645,0.216183574879227,-0.567632850241546,0.540985240679162,-4.42304449852016,0.032509425603219,0.00151544517731368
"Lachnospiraceae.Otu0272",95.5,0.00201389610165729,0.0235625843893902,0.230676328502415,-0.538647342995169,0.482291959937911,-2.74848051681269,0.00352347252090068,0.000524319259621755
"Gemmiger.Otu0907",107,0.00671136356921161,0.0688653769659373,0.258454106280193,-0.483091787439614,0.42336159206315,-1.7705714472336,0.00559361080117108,0.00163944605165163
"Lachnospiracea_incertae_sedis.Otu1152",108,0.00706311558624998,0.0688653769659373,0.260869565217391,-0.478260869565217,0.420709269285688,-1.69164499978671,0.00455802958067153,0.00141104626132053
"Blautia.Otu2495",108,0.00783724720184572,0.0701324597762089,0.260869565217391,-0.478260869565217,0.415266362490185,-2.12044458522167,0.00431031311324725,0.000991268704880846
"Dorea.Otu1142",108.5,0.00839191826381986,0.0701324597762089,0.26207729468599,-0.475845410628019,0.41165543482797,-0.739967585128248,0.00625590591174575,0.00374574121311328
"Blautia.Otu2475",115,0.0145166206986858,0.0893409195231206,0.277777777777778,-0.444444444444444,0.381722840903023,-1.51147528856172,0.0187554547270649,0.00657851998754099
"Lachnospiraceae.Otu0875",117,0.0163448396755052,0.0901113365648887,0.282608695652174,-0.434782608695652,0.374992417925891,-0.0967393909772366,0.00180101089968706,0.00168420473004257
"Blautia.Otu0591",118.5,0.0184843767312592,0.0901113365648887,0.286231884057971,-0.427536231884058,0.367909405989242,-0.862907554032072,0.00208978963076258,0.00114905684099439
"Ruminococcus.Otu1429",120,0.0130663984308956,0.0893409195231206,0.289855072463768,-0.420289855072464,0.387616160117968,-1.51354446010445,0.00257096996442432,0.000900481346299213
"Lachnospiraceae.Otu0578",124,0.0152719520552343,0.0893409195231206,0.29951690821256,-0.400966183574879,0.378856455406231,-2.45055590302048,0.00274275306997069,0.000501759815500753
"Bacteroides.Otu2765",288,0.0329765778885183,0.154330384518266,0.695652173913043,0.391304347826087,0.333019985547679,1.41386538260947,0.00475726146242388,0.0126757279947161
"Clostridium_IV.Otu1864",126.5,0.0171720610036896,0.0901113365648887,0.305555555555556,-0.388888888888889,0.372162520954792,-2.15705068058968,0.00536560631711828,0.00120304493117037
"Ruminococcaceae.Otu2507",126,0.0180231868980886,0.0901113365648887,0.304347826086957,-0.391304347826087,0.369373033877745,-2.92604802313393,0.00260322919280045,0.000342518617257699
"Erysipelotrichaceae_incertae_sedis.Otu0818",281.5,0.0435142488361512,0.188561744956655,0.679951690821256,0.359903381642512,0.315274222091817,4.90821687797078,0.000650962433714888,0.0195468343325657
"Bacteroides.Otu2104",281,0.0503093415820722,0.202972171210429,0.678743961352657,0.357487922705314,0.305682713401762,1.32687501736743,0.0024442634719113,0.00613164775920159
"Bacteroides.Otu2654",278,0.062168696656967,0.234636693834359,0.671497584541063,0.342995169082126,0.291278225606742,3.14897869599825,0.00532532145157143,0.0472370612773671
"Bifidobacterium.Otu1244",136,0.0138930848494391,0.0893409195231206,0.328502415458937,-0.342995169082126,0.384189942291342,-4.77214782960773,0.0102791092911478,0.00037618012221142
"Roseburia.Otu2084",137.5,0.0664909393747241,0.243107497088835,0.332125603864734,-0.335748792270531,0.286594401466767,-0.471152513982724,0.00208959502968385,0.00150740894251457
"Bacteroides.Otu0848",279.5,0.0561843022697117,0.219118778851876,0.67512077294686,0.35024154589372,0.298229940339205,1.04647289926251,0.0108879811725014,0.0224888420160133
"Bacteroides.Otu2375",275,0.0744601680197928,0.263414634146341,0.664251207729469,0.328502415458937,0.27857891498238,1.18249385082043,0.00134325195934399,0.00304876255314046
"Bacteroides.Otu1201",271,0.0937830333606556,0.281349100081967,0.654589371980676,0.309178743961353,0.261711479623735,2.01092302561876,0.00444158582907951,0.0179013675060912
