"Bacteroidales"	"Clostridiales"	"Erysipelotrichales"	"Enterobacteriales"	"Lactobacillales"	"Selenomonadales"	"Unclassified_Bacteria"	"Burkholderiales"	"Bifidobacteriales"	"Verrucomicrobiales"	"Unclassified_Firmicutes"	"Rhizobiales"
0.640088158519691	0.16564294134788	0.000909297442324504	0.000454648768151436	0.000227324389949368	0	0.013639040646982	0.116128895093439	0.000681973122858909	0	0.0102294192320862	0.00113662171480095
0.537410548092078	0.298045798998986	0.0578745246318161	8.51571147740252e-05	0.00170314147415768	0.00366174775667556	0.00919683875856653	0.0337158293431908	0.00127735637579005	0	0.00281018109221598	0.0149019435567359
0.697071122716268	0.166198112801406	0.013392456798781	0.000892857024227144	0	0.014285228421684	0.00803562780692703	0.00401784633277316	0	0.0303524821545355	0.00580353885029011	0
0	0.323519422168109	0	0.303450013064014	0.0682699370979465	0.0226823649950782	0.0305110638624899	0	0.188989094515699	0	0.0450832951833878	0.000270051306466482
0.217471895840457	0.591636049794807	0.0505946089516342	0.000440140830859452	0.000880281576453113	0.000880281576453113	0.011883523120124	0	0.00704219531428649	0.00880270321760059	0.00792245233522262	0
0.722183598610187	0.186640155326885	0.00206291756725915	0	0	0.00309437360745883	0.00283650986317745	0.00219184971481343	0.00219184971481343	0.00038679730856033	0.00361010046160919	0.00876729356191329
0.511223042872527	0.211532550676603	0.000896304347723636	0.000413678973308722	0.0760436233435739	0.145378157406282	0.0168910886841767	0.00330942583988671	0.00158576877829997	0	0.00151682236375611	6.89464974633019e-05
0.746948540001019	0.103661990052122	0.0281303403307188	0.0148939466514538	0.00124120779052617	0.000413736024605055	0.0148939466514538	0.00744717981779679	0.000413736024605055	0	0.00786090373232119	0
0.783754692267698	0.0811969231391919	0.00244372747129269	0.000257234723851245	0.000643086772394365	0.00205787636103648	0.00385851132599113	0.0369048055356947	0.00038585208045776	0	0.000900321421778133	0.00270096134621853
0.799163693797095	0.0282028199017723	0.00154981030264932	0	0.0727150241951065	6.19924368829886e-05	0.00365754562354548	0.000867894007962317	0	0	0.000867894007962317	0.00427746510373259
0.229785077791651	0.319697963832141	0.000176149373758775	0.00176149283575366	0.185130568567319	0.182878853832669	0.015500524254667	0.00176149283575366	0.0343423771024078	0	0.00405142453401989	0.00422757239927347
0.169778827244706	0.678725013447354	0.00485871761169279	0.00305919983510923	0.00431886366561614	0.000899765939418951	0.0420966171323539	0.00233938962432895	0.0079178586032884	0.00539857014174871	0.012236513058147	0.00647827032451224
0.578019834073838	0.285178318358706	0.00844519711729112	0.000383877149880892	0.00307101244729005	0.059849101387701	0.00690973388388898	0.0103644977364293	0.0011516312233677	0	0.000383877149880892	0
0.715480886414441	0.192594139025719	0.0142544930587658	0	0.000134480903306323	0.00107584702215409	0.00228617337161661	0	0.000268961804180543	0	0.0075308594236545	0.00215169279907499
0.667828476599161	0.223325459999555	0.00129087743838979	0.000286861728710573	0.000860585091708744	0.000573723433815398	0.0174976728048059	0.00129087743838979	0.00372919388079759	0.00731490894804208	0.0027251830869738	0.0107571075125504
0.581720910100198	0.294529674310074	0.00767255899263786	0.00532819303286892	0.00213128568400957	0.0245073506202957	0.0049019411528107	0.000852514815745745	0.000213128728139249	0.0223766491921016	0.00916440709796871	0.00404943479824078
0.485651910132267	0.440613559756	0.00886370343678439	0	0.00295460220134667	0.00053720115600456	0.0163839030416229	0.00161160284790144	0.00537198598071786	0.000268600587691545	0.00241740296380616	0
0.644785242052625	0.0499399000096152	0.0118014569785133	0.235810065055159	0.00078678198019593	0.00354051187930407	0.00078678198019593	0	0	0	0	0
0.812287840107512	0.088079015491378	0.00143988431167115	0	0	0.000719942342414573	0.00251979574960635	0	0.00143988431167115	0	0.000719942342414573	0
0.400406402124978	0.482231146862802	0.00207253737636994	0.000414507760150834	0.000207253884526626	0.00103626924458483	0.039782251868874	0.00518132396715547	0.00953353434140201	0	0.0105697513772853	0.00932628967026469
0.776067934753578	0.0997738099607928	0.0118107490324359	0	0.000151423379191171	0.000504744577800737	0.00232182307036549	0.000151423379191171	5.04744599018468e-05	0.0279087531821214	0.000555219030630007	0
0.607996697514755	0.310167632338531	0.0137724583740476	0.00065934061156813	0.000366300358108916	0.001538460931574	0.00373625504348559	0.00608054861109048	0.00593403110843683	0	0.00205128061273501	0.00146520094094914
0.400422546197683	0.480865604118793	0.0100633074654889	0	0.0013934041008884	0.0017030491844937	0.00696696639764756	0.0256977443967065	0	0	0.0250786530263707	0.00882478095332287
0.7500521791306	0.149664596490769	0.0023544252969267	0	0.00028712529753642	0.0113124955953327	0.00212472563229877	0.00178017592894816	0.000803950757544554	0	0.00149305101298553	0.00568505034600626
0.719892754750988	0.17010238818089	0.0123817080488185	8.65875832323519e-05	0.000432937903178109	0.002424449958399	0.00086587572520843	0.0138535701974543	0.000606113046272245	0	0.00614767969290665	0.00744646334959213
0.861074910812116	0.0252883523656794	0	0	0.00160578012082724	0	0	0	0	0.000802890319198071	0	0
