"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Unclassified_Bacteria"	"Actinobacteria"	"Verrucomicrobia"	"Fusobacteria"	"Spirochaetes"	"TM7"	"Lentisphaerae"	"Cyanobacteria_Chloroplast"
0.783790804398649	0.192657372932721	0.0219066585851589	0.00086587583340549	0.000692700666724392	0	0	0	0	8.6587583340549e-05	0
0.239690448425739	0.72670412382063	0.00636064878617619	0.0043464433372204	0.0228983356302343	0	0	0	0	0	0
0.548342435197293	0.410660718406276	0.0290746865625721	0.00207676332589801	0.00984539650796093	0	0	0	0	0	0
0.908560611913776	0.0832882639264467	0.00320636637564707	0.00112029668546705	3.86309201885189e-05	0.00374719925828633	0	0	3.86309201885189e-05	0	0
0.929753895184136	0.0667050283286119	0.00119511331444759	0.00225743626062323	0	8.85269121813031e-05	0	0	0	0	0
0.754910714285714	0.200446428571429	0.00491071428571429	0.00803571428571428	0.000892857142857143	0.0303571428571429	0	0	0	0	0.000446428571428571
0.0643695569859902	0.898523286633851	0.00643695569859902	0.00567966679288148	0.0249905338886785	0	0	0	0	0	0
0.478734696765976	0.502158375203453	0.0124548864199278	0.00629820961007714	0.000353832000566131	0	0	0	0	0	0
0.390965225869353	0.590185245368866	0.00536236594085148	0.00259993500162496	0.0108872278193045	0	0	0	0	0	0
0.819197352089367	0.141911460488209	0.0223417459660736	0.0148944973107158	0.00165494414563508	0	0	0	0	0	0
0.719657545744502	0.261373174416653	0.0167869733087124	0.00100721839852275	0.00100721839852275	0	0.000167869733087124	0	0	0	0
0.225358630263767	0.737621471540953	0.035631652012957	0.001388246182323	0	0	0	0	0	0	0
0.886987787489926	0.103527369660901	0.00564131175996528	0.00365755377843903	0.000185977310768086	0	0	0	0	0	0
0.505237711522965	0.470051034112275	0.0021488047273704	0.0163846360461993	0.0056406124093473	0.0002686005909213	0	0	0.0002686005909213	0	0
0.568017487808979	0.412476879098705	0.013115856734488	0.00470825626366235	0.0013452160753321	0	0	0	0.000336304018833025	0	0
0.611516314779271	0.361996161228407	0.0122840690978887	0.00690978886756238	0.0072936660268714	0	0	0	0	0	0
0.281625881377022	0.718374118622978	0	0	0	0	0	0	0	0	0
0.866752411575563	0.0873311897106109	0.0415434083601286	0.00385852090032154	0.000514469453376206	0	0	0	0	0	0
0.453965612867443	0.534664448141986	0.00305047143649473	0.00831946755407654	0	0	0	0	0	0	0
0.533990623276338	0.437672366243795	0.00537782680639824	0.0168918918918919	0.00234418091560949	0	0.00372311086596801	0	0	0	0
0.266187050359712	0.670263788968825	0.0171862509992006	0.0335731414868106	0.00159872102318145	0.0111910471622702	0	0	0	0	0
0.931913116123642	0.0659983291562239	0	0.00167084377610693	0.000417710944026733	0	0	0	0	0	0
0.306595768752121	0.683674623826225	0.00690123317117321	0.00214956443036543	0.000678809820115398	0	0	0	0	0	0
0.0706857328566786	0.63015924601885	0.257556061098473	0.0232369190770231	0.0159246018849529	0	0.00129996750081248	0	0.00113747156321092	0	0
0.58252427184466	0.368527508090615	0.00242718446601942	0.00323624595469256	0.00121359223300971	0.0420711974110032	0	0	0	0	0
0.690401258851298	0.0664830841856806	0.242328874901652	0.000786782061369001	0	0	0	0	0	0	0
0.684701068424642	0.177767674471471	0.121163900886565	0.0136394635144351	0.00272789270288702	0	0	0	0	0	0
0.000321853878339234	0.99163179916318	0.00740263920180238	0.000643707756678468	0	0	0	0	0	0	0
0.411673633689426	0.538008979718223	0.0410280229137637	0.00696702275894101	0.0013934045517882	0	0	0	0.000154822727976467	0.000774113639882335	0
0.984482581440756	0.0149522145719864	0.000256910903298736	0.000205528722638989	0.000102764361319494	0	0	0	0	0	0
0.934438171553451	0.0457111637224549	0.0151156437807321	0.00418867237297396	0.000424937776968372	0	0.000121410793419535	0	0	0	0
0.728517250948108	0.185089260937934	0.0847285172509481	0.00110998057533993	0.000184996762556655	0.000369993525113311	0	0	0	0	0
