"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","DietStatus_before.diet_vs_after.diet","SE_Intercept","SE_DietStatus_before.diet_vs_after.diet","WaldStatistic_Intercept","WaldStatistic_DietStatus_before.diet_vs_after.diet","WaldPvalue_Intercept","WaldPvalue_DietStatus_before.diet_vs_after.diet","betaConv","betaIter","deviance","maxCooks","replace"
"Selenomonadales",32.6472321031298,-1.60230209040888,0.88070954819724,-1.81933089483212,0.0688609626680652,0.428788413902689,32.6472321031298,4043.13039978347,FALSE,2.762409125698,11,4.27461447494407,3.00491720495822,11,FALSE,3.00491720495822,5.64721937541522,-1.60230209040888,0.628069776491551,0.88070954819724,8.99138851571723,-1.81933089483212,2.44126436153215e-19,0.0688609626680652,TRUE,10,269.209720854254,NA,TRUE
"Verrucomicrobiales",4.90166001514651,3.41329859380485,2.02727934067235,1.68368439678018,0.0922426783949675,0.428788413902689,4.90166001514651,281.027343797753,FALSE,15.5694688608143,9,1.56413189108763,15.5694688608143,11,TRUE,6.48372197586756,-0.270311981466801,3.41329859380485,1.47598661035576,2.02727934067235,-0.183139860192666,1.68368439678018,0.854688280733682,0.0922426783949675,TRUE,13,89.0541320999296,NA,TRUE
"Lactobacillales",17.8024177397703,-1.12059871551591,0.807177872883959,-1.38829216355018,0.16504809749606,0.428788413902689,17.8024177397703,2054.27748828615,FALSE,2.07234330536785,12,5.09968244988405,2.47478802618786,11,FALSE,2.47478802618786,4.60394846740256,-1.12059871551591,0.573787754395451,0.807177872883959,8.02378306635931,-1.38829216355018,1.02537316079389e-15,0.16504809749606,TRUE,7,245.512089685018,NA,TRUE
"Erysipelotrichales",37.7125595885501,0.926276570851551,0.673043319786117,1.37625104301742,0.168743924178057,0.428788413902689,37.7125595885501,1257.7946876428,FALSE,1.42077857121096,11,3.82024188742151,1.74899900592783,11,FALSE,1.74899900592783,4.69162332806908,0.926276570851551,0.484099181136141,0.673043319786117,9.69145065905342,1.37625104301742,3.27838620640346e-22,0.168743924178057,TRUE,5,303.538611501225,NA,TRUE
"Unclassified_Firmicutes",17.1785675749232,-1.09941958159476,0.848181432233829,-1.2962080279207,0.194903824501222,0.428788413902689,17.1785675749232,1112.35657862766,FALSE,2.32458565796804,8,5.01920081628029,2.7424221111198,11,FALSE,2.7424221111198,4.57646877893998,-1.09941958159476,0.603487734215202,0.848181432233829,7.58336668580578,-1.2962080279207,3.36701493051539e-14,0.194903824501222,TRUE,9,242.623646183249,NA,FALSE
"Unclassified_Bacteria",23.6842438256801,0.80323310157954,0.684041278624476,1.17424653552304,0.240296291364146,0.440543200834268,23.6842438256801,828.505087876904,FALSE,1.35521265148456,6,5.19847012439723,1.78318372687603,11,FALSE,1.78318372687603,4.09201557277061,0.80323310157954,0.492156893164775,0.684041278624476,8.31445343873421,1.17424653552304,9.217608268011e-17,0.240296291364146,TRUE,5,275.235447490891,NA,TRUE
"Clostridiales",959.280639080245,-0.544281069799438,0.541764755419271,-1.00464466238344,0.315067983207528,0.495106830754686,959.280639080245,465948.661429751,FALSE,1.12198704388299,9,1.35903027157427,1.16057473293401,11,FALSE,1.16057473293401,10.160699216607,-0.544281069799438,0.388756239640359,0.541764755419271,26.1364273561415,-1.00464466238344,1.40602494034621e-150,0.315067983207528,TRUE,5,518.118285003217,NA,FALSE
"Bacteroidales",7670.58398080662,-0.515172387992433,0.716214807609617,-0.719298711111311,0.471956889888373,0.648940723596512,7670.58398080662,154648031.971842,FALSE,2.05911129144213,11,2.05866494365674,2.03117054012446,11,FALSE,2.03117054012446,13.147501946487,-0.515172387992433,0.514048209512282,0.716214807609617,25.5763986785619,-0.719298711111311,2.79319041069295e-144,0.471956889888373,TRUE,8,643.361267535392,NA,FALSE
"Enterobacteriales",3.24039278707185,0.331344890124231,1.06831064117357,0.310157811177691,0.756440951354229,0.878875121876059,3.24039278707185,49.1386564534738,FALSE,4.07425616872158,6,1.12995840550969,4.07425616872158,11,TRUE,2.85927696274914,1.57599516955857,0.331344890124231,0.765695625170262,1.06831064117357,2.058252806666,0.310157811177691,0.0395658718807679,0.756440951354229,TRUE,8,138.802338865926,NA,TRUE
"Burkholderiales",97.9658326576407,-0.275731650884018,1.23835599133545,-0.222659439461078,0.823800571483644,0.878875121876059,97.9658326576407,41074.2412944493,FALSE,6.47296672712943,9,4.6516950487005,6.05634664146317,11,FALSE,6.05634664146317,6.74830948979563,-0.275731650884018,0.888547265445828,1.23835599133545,7.59476704529575,-0.222659439461078,3.08346638406811e-14,0.823800571483644,TRUE,30,282.106908474617,NA,FALSE
"Rhizobiales",10.5941927067182,0.160809402308793,1.05521197939588,0.152395353207474,0.878875121876059,0.878875121876059,10.5941927067182,342.478643079267,FALSE,4.69292097008221,14,3.17051199893698,4.26301249363841,7,FALSE,4.26301249363841,3.33138165099216,0.160809402308793,0.756357940660276,1.05521197939588,4.40450410037868,0.152395353207474,1.06026135659891e-05,0.878875121876059,TRUE,11,191.443005792029,NA,TRUE
