"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Parabacteroides"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Unclassified_Clostridiales"	"Clostridium_XI"	"Escherichia_Shigella"	"Erysipelotrichaceae_incertae_sedis"	"Unclassified_Bacteria"	"Clostridium_IV"	"Sutterella"	"Megamonas"	"Bifidobacterium"	"Akkermansia"	"Clostridium_XlVa"	"Roseburia"	"Dorea"	"Unclassified_Firmicutes"	"Lactobacillus"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Gemmiger"	"Streptococcus"	"Enterococcus"	"Clostridium_sensu_stricto"	"Oscillibacter"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Unclassified_Prevotellaceae"	"Catenibacterium"	"Unclassified_Burkholderiales"
0.589878607453628	0.00204591809987083	0.0263665743644722	0.0533958555055707	0.0227304817623007	0.0106840431567353	0.00159127007179746	0.0079562697748866	0.0140936457214782	0.00727431638663063	0.0113659748741422	0.00136394592854101	0.000454648768151436	0	0.013639040646982	0.0181849490653494	0.115903092029219	0	0.000681973122858909	0	0.0218214097841396	0.00886553514879451	0.00932016513417783	0.0102294192320862	0	0.000909297442324504	0.000909297442324504	0.00113662171480095	0	0.000227324389949368	0	0.00363718225107263	0	0	0.000909297442324504	0	0.00113662171480095	0	0	0.000227324389949368
0.0632295961346134	0.430424751262718	0.0754627185585684	0.0261402571690571	0.0579595391212444	0.00306565133362456	0.0132841192140895	0.0223944493205753	0.0320136066106297	0.0269915278837212	0.0172008889864231	0.00246955382125436	0	0.00476878035840468	0.00919683875856653	0.00298049460789603	0.0202660060669494	0	0.00127735637579005	0	0.00928199223875189	0.0148167958424023	0.0280981504867547	0.00281018109221598	0.00136251341645976	0.00332112137495406	0.000340628452920733	0.0149019435567359	0.000255471341851929	0	8.51571147740252e-05	0.00451331176578191	8.51571147740252e-05	0	0.00987806468100254	0	0	0.00306565133362456	0.0508169234947251	0.0134544182240144
0.417251307405473	0.0165171061141279	0.0111604825994013	0.245733700990922	0.00401784633277316	0.00803562780692703	0.0303524821545355	0.00982127068169705	0.00491069454885534	0.00267856822557065	0.00803562780692703	0.0410598903541068	0.000446428556599818	0	0.00803562780692703	0.00714279640567046	0.00401784633277316	0	0	0.0303524821545355	0.000892857024227144	0.00267856822557065	0.00446427088566354	0.00580353885029011	0	0.000446428556599818	0.00178571333667532	0	0	0	0.0281212934334847	0.00312499491375933	0	0.0138388439889104	0.0174098347787549	0.000446428556599818	0.0120532795732646	0	0	0
0	0	0.0949154820371732	0	0	0	0	0	0	0.19826640140437	0	0	0.167458216889001	0	0.0305110638624899	0	0	0	0.188989094515699	0	0	0.0045908561395967	0	0.0450832951833878	0	0	0	0	0.012422040777807	0.0558715481980877	0.0297012769710269	0	0.0483203787045724	0	0	0.0911510685440416	0	0	0	0
0.211018471333783	0	0.185120431213797	0	0.0242053827517675	0.0184848627923754	0.00572179976487107	0.0189249266484	0.103687347949151	0.0290452117278619	0.0936132112211289	0.0123236317240446	0.000440140830859452	0.00176056247078078	0.011883523120124	0.0294851641570375	0	0	0.00704219531428649	0.00880270321760059	0.0519132989339063	0.0228853262382511	0.0158444074703464	0.00792245233522262	0	0	0.0444395967791341	0	0.000440140830859452	0	0.000440140830859452	0.00352111948458657	0	0	0	0	0	0	0	0
0.0745827177684366	0.631819724016312	0.071110759955524	0.0141820929178614	0.0357066977461749	0.00760694056119801	0.00541513598953297	0.00954085576768107	0.0239791356663637	0.00889622097302813	0.007864797723689	0.000644662152356319	0	0.000515729734744959	0.00283650986317745	0.00116039169420281	0.00219184971481343	0	0.00219184971481343	0.00038679730856033	0.00232078182593158	0.00489941309612138	0.00283650986317745	0.00361010046160919	0	0.00141825635796036	0.00128932403679815	0.00876729356191329	0	0	0.000128932439044534	0.000515729734744959	0	0	0.00296544175996597	0	0.0118615062799122	0.00128932403679815	0	0
0.502751744303128	0.000275785986575753	0.0749436155577549	0	0.0119274612598712	0.00117209018943604	0.00868714942195853	0.000689464920555036	0.037153613819702	0.0232328795513754	0.0049641274331299	0.0096523597698899	0.000413678973308722	0.000206839491078924	0.0168910886841767	0.00199944709579176	0	0.134180559948152	0.00158576877829997	0	0.00158576877829997	0.0132373409297016	0.0312966005717681	0.00151682236375611	0	0.000620518437840274	0.000551571952175804	6.89464974633019e-05	0.0760436233435739	0	0.000137892994598858	0	0	0.0027578564047779	0	0	0	0	0	0.00330942583988671
0.742780652566555	0.000413736024605055	0.029371035544405	0	0.000413736024605055	0.0136528650468815	0	0.0107569294952956	0.0124117624139894	0.00124120779052617	0.00744717981779679	0.00165494339019811	0.0144802552376781	0.00455108068989523	0.0148939466514538	0.013239166411379	0	0	0.000413736024605055	0	0.00248241366885677	0.00206867870658204	0	0.00786090373232119	0	0.00330988224779672	0.00165494339019811	0	0.00124120779052617	0	0	0.00124120779052617	0.000413736024605055	0	0	0	0	0	0	0.00744717981779679
0.143048613045469	0.638012121425047	0.0140188334184971	0.00334404521440045	0.0280349126951696	0.00115755601158797	0.0312489333020984	0.00385851132599113	0.00784557867711837	0.0077169652075392	0.0029581950424243	0.00308681181818824	0.000128617362989444	0	0.00385851132599113	0.000900321421778133	0.0366477446660032	0	0.00038585208045776	0	0.00218649343466742	0.000900321421778133	0.00475882448199415	0.000900321421778133	0	0.00218649343466742	0.00180064211377597	0.00270096134621853	0.000643086772394365	0	0.00218649343466742	0.000128617362989444	0.000128617362989444	0.000128617362989444	0.000771704103469173	0	0.000514469430681347	0.00154340774736802	0	0
0.77969981599726	0.000247969745149547	0.0109724411637943	0.000247969745149547	0.00154981030264932	0.000123984873527736	6.19924368829886e-05	0.00105387123260642	0.000681916753299911	0.00415348133157735	0.00260367940896487	0	0	0.000433947044839437	0.00365754562354548	6.19924368829886e-05	0	0	0	0	0.00105387123260642	0.00266567163071754	0.000805901592759229	0.000867894007962317	0.000619924329520162	0.0252902182614633	0.0011158636330386	0.00427746510373259	6.19924368829886e-05	0.0717257263476236	0	0.000991878828124151	0	0	0	0	0	0	0	0
