".record.id","feature","abundance.diff"
"SB11","Bacteroides",0.0190315701373379
"SB16","Bacteroides",0.092003328430314
"SB18","Bacteroides",0.559367480403617
"SB28","Bacteroides",0.154208480519351
"SB29","Bacteroides",0.508775590579811
"SB34","Bacteroides",-0.0161706825022208
"SB36","Bacteroides",0.195262738291645
"SB39","Bacteroides",-0.171334711444718
"SB4","Bacteroides",-0.0387699948590264
"SB41","Bacteroides",0.0072594894392215
"SB43","Bacteroides",0.0330760625834244
"SB44","Bacteroides",0.745633982797199
"SB5","Bacteroides",-0.0361082279457851
"SB9","Bacteroides",0.0138349729283709
"SB11","Prevotella",0.0107415606654986
"SB16","Prevotella",0.000302389849576253
"SB18","Prevotella",-0.00206577182765752
"SB28","Prevotella",0
"SB29","Prevotella",0.000359971194529682
"SB34","Prevotella",8.92597641242318e-05
"SB36","Prevotella",-0.266740699916903
"SB39","Prevotella",-0.000112650670033229
"SB4","Prevotella",-0.00010276436113862
"SB41","Prevotella",-0.000214887906810401
"SB43","Prevotella",0.391675121455078
"SB44","Prevotella",-0.000310269929865166
"SB5","Prevotella",-0.626666429928092
"SB9","Prevotella",-0.599571113073502
"SB11","Parabacteroides",-0.102916047742721
"SB16","Parabacteroides",-0.000167019262111807
"SB18","Parabacteroides",-0.000400756274042789
"SB28","Parabacteroides",-0.169218123490478
"SB29","Parabacteroides",0.00636983063478373
"SB34","Parabacteroides",0
"SB36","Parabacteroides",0.0413609546531475
"SB39","Parabacteroides",-4.37305526597639e-05
"SB4","Parabacteroides",-0.000256910900472579
"SB41","Parabacteroides",0.000149687973115741
"SB43","Parabacteroides",0.0550859083764381
"SB44","Parabacteroides",0
"SB5","Parabacteroides",-0.000280687633472942
"SB9","Parabacteroides",0.000382936313741452
"SB11","Faecalibacterium",-0.0112455874031412
"SB16","Faecalibacterium",-0.00715773155105146
"SB18","Faecalibacterium",-0.35024202355562
"SB28","Faecalibacterium",-0.0150124909175339
"SB29","Faecalibacterium",0.00899915859117742
"SB34","Faecalibacterium",0.00544442418238298
"SB36","Faecalibacterium",0.0263520045601488
"SB39","Faecalibacterium",-0.0398897415288473
"SB4","Faecalibacterium",0.00915052280940875
"SB41","Faecalibacterium",-0.0250146106308863
"SB43","Faecalibacterium",0.0291840968666005
"SB44","Faecalibacterium",-0.324205895541366
"SB5","Faecalibacterium",0.114483232790608
"SB9","Faecalibacterium",0.0082088721145408
"SB11","Unclassified_Lachnospiraceae",-0.0267842066675305
"SB16","Unclassified_Lachnospiraceae",0.0191830367535635
"SB18","Unclassified_Lachnospiraceae",-0.0943394985369362
"SB28","Unclassified_Lachnospiraceae",-0.0352205854821048
"SB29","Unclassified_Lachnospiraceae",0.00282496950790587
"SB34","Unclassified_Lachnospiraceae",0.0186745119811172
"SB36","Unclassified_Lachnospiraceae",-0.05678765506727
"SB39","Unclassified_Lachnospiraceae",-0.0180235707214564
"SB4","Unclassified_Lachnospiraceae",0.00520057198166188
"SB41","Unclassified_Lachnospiraceae",0.0060863360258225
"SB43","Unclassified_Lachnospiraceae",-0.153542760256924
"SB44","Unclassified_Lachnospiraceae",-0.179568046373414
"SB5","Unclassified_Lachnospiraceae",0.078339853989634
"SB9","Unclassified_Lachnospiraceae",0.04273062579147
"SB11","Lactobacillus",0
"SB16","Lactobacillus",-5.56730876006802e-05
"SB18","Lactobacillus",0.000619924329520162
"SB28","Lactobacillus",0
"SB29","Lactobacillus",0
"SB34","Lactobacillus",0
"SB36","Lactobacillus",0
"SB39","Lactobacillus",0
"SB4","Lactobacillus",0
"SB41","Lactobacillus",0
"SB43","Lactobacillus",-0.00101821455423225
"SB44","Lactobacillus",-0.000310269929865166
"SB5","Lactobacillus",0.00196099667321945
"SB9","Lactobacillus",0.00449114985304207
"SB11","Enterococcus",0
"SB16","Enterococcus",0
"SB18","Enterococcus",0.0712629776366978
"SB28","Enterococcus",0.000393391020537864
"SB29","Enterococcus",-0.661242043409915
"SB34","Enterococcus",-8.52514917978429e-05
"SB36","Enterococcus",0
"SB39","Enterococcus",0
"SB4","Enterococcus",-0.000177737631059138
"SB41","Enterococcus",0
"SB43","Enterococcus",-0.000678809767984763
"SB44","Enterococcus",0
"SB5","Enterococcus",0.000108944329232145
"SB9","Enterococcus",0.000757288833335057
"SB11","Alistipes",0.200369723654022
"SB16","Alistipes",-0.167405390822759
"SB18","Alistipes",0.000247969745149547
"SB28","Alistipes",0
"SB29","Alistipes",0.0280740658570174
"SB34","Alistipes",-0.0339358451105383
"SB36","Alistipes",0.0273938339888269
"SB39","Alistipes",-0.0044073491123007
"SB4","Alistipes",0
"SB41","Alistipes",0.0116856786629419
"SB43","Alistipes",0.0105802724141499
"SB44","Alistipes",0.00439317642324318
"SB5","Alistipes",-0.000685065516976526
"SB9","Alistipes",0
"SB11","Lachnospiracea_incertae_sedis",-0.0272619727687917
"SB16","Lachnospiracea_incertae_sedis",-0.00351006792974862
"SB18","Lachnospiracea_incertae_sedis",-0.0534332681915397
"SB28","Lachnospiracea_incertae_sedis",-0.059690396664226
"SB29","Lachnospiracea_incertae_sedis",0.00323973515341738
"SB34","Lachnospiracea_incertae_sedis",-0.0164254185037878
"SB36","Lachnospiracea_incertae_sedis",-0.0287436734516321
"SB39","Lachnospiracea_incertae_sedis",-0.00594136832496931
"SB4","Lachnospiracea_incertae_sedis",0.000692086877610528
"SB41","Lachnospiracea_incertae_sedis",-0.00530046931694567
"SB43","Lachnospiracea_incertae_sedis",-0.140675272223493
"SB44","Lachnospiracea_incertae_sedis",-0.120461276858416
