"rownames","q","p-value"
"2 - 1","NE_0.25","0.9458"
"2 - 1","NE_0.5","0.6718"
"2 - 1","NE_1","0.3462"
"2 - 1","NE_2","0.2558"
"2 - 1","NE_4","0.2388"
"2 - 1","NE_8","0.2428"
"2 - 1","NE_Inf","0.2572"
