"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Prevotella.Otu1987"	"Bacteroides.Otu2654"	"Bacteroides.Otu0863"	"Bacteroides.Otu2038"	"Faecalibacterium.Otu0067"	"Alistipes.Otu2508"	"Ruminococcus.Otu1859"	"Bacteroides.Otu2065"	"Bacteroides.Otu0848"	"Prevotella.Otu1994"	"Bacteroides.Otu2431"	"Alistipes.Otu1466"	"Bacteroides.Otu2625"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Blautia.Otu2475"	"Bacteroides.Otu0480"	"Bacteroides.Otu0929"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu0069"	"Escherichia_Shigella.Otu2393"	"Bacteroides.Otu2765"	"Bacteroides.Otu0661"	"Bacteroides.Otu2481"	"Bacteroides.Otu1201"	"Bacteroides.Otu0006"	"Bacteroides.Otu2437"	"Akkermansia.Otu1935"	"Bacteroides.Otu1726"	"Faecalibacterium.Otu0751"	"Bifidobacterium.Otu1244"	"Prevotella.Otu1633"	"Dorea.Otu1142"	"Lactobacillus.Otu0959"	"Megamonas.Otu2657"	"Prevotella.Otu2602"	"Clostridium_XlVa.Otu0236"	"Ruminococcaceae.Otu1504"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu2512"	"Lactobacillales.Otu0504"	"Bacteroides.Otu2104"	"Prevotella.Otu1803"	"Lachnospiraceae.Otu0220"	"Bacteroides.Otu1565"	"Enterococcus.Otu1019"	"Gemmiger.Otu0907"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu2216"	"Megamonas.Otu1877"	"Ruminococcus.Otu0422"	"Parabacteroides.Otu1736"	"Lachnospiraceae.Otu2222"	"Sutterella.Otu1997"	"Clostridium_IV.Otu1864"	"Bacteroides.Otu0877"	"Lachnospiraceae.Otu0898"	"Phascolarctobacterium.Otu1814"	"Prevotella.Otu0634"	"Prevotella.Otu0738"	"Parabacteroides.Otu1378"	"Clostridiales.Otu1597"	"Lachnospiracea_incertae_sedis.Otu1152"	"Prevotella.Otu1319"	"Klebsiella.Otu1452"	"Lachnospiracea_incertae_sedis.Otu0113"	"Blautia.Otu2495"	"Roseburia.Otu1051"	"Bacteroidales.Otu1168"	"Alistipes.Otu0529"	"Bacteroides.Otu2375"	"Prevotella.Otu1563"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu2599"	"Parabacteroides.Otu1107"	"Streptococcus.Otu0749"	"Bacteroides.Otu1624"	"Bacteroides.Otu2534"	"Lachnospiraceae.Otu0272"	"Lachnospiracea_incertae_sedis.Otu1990"	"Prevotella.Otu0882"	"Bacteroides.Otu0786"	"Lachnospiraceae.Otu0875"	"Lachnospiracea_incertae_sedis.Otu0778"	"Ruminococcaceae.Otu0064"	"Bacteroides.Otu1411"	"Prevotella.Otu0773"	"Lachnospiracea_incertae_sedis.Otu2549"	"Roseburia.Otu2084"	"Coprococcus.Otu0802"	"Prevotella.Otu2666"	"Lachnospiracea_incertae_sedis.Otu2746"	"Catenibacterium.Otu2320"	"Lachnospiraceae.Otu0790"	"Bacteroides.Otu2460"	"Prevotellaceae.Otu2503"	"Ruminococcus.Otu1429"	"Lachnospiraceae.Otu0578"	"Blautia.Otu0591"	"Ruminococcaceae.Otu2510"	"Ruminococcus.Otu1027"	"Lachnospiraceae.Otu1734"	"Prevotella.Otu2501"	"Lachnospiraceae.Otu2612"	"Oscillibacter.Otu1518"	"Ruminococcaceae.Otu2507"	"Bacteroides.Otu1669"	"Bacteroides.Otu0752"	"Lachnospiracea_incertae_sedis.Otu0651"	"Bacteroides.Otu2343"	"Bacteroides.Otu0775"	"Bacteroides.Otu2383"	"Blautia.Otu0620"	"Prevotella.Otu2702"	"Prevotella.Otu2220"	"Ruminococcus.Otu1915"	"Ruminococcus.Otu2545"	"Prevotella.Otu2327"	"Roseburia.Otu2637"	"Bacteroides.Otu0801"	"Bacteroides.Otu2277"	"other"
0.0154580586496931	0.132984769265742	0	0.00500113662195954	0.00409183905433053	0	0.0138667879063424	0.0443282564219141	0	0.034325983177995	0.00591043418958854	0	0.0475107979086156	0	0.0656967492611957	0	0.00295521709479427	0	0.00454648783814503	0.00113662195953626	0.00204591952716526	0.000454648783814503	0.00409183905433053	0.00500113662195954	0	0.00386451466242328	0.000909297567629007	0.00954762446010457	0	0	0.00113662195953626	0	0	0.00636508297340305	0	0	0	0.0186406001363946	0	0.103205273925892	0.00340986587860877	0	0.00272789270288702	0	0.00181859513525801	0.104114571493521	0.000227324391907252	0.00113662195953626	0	0.00613775858149579	0	0	0.000227324391907252	0.00204591952716526	0.0075017049329393	0	0.0175039781768584	0.000454648783814503	0	0.00204591952716526	0	0.000227324391907252	0	0.000681973175721755	0	0	0.00818367810866106	0.00318254148670152	0.00204591952716526	0.000227324391907252	0.0070470561491248	0.000909297567629007	0	0.000454648783814503	0.00136394635144351	0	0	0.0290975221641282	0	0.000454648783814503	0.000454648783814503	0	0	0.00113662195953626	0	0	0.000227324391907252	0	0.000681973175721755	0.00522846101386679	0.000681973175721755	0	0.00136394635144351	0	0	0.00522846101386679	0	0	0	0	0	0.00727438054103205	0.000454648783814503	0	0.00136394635144351	0.00227324391907252	0.000227324391907252	0.00227324391907252	0.00340986587860877	0.000454648783814503	0	0.00477381223005228	0.000909297567629007	0.000227324391907252	0	0	0.000454648783814503	0.000227324391907252	0	0.000909297567629007	0	0	0.223459877244828
0.0156689091373584	0.00596099804138636	0.20088563399472	8.5157114876948e-05	0.00826024014306395	0.000170314229753896	0.0349144170995487	0.00613131227114025	0	0	0.00127735672315422	0.0321042323086094	0.00136251383803117	0.00723835476454058	0.00102188537852338	0	0.018053308353913	0	0.00468364131823214	0.00238439921655454	0.00204377075704675	0	0.00102188537852338	0.00332112748020097	0	0.00587584092650941	0.00178829941241591	8.5157114876948e-05	0	0	0.011411053393511	8.5157114876948e-05	0.0413012007153198	0.0202673933407136	0.00085157114876948	0	0.0231627352465298	0.00357659882483181	0	0.0172017372051435	0.00868602571744869	0	0.000596099804138636	0.0239291492804224	0.00085157114876948	0	0	0.0149024951034659	0	0	0	0	0.00919696840671038	0.00255471344630844	0.0021289278719237	0.00042578557438474	0	0	0	0.0103891680149877	0.00042578557438474	0.000596099804138636	0	0.00187345652729286	0.0103040109001107	0	0.00391722728433961	0.00332112748020097	0.00289534190581623	0.000170314229753896	0.000936728263646428	0.000170314229753896	0.0150728093332198	0.00246955633143149	0.00383207016946266	0.00042578557438474	0	0	0	0.000766414033892532	0.00510942689261688	0.00553521246700162	0	0.00357659882483181	0.00366175593970876	0	0	0.0206931789150984	0.00221408498680065	0.00374691305458571	0.00042578557438474	0.000255471344630844	0.00459848420335519	0.0508387975815379	0.0022992421016776	8.5157114876948e-05	0.00246955633143149	0	0.00987822532572596	0.00178829941241591	0	0.000255471344630844	0.00306565613557013	0.00153282806778506	0.00127735672315422	0.00400238439921655	0.00383207016946266	0.000170314229753896	0.00042578557438474	0.000340628459507792	0	0	0.000510942689261688	0.00204377075704675	0.000170314229753896	0.000681256919015584	0	0.00042578557438474	0.00587584092650941	0.00332112748020097	0	0.000170314229753896	0.261687814016861
0.0214285714285714	0.0147321428571429	0	0	0.239732142857143	0.000446428571428571	0.000892857142857143	0.216964285714286	0	0	0.00892857142857143	0	0.0174107142857143	0.0196428571428571	0	0	0.000892857142857143	0.01875	0.00267857142857143	0.03125	0.00178571428571429	0.000446428571428571	0.003125	0.00133928571428571	0	0.0348214285714286	0.00267857142857143	0.00491071428571429	0.0294642857142857	0	0	0	0.000446428571428571	0.00446428571428571	0	0	0	0.000446428571428571	0	0.00401785714285714	0	0	0.00133928571428571	0	0	0	0	0	0.009375	0	0	0	0.0133928571428571	0	0	0.00267857142857143	0.000446428571428571	0.000446428571428571	0.0138392857142857	0.0160714285714286	0	0.0138392857142857	0	0.00267857142857143	0	0.000446428571428571	0	0.00178571428571429	0	0	0.00803571428571428	0.000446428571428571	0	0	0.000446428571428571	0	0	0	0	0	0.000446428571428571	0	0.00133928571428571	0.00178571428571429	0	0	0	0	0	0	0.003125	0	0.000892857142857143	0	0	0	0	0	0	0	0	0.000446428571428571	0	0	0.000892857142857143	0	0	0	0	0	0.00133928571428571	0.00223214285714286	0	0	0	0	0	0	0	0.000446428571428571	0	0	0.220089285714286
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192276532541183	0	0	0	0	0.168241965973535	0	0	0	0	0	0	0	0	0	0.180124223602484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0556305698082636	0	0	0	0	0	0	0	0	0	0	0.0901971374561167	0	0	0	0	0	0	0	0.0912773426951121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108020523899541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00675128274372131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214420739940589
0.0431338028169014	0	0	0	0	0.134242957746479	0.019806338028169	0	0	0	0	0	0	0	0	0.00176056338028169	0.00924295774647887	0	0	0.00924295774647887	0	0.000440140845070423	0	0	0	0	0.0127640845070423	0	0.00792253521126761	0	0.00132042253521127	0	0	0.0127640845070423	0	0	0	0.0435739436619718	0	0	0.000440140845070423	0	0	0	0.0422535211267606	0	0	0	0.00176056338028169	0	0	0	0.00484154929577465	0.0400528169014085	0	0	0	0	0	0	0	0	0.0554577464788732	0.0242077464788732	0	0	0.00440140845070423	0.00484154929577465	0.0162852112676056	0	0	0	0	0	0.00352112676056338	0	0	0	0	0.0246478873239437	0.00616197183098592	0	0	0.00264084507042254	0.00176056338028169	0	0	0	0.03125	0.00220070422535211	0.00132042253521127	0	0.0149647887323944	0	0.00220070422535211	0	0	0.0132042253521127	0.00132042253521127	0.00132042253521127	0	0.0039612676056338	0.000880281690140845	0	0.00220070422535211	0	0	0	0	0.00176056338028169	0	0	0	0.000440140845070423	0	0	0	0	0	0.00132042253521127	0	0	0.392165492957746
0.0279783393501805	0.00128932439401753	0.293708096957194	0.000128932439401753	0.00270758122743682	0.00270758122743682	0.0206291903042806	0.0131511088189789	0.00309437854564208	0	0.000773594636410521	0.0867715317173801	0.00270758122743682	0	0	0	0.00567302733367715	0.0019339865910263	0.0016761217122228	0.000515729757607014	0.00373904074265085	0	0.00128932439401753	0.000902527075812274	0.000128932439401753	0.00244971634863332	0.00425477050025787	0.00219185146982981	0.00038679731820526	0	0.00954100051572976	0.000257864878803507	0.00219185146982981	0.00154718927282104	0	0	0.0612429087158329	0.000902527075812274	0	0	0.0144404332129964	0	0.000257864878803507	0.0457710159876225	0.00541516245487365	0.000773594636410521	0	0.00838060856111398	0.000128932439401753	0	0	0	0.00477050025786488	0.00683341928829293	0.00206291903042806	0.000644662197008767	0	0	0	0.0315884476534296	0.00128932439401753	0.000128932439401753	0.000644662197008767	0.00180505415162455	0.036616812790098	0	0.00399690562145436	0.000515729757607014	0.000644662197008767	0	0.000902527075812274	0.00116039195461578	0.0197266632284683	0.0114749871067561	0.000773594636410521	0	0	0	0	0.00103145951521403	0.00309437854564208	0.029267663744198	0	0.00154718927282104	0.00219185146982981	0	0.000257864878803507	0.00116039195461578	0.0019339865910263	0.00128932439401753	0.00799381124290872	0.000128932439401753	0.0016761217122228	0	0.0137957710159876	0	0.000128932439401753	0.00038679731820526	0.000773594636410521	0.00154718927282104	0.00154718927282104	0.00141825683341929	0.00103145951521403	0.00128932439401753	0.00206291903042806	0.00038679731820526	0.000128932439401753	0.000128932439401753	0.000128932439401753	0.000644662197008767	0	0.00038679731820526	0.000128932439401753	0.000644662197008767	0	0.00128932439401753	0.000773594636410521	0.00038679731820526	0.0134089736977824	0.00103145951521403	0	0	0.147756575554409
0.0581908439051296	0.0437810259238831	0	0.0226144511858798	0.00696359624931053	0.00110314396028682	0.00620518477661335	0	0	0	0.00406784335355764	0	0.0706701599558742	0	0.00165471594043023	0.000206839492553778	0.0123414230557088	0.0706701599558742	0.00461941533370105	0.00896304467733039	0.00861831218974076	0.000413678985107557	0.00565361279646994	0.00903199117484832	0.000206839492553778	0.00351627137341423	0.00399889685603971	0.0921125206839493	0	0	0.0028957528957529	0.00034473248758963	0	0.023303916161059	0	0.0209597352454495	0	0.000689464975179261	0	0	0.000689464975179261	0	0.00296469939327082	0	0.00737727523441809	0.00399889685603971	0	6.89464975179261e-05	0.000620518477661335	0	0.102178709321566	0	6.89464975179261e-05	0.0117898510755654	0	0	0.00103419746276889	0.000482625482625483	0.00275785990071704	0	0	0.00137892995035852	0	0.00310259238830667	0	0	0.00117209045780474	0.00103419746276889	0.00330943188086045	0	0	0.00172366243794815	0	0.00255102040816327	0.00199944842801986	0.00468836183121897	0.0752895752895753	0.00034473248758963	6.89464975179261e-05	0.0181329288472146	0.00654991726420298	0	0.00916988416988417	0.000137892995035852	0.00151682294539437	0	0.00854936569222283	0	0.00365416436845008	0.00261996690568119	6.89464975179261e-05	0	0.00785990071704357	0	0.0013099834528406	0.00034473248758963	0	0	0.0107556536127965	0.00144787644787645	0	0.00103419746276889	0.00199944842801986	0	0	0	0.000413678985107557	0.00310259238830667	0.0034473248758963	0.000413678985107557	0.00613623827909542	0.0079288472145615	0.000965250965250965	0.00572255929398787	0	0	0	0	0	0.00558466629895201	0	0.0232349696635411	0.153405956977386
0.00712913024610997	0.163784018349761	0	0.412497675283615	0.00297563697228938	0.000557931932304259	0.000991878990763127	0	0	0	0.00874093360610006	0	0.00427747814766598	0	0.105139173020891	0.000433947058458868	0.00204575041844895	0	0.00446345545843407	0	0.000495939495381563	0	0.00235571260306243	0.00421548571074329	0	0.00892691091686814	0.000433947058458868	0	0	0	0.000247969747690782	0	0	0.000805901679995041	0	0	0	0.000805901679995041	0	0	0	0	0.00123984873845391	0	0	0.000185977310768086	0.0717872419564813	0.00427747814766598	0	0	0	0	0	6.19924369226954e-05	0	0	0.00427747814766598	0.000123984873845391	0	0	0	0	0	0	0	0	0.000185977310768086	0.00148781848614469	0.00161180335999008	0.0243630277106193	0	0.00068191680614965	0	6.19924369226954e-05	0.00254168991383051	0	0	0.000123984873845391	0.000309962184613477	0	0	0	0.0224412621660157	0.000123984873845391	0	0	0.00123984873845391	0	0.000309962184613477	0.00105387142768582	0	0	0	0	0	0.0104767218399355	0	0	0	0.000247969747690782	0	0	0.00235571260306243	0	0	0	0	0.00260368235075321	0.000433947058458868	0	0.0147541999876015	6.19924369226954e-05	0.000433947058458868	0.000309962184613477	0	0	0	0	0	0	0	0	0.098505982270163
0.004403734366743	0.00123304562268804	0.136163466619694	0.00070459749867888	0.00052844812400916	0.00017614937466972	0.0664083142504844	0.00915976748282544	0.00017614937466972	0.00387528624273384	0	0	0	0	0	0	0.00563677998943104	0	0	0.0366390699313017	0.00123304562268804	0.0017614937466972	0	0.00017614937466972	0	0	0.00017614937466972	0.0017614937466972	0	0	0.0204333274616875	0.00281838999471552	0.00510833186542188	0.00422758499207328	0.181257706535142	0.130350537255593	0.00211379249603664	0.00158534437202748	0	0	0.0035229874933944	0	0	0.00158534437202748	0.00457988374141272	0	0	0.00422758499207328	0.00246609124537608	0.00035229874933944	0	0	0.00052844812400916	0.004403734366743	0.0017614937466972	0.00070459749867888	0.00017614937466972	0	0.0341729786859257	0.0246609124537608	0	0.00017614937466972	0	0.00070459749867888	0.00035229874933944	0	0.00422758499207328	0.00123304562268804	0.0017614937466972	0	0.00070459749867888	0	0.0102166637308438	0.00017614937466972	0.00070459749867888	0.00105689624801832	0	0	0	0	0.00317068874405496	0.00017614937466972	0	0.00158534437202748	0.00158534437202748	0	0	0.00123304562268804	0.00035229874933944	0.00070459749867888	0	0	0.0017614937466972	0	0.00035229874933944	0	0	0.00563677998943104	0.0169103399682931	0.00158534437202748	0	0.00140919499735776	0.0008807468733486	0.00017614937466972	0.00299453936938524	0.0125066056015501	0	0	0	0.00193764312136692	0	0	0	0.00052844812400916	0	0	0.00017614937466972	0.00035229874933944	0	0.00035229874933944	0	0	0.221067465210498
0.0942954831743747	0	0	0	0	0.0062983624257693	0.0809789454741767	0	0.101313658448803	0	0	0	0.000539859636494511	0.000539859636494511	0	0.00125967248515386	0.0185351808529782	0	0.00107971927298902	0.0106172395177254	0.0151160698218463	0	0	0.000539859636494511	0	0	0.00179953212164837	0	0.00197948533381321	0	0.0138563973366925	0	0.000539859636494511	0.00953752024473637	0	0	0	0.00593845600143963	0	0	0.0178153680043189	0	0	0	0.0116969587907144	0	0.00377901745546158	0.0062983624257693	0.00287925139463739	0	0	0.0410293323735829	0.0115170055785496	0.0102573330933957	0	0.0210545258232859	0.00107971927298902	0.00449883030412093	0	0	0	0.000359906424329674	0	0.0241137304300882	0	0	0.0215943854597805	0.0286125607342091	0.00269929818247256	0	0.000899766060824186	0.00305920460680223	0	0.000179953212164837	0.00575850278927479	0.000359906424329674	0	0	0	0.00701817527442865	0.0048587367284506	0	0	0.0014396256973187	0.00575850278927479	0	0.000539859636494511	0	0.00233939175814288	0.00413892387979125	0.00125967248515386	0	0.00161957890948353	0	0.000179953212164837	0.000359906424329674	0	0.000719812848659349	0	0.00845780097174735	0	0.0262731689760662	0.00251934497030772	0	0.00359906424329674	0.000899766060824186	0.00107971927298902	0	0.00179953212164837	0	0	0.000179953212164837	0	0.0014396256973187	0	0	0.000899766060824186	0.00305920460680223	0	0.000539859636494511	0	0	0.334712974626597
