"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.after.diet.by.before.diet","mean.before.diet","mean.after.diet","l2fc.paired.median","median.paired.after.diet","median.paired.before.diet"
"N_4",81,0.0784912109375,0.3924560546875,0.785714285714286,0.571428571428571,0.470248374660053,-0.0469850313403103,6.30508599946976,6.10305256929346,0.275931127279438,5.40162883614644,6.26704267731262
"N_8",82,0.067626953125,0.3924560546875,0.785714285714286,0.571428571428571,0.488415779693131,-0.10824849710387,5.15624484558383,4.78351882192572,0.323907569940725,4.26973912348138,5.22509874909674
"N_Inf",83,0.0579833984375,0.3924560546875,0.785714285714286,0.571428571428571,0.506680120618581,-0.130844598984321,4.26629387457856,3.89639178056227,0.287575260200546,3.56114736472586,4.38293766652632
"N_2",70,0.2957763671875,0.698154994419643,0.714285714285714,0.428571428571429,0.279430638821882,0.0543223847250968,9.93499987089007,10.3162185241072,0.20640166927181,9.67831262937342,9.17583853296404
"NE_4",69,0.3258056640625,0.698154994419643,0.714285714285714,0.428571428571429,0.262610179983594,0.572542726859129,0.0485502008711722,0.072201058684361,0.0759101727685063,0.0465683981332369,0.0500769464345276
"NE_8",69,0.3258056640625,0.698154994419643,0.714285714285714,0.428571428571429,0.262610179983594,0.658149046849065,0.0401043382562582,0.0632869198662763,0.179350838794588,0.0357675058672119,0.0419135825880411
"NE_Inf",71,0.267578125,0.698154994419643,0.642857142857143,0.285714285714286,0.296301079811013,0.768554876734924,0.0336064257664204,0.0572506466545867,0.18989603521529,0.0287597401533309,0.03455145781874
"N_0",56,0.855224609375,0.9031982421875,0.642857142857143,0.285714285714286,0.0487635098762773,-0.0526295990239716,129.203088235294,124.5746875,0.0852341360036077,140.7575,140.955
"N_0.25",55,0.9031982421875,0.9031982421875,0.642857142857143,0.285714285714286,0.0325048964243322,-0.0248664001673459,85.0521678625165,83.5987637767242,0.108322181394529,93.363299979324,94.7113105687769
"N_0.5",59,0.71484375,0.877920297475961,0.642857142857143,0.285714285714286,0.0976461898487813,0.0173799344143465,53.6407930522428,54.2909038080005,0.140150346159415,59.4491536425587,62.2725937717267
"N_1",64,0.5015869140625,0.877920297475961,0.714285714285714,0.428571428571429,0.179598203716485,0.0897003353193566,23.0913536566472,24.5726437481941,0.147073067657267,24.9692446656733,22.4058770688533
"NE_0.25",60,0.6697998046875,0.877920297475961,0.642857142857143,0.285714285714286,0.113966281923071,-0.00119759272782779,0.645937188755281,0.645401213602116,0.0289979170972016,0.660203064724889,0.662092750751228
"NE_0.5",60,0.6697998046875,0.877920297475961,0.571428571428571,0.142857142857143,0.113966281923071,0.0467786481489133,0.401035693536594,0.414252181622985,0.0613255591951997,0.418031487370126,0.405412712335398
"NE_1",58,0.7608642578125,0.877920297475961,0.642857142857143,0.285714285714286,0.0813399058828937,0.208992850623705,0.171224177146297,0.197914769421261,0.0886475465690992,0.186906605390774,0.163614521089502
"NE_2",58,0.7608642578125,0.877920297475961,0.571428571428571,0.142857142857143,0.0813399058828937,0.423054588116879,0.0750790603353985,0.100663250339362,0.0447454044631259,0.0727936223221562,0.073122514891633
