"feature","age.quant","mean","sd","median","incidence"
"Unclassified_Bacteria","[3.18,6.27]",-0.972296475397513,0.104954108890125,-0.972296475397513,0
"Unclassified_Bacteria","(6.27,8.71]",-0.755692852095407,1.57650223067371,-0.601076396098242,0.5
"Unclassified_Bacteria","(8.71,15.3]",-10.6009606870705,19.0936335508242,-1.97843526769701,0.25
"Unclassified_Bacteria","(15.3,26.4]",-1.80570452455378,1.25221639282275,-1.78797812689956,0
"Bacteroidetes","[3.18,6.27]",0.2858375108454,0.236956016804835,0.2858375108454,1
"Bacteroidetes","(6.27,8.71]",0.712773519985968,0.764788002381215,0.459820920710316,1
"Bacteroidetes","(8.71,15.3]",-0.476295768390536,1.44964237234412,0.152479083059453,0.75
"Bacteroidetes","(15.3,26.4]",0.122539966424968,1.40182623427002,0.344357694786859,0.833333333333333
"Firmicutes","[3.18,6.27]",-1.91726906155241,0.650260459081168,-1.91726906155241,0
"Firmicutes","(6.27,8.71]",-1.53665726037423,0.968780791067414,-1.78267586218121,0
"Firmicutes","(8.71,15.3]",-0.890455475004122,1.39479652446113,-0.786846028442697,0.25
"Firmicutes","(15.3,26.4]",-0.9602474089442,1.20557623156745,-1.06149420598705,0.166666666666667
"Actinobacteria","[3.18,6.27]",-19.8787431075175,23.7647695258994,-19.8787431075175,0
"Actinobacteria","(6.27,8.71]",-9.88534764165616,17.4012321195247,-2.69359699139186,0.25
"Actinobacteria","(8.71,15.3]",0.204251044069181,3.43008295146966,-0.6679058718735,0.5
"Actinobacteria","(15.3,26.4]",3.82035288500755,15.2039356544714,-0.223727913783216,0.333333333333333
"Proteobacteria","[3.18,6.27]",0.147720663114727,3.25183649244443,0.147720663114727,0.5
"Proteobacteria","(6.27,8.71]",-1.68364921755631,1.91902185600895,-2.57792626921827,0.25
"Proteobacteria","(8.71,15.3]",-11.2854389818831,20.6864268327152,-1.26054943046298,0
"Proteobacteria","(15.3,26.4]",0.0594414017204211,1.26444806930203,0.478138487331737,0.666666666666667
"Verrucomicrobia","[3.18,6.27]",-17.0100045934742,24.0557791921198,-17.0100045934742,0
"Verrucomicrobia","(6.27,8.71]",-0.500165578838525,26.6966848800132,-0.199693929320068,0.25
"Verrucomicrobia","(8.71,15.3]",9.70758277768863,16.9745523572988,1.87834838086581,0.75
"Verrucomicrobia","(15.3,26.4]",-1.03928207476723,2.54571078200074,0,0
