"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","DietStatus_before.diet_vs_after.diet","SE_Intercept","SE_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","SE_DietStatus_before.diet_vs_after.diet","WaldStatistic_Intercept","WaldStatistic_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldStatistic_DietStatus_before.diet_vs_after.diet","WaldPvalue_Intercept","WaldPvalue_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldPvalue_DietStatus_before.diet_vs_after.diet","betaConv","betaIter","deviance","maxCooks","replace"
"Lactobacillales",260.22566179737,-4.5840341723214,1.14967852253419,-3.98723128463512,6.68488511426731e-05,0.000668488511426731,260.22566179737,1292331.00773295,FALSE,5.19155173094161,15,5.19231471129103,5.19152797112616,5,FALSE,5.19152797112616,11.6518451143772,-2.9168368349576,-4.5840341723214,1.109573618021,1.192775290284,1.14967852253419,10.5011915614568,-2.4454202385959,-3.98723128463512,8.52965510269953e-26,0.014468344732016,6.68488511426731e-05,TRUE,100,313.604196228082,1.15520646780819,FALSE
"Erysipelotrichales",71.4556346078245,1.73879157692261,0.763580739219217,2.27715484115088,0.0227769807607248,0.113884903803624,71.4556346078245,38467.7632103206,FALSE,2.03674458374832,12,3.63217556974207,2.27324903528617,11,FALSE,2.27324903528617,5.40800595060115,-0.869884417628571,1.73879157692261,0.738792380186169,0.792321802508156,0.763580739219217,7.32006189511373,-1.09789281940101,2.27715484115088,2.478566079338e-13,0.272251293836896,0.0227769807607248,TRUE,14,322.270278850625,2.93138443931432,FALSE
"Unclassified_Bacteria",38.8299071119609,1.319802733513,0.695651721640354,1.8972176628858,0.0577992166161024,0.17582552047701,38.8299071119609,8229.77002591368,FALSE,1.58329245634845,12,3.47324937574771,1.84700150135377,11,FALSE,1.84700150135377,5.20807198258911,-1.71794646389443,1.319802733513,0.66935990254849,0.719329579985601,0.695651721640354,7.78067518350015,-2.3882605577388,1.8972176628858,7.21384959745258e-15,0.0169283352605238,0.0577992166161024,TRUE,9,285.70112477178,0.241803424268316,FALSE
"Selenomonadales",84.7676017803634,-1.70641867536738,0.983709162793115,-1.73467803280619,0.0827978493362186,0.17582552047701,84.7676017803634,75834.5769001388,FALSE,3.70294132070836,12,4.21066013296066,3.78944046933159,11,FALSE,3.78944046933159,7.570174753947,-1.39177680469026,-1.70641867536738,0.949143247779697,1.02052702834912,0.983709162793115,7.97579793319469,-1.36378240460883,-1.73467803280619,1.51399468170172e-15,0.172636059685166,0.0827978493362186,TRUE,23,293.311719470132,0.542581148514908,FALSE
"Verrucomicrobiales",24.5815053956186,3.87895917185679,2.27303339163041,1.70651218153662,0.0879127602385051,0.17582552047701,24.5815053956186,11544.7675051304,FALSE,20.1553735925763,13,4.85812903631626,20.1553735925763,12,TRUE,12.1092297195299,0.804488664913314,1.07960425091771,3.87895917185679,2.21843961767012,2.36490703248812,2.27303339163041,0.362637170065605,0.45651022898006,1.70651218153662,0.716875939993127,0.648023116903702,0.0879127602385051,TRUE,100,121.140367225867,0.672479018901537,FALSE
"Enterobacteriales",15.6584412034205,1.7803756667263,1.25097620432822,1.42318907471335,NA,NA,15.6584412034205,5102.14328432947,FALSE,6.45839161312697,10,4.64281025005262,5.92476246953827,10,FALSE,5.92476246953827,3.49543132750472,-2.23146564716765,1.7803756667263,1.20027053159557,1.29113629008701,1.25097620432822,2.91220290383876,-1.72829597022423,1.42318907471335,0.00358889424477635,0.0839351751778545,0.154681351869927,TRUE,100,159.33746648379,58.8539600918854,TRUE
"Clostridiales",959.280639080245,-0.538302771710193,0.543655416323642,-0.990154343260949,0.322098684777871,0.536831141296451,959.280639080245,465948.661429751,FALSE,1.13015970224245,8,1.35797495049469,1.16802497335635,11,FALSE,1.16802497335635,10.4372200924683,-0.467729633395894,-0.538302771710193,0.526003434535983,0.564750741335302,0.543655416323642,19.8424941876578,-0.828205435003042,-0.990154343260949,1.27950619353184e-87,0.407554166368934,0.322098684777871,TRUE,5,517.436090148579,0.0256048326718215,FALSE
"Bacteroidales",7670.58398080662,-0.496325411707706,0.702248411414877,-0.706766158014824,0.479711808570584,0.654758504531501,7670.58398080662,154648031.971842,FALSE,1.8004677023936,12,1.80009604389372,1.95167885999432,12,FALSE,1.95167885999432,12.3601865233691,1.08578466390916,-0.496325411707706,0.679597995348873,0.729588726059947,0.702248411414877,18.1874970320122,1.48821469565847,-0.706766158014824,6.4834086974727e-74,0.13669428291079,0.479711808570584,TRUE,8,641.281380132445,0.386035509289268,FALSE
"Rhizobiales",14.6684001997608,-0.639842633214463,1.14582924209132,-0.558410110084681,0.576564370668141,0.654758504531501,14.6684001997608,833.507032686224,FALSE,5.3319029522992,14,4.38551921006559,5.08187667741104,7,FALSE,5.08187667741104,3.74042777857955,0.626190917352972,-0.639842633214463,1.10919036224805,1.19083787590825,1.14582924209132,3.37221446010282,0.525840611909811,-0.558410110084681,0.000745663609824194,0.598998954670398,0.576564370668141,TRUE,13,201.009443331036,1.9221630092696,FALSE
"Unclassified_Firmicutes",17.1785675749232,-0.404163482291167,0.816259567173697,-0.495140882318336,0.620500677351822,0.654758504531501,17.1785675749232,1112.35657862766,FALSE,2.04394672482797,9,4.89639443704926,2.49603257239696,9,FALSE,2.49603257239696,5.15459971615198,-1.86324098932171,-0.404163482291167,0.779168323610278,0.841523116693401,0.816259567173697,6.6155149791872,-2.21412930002796,-0.495140882318336,3.70260489245567e-11,0.0268198855911859,0.620500677351822,TRUE,10,237.649952125069,0.0336946978544323,FALSE
