"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.after.diet.by.before.diet","mean.before.diet","mean.after.diet","l2fc.paired.median","median.paired.after.diet","median.paired.before.diet"
"N_0",71,0.267578125,0.815211704799107,0.5,0,0.296301079811013,-0.249318682423975,31.3204411764706,26.3496875,0.0747479682389178,29.25375,29.7925
"N_0.25",68,0.3575439453125,0.815211704799107,0.5,0,0.245895079341144,-0.232530650823704,17.6630022125907,15.0336980251895,0.081095439111629,16.0178368551551,16.0898057408153
"N_0.5",61,0.625732421875,0.815211704799107,0.5,0,0.130354599248869,-0.183323954359609,10.1508415093302,8.93955782150898,0.0504254574963587,9.4325134543305,8.38992695774899
"NE_8",37,0.3575439453125,0.815211704799107,0.357142857142857,-0.285714285714286,0.245895079341144,0.711364590839913,0.060745308216968,0.0994614576413457,-0.0940250253299635,0.0623450221105661,0.0504343281714085
"NE_Inf",38,0.3909912109375,0.815211704799107,0.357142857142857,-0.285714285714286,0.229262354712031,0.738345236441358,0.0560304116601945,0.0934733648323059,-0.093625460457023,0.0570520734877853,0.0482274874261427
"N_1",58,0.7608642578125,0.815211704799107,0.571428571428571,0.142857142857143,0.0813399058828937,-0.0801752999183161,4.70188184486835,4.44771080519341,0.0242347086081969,3.89883499204792,3.73007974079591
"NE_4",39,0.42626953125,0.815211704799107,0.428571428571429,-0.142857142857143,0.212630761973279,0.672164409292046,0.0668436754660272,0.106512841613164,-0.118505973001191,0.0701751797783139,0.0545179718084689
"N_4",46,0.71484375,0.815211704799107,0.428571428571429,-0.142857142857143,0.0976461898487813,0.0400622043039321,2.14269786754017,2.20303228948256,-0.080268241459397,1.64674449573486,1.82627405239828
"NE_2",40,0.463134765625,0.815211704799107,0.428571428571429,-0.142857142857143,0.196088184672886,0.570762788026011,0.0833227130498979,0.123759949096937,-0.201652837995318,0.0802827003315506,0.0680066056067936
"N_8",46,0.71484375,0.815211704799107,0.428571428571429,-0.142857142857143,0.0976461898487813,0.049835108944934,1.92175588734937,1.98929908487289,-0.0510166118738285,1.53438862318088,1.67386612245769
"N_2",47,0.7608642578125,0.815211704799107,0.428571428571429,-0.142857142857143,0.0813399058828937,0.00231516010160016,2.72745315904543,2.73183354425786,-0.0446942070500299,2.03413821079992,2.29403898091141
"N_Inf",46,0.71484375,0.815211704799107,0.428571428571429,-0.142857142857143,0.0976461898487813,0.0480409759608781,1.74819250918124,1.80738648220379,-0.0435388329033298,1.4543938192151,1.5660962672509
"NE_0.5",49,0.855224609375,0.855224609375,0.571428571428571,0.142857142857143,0.0487635098762773,0.136948167795435,0.303755318735365,0.334002253891341,0.0252776444560288,0.329540758796683,0.313841291067797
"NE_0.25",58,0.7608642578125,0.815211704799107,0.571428571428571,0.142857142857143,0.0813399058828937,0.0311378617398121,0.544101074937997,0.55597212060095,0.0143736488475323,0.571208518472241,0.547690460275434
"NE_1",45,0.6697998046875,0.815211704799107,0.5,0,0.113966281923071,0.365424184727058,0.139607166561056,0.17985037743688,-0.169387437103847,0.155763835772789,0.1352172695844
