"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Unclassified_Bacteria"	"Actinobacteria"	"Verrucomicrobia"	"other"
0.684701068424642	0.177767674471471	0.121163900886565	0.0136394635144351	0.00272789270288702	0	0
0.563654943370519	0.369070935876692	0.0544153964063698	0.00919696840671038	0.00272502767606234	0	0.000936728263646428
0.754910714285714	0.200446428571429	0.00491071428571429	0.00803571428571428	0.000892857142857143	0.0303571428571429	0.000446428571428571
0	0.465568458007021	0.313529570618418	0.0305157980016203	0.190386173372941	0	0
0.220070422535211	0.68705985915493	0.0642605633802817	0.0118838028169014	0.00792253521126761	0.00880281690140845	0
0.7867457452295	0.196493037648272	0.0110881897885508	0.00283651366683858	0.00244971634863332	0.00038679731820526	0
0.533990623276338	0.437672366243795	0.00537782680639824	0.0168918918918919	0.00234418091560949	0	0.00372311086596801
0.819197352089367	0.141911460488209	0.0223417459660736	0.0148944973107158	0.00165494414563508	0	0
0.866752411575563	0.0873311897106109	0.0415434083601286	0.00385852090032154	0.000514469453376206	0	0
0.886987787489926	0.103527369660901	0.00564131175996528	0.00365755377843903	0.000185977310768086	0	0
0.231988726440021	0.700017614937467	0.0139158005989079	0.0155011449709354	0.0384005636779989	0	0.00017614937466972
0.17077559834443	0.754543818607162	0.0190750404894727	0.0421090516465719	0.00809789454741767	0.00539859636494511	0
0.611516314779271	0.361996161228407	0.0122840690978887	0.00690978886756238	0.0072936660268714	0	0
0.77810650887574	0.216917697686928	0.00215169445938677	0.00228617536309844	0.000537923614846692	0	0
0.719879518072289	0.230636833046472	0.0196500286861733	0.0174985656913368	0.00487664945496271	0.00731497418244406	0.000143430866322433
0.615515771526002	0.342924126172208	0.0110826939471441	0.00490196078431373	0.00319693094629156	0.0223785166240409	0
0.505237711522965	0.470051034112275	0.0021488047273704	0.0163846360461993	0.0056406124093473	0.0002686005909213	0.0002686005909213
0.690401258851298	0.0664830841856806	0.242328874901652	0.000786782061369001	0	0	0
0.904607631389489	0.0910727141828654	0.000359971202303816	0.00251979841612671	0.00143988480921526	0	0
0.41119170984456	0.515025906735751	0.0163730569948187	0.0397927461139896	0.0176165803108808	0	0
0.856349687058348	0.112961841308298	0.000252372299616394	0.00232182515647083	0.000201897839693115	0.0279123763375732	0
0.646227106227106	0.332967032967033	0.00937728937728938	0.00373626373626374	0.00761904761904762	0	7.32600732600733e-05
0.411673633689426	0.538008979718223	0.0410280229137637	0.00696702275894101	0.0013934045517882	0	0.000928936367858802
0.822671413804985	0.165671298954864	0.00815435856207649	0.00212472723096359	0.00132077638681521	0	5.74250602963133e-05
0.783790804398649	0.192657372932721	0.0219066585851589	0.00086587583340549	0.000692700666724392	0	8.6587583340549e-05
0.971497390606182	0.0272982737856283	0	0	0.000401445202729827	0.000802890405459655	0
0.866818873668189	0.0711567732115677	0.0605022831050228	0.0015220700152207	0	0	0
0.934438171553451	0.0457111637224549	0.0151156437807321	0.00418867237297396	0.000424937776968372	0	0.000121410793419535
0.556199677938808	0.222222222222222	0.0186795491143317	0.00611916264090177	0.0215780998389694	0.175201288244766	0
0.932167621344589	0.0630087428399156	0.00211034066927947	0.00180886343081097	0.000904431715405487	0	0
0.537665119600143	0.398072117101035	0.0232059978579079	0.0135665833630846	0.000714030703320243	0.0174937522313459	0.00928239914316316
0.929753895184136	0.0667050283286119	0.00119511331444759	0.00225743626062323	0	8.85269121813031e-05	0
0.638152396870014	0.248955405302743	0.0173972498670516	0.0904049228899187	0.00334270303122389	0.00167135151561194	7.59705234369065e-05
0.886138613861386	0.0789167152009319	0.0329062317996506	0.0015530964861192	0.00029120559114735	9.706853038245e-05	9.706853038245e-05
0.825370675453048	0.163920922570016	0.0013728720483251	0.00796265788028556	0.0013728720483251	0	0
0.886039132734003	0.0789705623127093	0.0130442446677243	0.00528820729772607	0	0	0.0166578529878371
0.0982677851617823	0.73504739078331	0.158078222028543	0.00326832988342957	0.00206994225950539	0	0.00326832988342957
0.824990730441231	0.134593993325918	0.010752688172043	0.0218761586948461	0.000741564701520208	0.00667408231368187	0.000370782350760104
0.478734696765976	0.502158375203453	0.0124548864199278	0.00629820961007714	0.000353832000566131	0	0
0.568017487808979	0.412476879098705	0.013115856734488	0.00470825626366235	0.0013452160753321	0	0.000336304018833025
0.0643695569859902	0.898523286633851	0.00643695569859902	0.00567966679288148	0.0249905338886785	0	0
