"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Clostridium_XI"	"Unclassified_Clostridiales"	"Erysipelotrichaceae_incertae_sedis"	"Clostridium_IV"	"Parabacteroides"	"Unclassified_Bacteria"	"Megamonas"	"Escherichia_Shigella"	"Bifidobacterium"	"Sutterella"	"Akkermansia"	"Roseburia"	"Dorea"	"Clostridium_XlVa"	"Lactobacillus"	"Unclassified_Firmicutes"	"Unclassified_Bacteroidales"	"Unclassified_Lactobacillales"	"Streptococcus"	"Gemmiger"	"Enterococcus"	"Clostridium_sensu_stricto"	"Clostridium_XVIII"	"Phascolarctobacterium"	"Oscillibacter"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Unclassified_Prevotellaceae"	"Coprococcus"	"Flavonifractor"	"Unclassified_Alphaproteobacteria"	"Unclassified_Enterobacteriaceae"	"Catenibacterium"	"Veillonella"	"Unclassified_Burkholderiales"	"Turicibacter"	"Haemophilus"	"Parasutterella"	"Anaerovorax"	"Dialister"	"Collinsella"	"Weissella"	"Brachyspira"	"Unclassified_Clostridiaceae_1"	"Unclassified_Bacteroidetes"	"Butyricimonas"	"Eggerthella"	"Unclassified_Acidaminococcaceae"	"Holdemania"	"Butyricicoccus"	"Bilophila"	"TM7_genus_incertae_sedis"	"Unclassified_Desulfovibrionaceae"	"Clostridium_XlVb"	"Porphyromonas"	"Coprobacillus"	"Subdoligranulum"	"Unclassified_Veillonellaceae"	"Unclassified_Porphyromonadaceae"	"Rothia"	"Pseudoflavonifractor"	"Unclassified_Selenomonadales"	"Soehngenia"	"Unclassified_Proteobacteria"	"Unclassified_Bacilli"	"Campylobacter"	"Desulfovibrio"	"Fusobacterium"	"Paraprevotella"	"Unclassified_Clostridia"	"Lactococcus"	"Unclassified_Actinomycetales"	"Acidaminococcus"	"Eubacterium"	"Unclassified_Erysipelotrichaceae"	"Unclassified_Fusobacteriaceae"	"Anaerobacter"	"Anaerotruncus"	"Clostridium_III"	"Moraxella"	"Leuconostoc"	"Victivallis"	"Gemella"	"Enterobacter"	"Granulicatella"	"Peptoniphilus"	"Allisonella"	"Finegoldia"	"Unclassified_Bacillales"	"Cloacibacterium"	"Hespellia"	"Anaerostipes"	"Anaerococcus"	"Howardella"	"Megasphaera"	"Unclassified_Coriobacteriaceae"	"Unclassified_Desulfovibrionales"	"Acidovorax"	"Staphylococcus"	"Unclassified_Actinobacteria"	"Abiotrophia"	"Brevundimonas"	"Unclassified_Peptostreptococcaceae"	"Parvimonas"	"Asaccharobacter"	"Pseudobutyrivibrio"	"Acetobacterium"	"Succinivibrio"	"Corynebacterium"	"Pasteurella"	"Gordonibacter"	"Rhizobium"	"Pseudomonas"	"Streptophyta"	"Unclassified_Corynebacteriaceae"	"Porphyrobacter"	"Unclassified_Succinivibrionaceae"	"Unclassified_Gammaproteobacteria"	"Anaerofustis"	"Unclassified_Betaproteobacteria"	"Mogibacterium"	"Unclassified_Flavobacteriales"	"Unclassified_Pseudomonadaceae"	"Slackia"	"Solobacterium"	"Unclassified_Rikenellaceae"	"Sarcina"	"Unclassified_Pasteurellaceae"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Atopobium"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Aggregatibacter"	"Erysipelothrix"	"Anaerofilum"	"Catonella"	"Unclassified_Peptococcaceae_1"	"Cellulosilyticum"	"Acinetobacter"
0.624687428961127	0.00204591952716526	0.0263696294612412	0.0534212320982041	0.0227324391907252	0.0106842464196408	0.00795635371675381	0.0140941122982496	0.00727438054103205	0.00136394635144351	0.0113662195953626	0	0.0181859513525801	0.00159127074335076	0.0136394635144351	0	0.000454648783814503	0.000681973175721755	0.116162764264606	0	0.00886565128438281	0.00932030006819732	0.0218231416230962	0	0.0102295976358263	0.000909297567629007	0	0	0.00113662195953626	0.000227324391907252	0	0.000909297567629007	0	0.00363719027051603	0.000909297567629007	0	0.00113662195953626	0	0.000681973175721755	0.000227324391907252	0	0	0	0	0.000227324391907252	0	0.000227324391907252	0	0	0	0.00204591952716526	0	0	0	0	0	0	0	0	0.000454648783814503	0.000227324391907252	0	0	0.000909297567629007	0	0	0.000454648783814503	0	0	0	0	0	0	0.00250056831097977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000227324391907252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0632717363535723	0.443838882738653	0.0755343608958528	0.026143234267223	0.0579919952312016	0.00306565613557013	0.0223963212126373	0.0320190751937324	0.0269948054159925	0.00246955633143149	0.0172017372051435	0.00476879843310909	0.00298049902069318	0.0132845099208039	0.00919696840671038	0	0	0.00127735672315422	0.0202673933407136	0	0.0148173379885889	0.0281018479093928	0.00928212552158733	0.00136251383803117	0.00281018479093928	0.00332112748020097	0	0.000255471344630844	0.0149024951034659	0	8.5157114876948e-05	0.000340628459507792	0	0.00451332708847824	0.00987822532572596	0	0	0.00306565613557013	0.00042578557438474	0.000255471344630844	8.5157114876948e-05	8.5157114876948e-05	0.0508387975815379	0	0.0134548241505578	8.5157114876948e-05	8.5157114876948e-05	0	0.00042578557438474	0.00221408498680065	0.000681256919015584	0	0	0	0	0.000340628459507792	0	0.000936728263646428	0.000510942689261688	0.000681256919015584	0.00153282806778506	0	0.00144767095290812	0.00102188537852338	0.000170314229753896	0.000255471344630844	0.000596099804138636	8.5157114876948e-05	8.5157114876948e-05	0	0.000596099804138636	0.00042578557438474	0	0.000255471344630844	0	0	0.00187345652729286	0	0.000255471344630844	0.000510942689261688	8.5157114876948e-05	8.5157114876948e-05	0	0.00042578557438474	0.00110704249340032	0	0	0	0	0	0	0.000936728263646428	0	0	0	0	0	0	0	0	0.000170314229753896	0	0	0.000340628459507792	0	0.000255471344630844	0.000255471344630844	0	0	0.000170314229753896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170314229753896	0	0	0	0.000255471344630844	0	0	0	0	0	0	0	0	0	0	8.5157114876948e-05	0	0	0	0
0.429464285714286	0.0165178571428571	0.0111607142857143	0.248214285714286	0.00401785714285714	0.00803571428571428	0.00982142857142857	0.00491071428571429	0.00267857142857143	0.0410714285714286	0.00803571428571428	0	0.00714285714285714	0.0303571428571429	0.00803571428571428	0	0.000446428571428571	0	0.00401785714285714	0.0303571428571429	0.00267857142857143	0.00446428571428571	0.000892857142857143	0	0.00580357142857143	0.000446428571428571	0	0	0	0	0.028125	0.00178571428571429	0.0138392857142857	0.003125	0.0174107142857143	0.000446428571428571	0.0120535714285714	0	0.003125	0.00848214285714286	0	0	0	0	0	0.0111607142857143	0	0	0.0142857142857143	0.000446428571428571	0.000446428571428571	0	0	0.00267857142857143	0	0	0	0	0.000446428571428571	0.000446428571428571	0	0	0	0.000892857142857143	0.000446428571428571	0	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0	0	0.000446428571428571	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.095058061031596	0	0	0	0	0	0.199567917904402	0	0	0	0	0	0.0305157980016203	0	0.168241965973535	0.190116122063192	0	0	0.00459087226573049	0	0	0	0.0450985687280583	0	0	0.0124223602484472	0	0.0559006211180124	0.0297056440723738	0	0	0	0	0.0912773426951121	0	0	0	0	0	0.0483391844450446	0	0.0221442073994059	0	0	0.00432082095598164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000540102619497705	0	0.000270051309748852	0	0	0	0.000270051309748852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000270051309748852	0	0	0	0.000270051309748852	0	0	0	0	0	0	0	0	0	0	0.000270051309748852	0	0	0.000540102619497705	0	0	0	0	0	0	0	0	0	0.000270051309748852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.212588028169014	0	0.186179577464789	0	0.0242077464788732	0.0184859154929577	0.0189260563380282	0.10387323943662	0.0290492957746479	0.0123239436619718	0.09375	0.00176056338028169	0.0294894366197183	0.00572183098591549	0.0118838028169014	0	0.000440140845070423	0.00704225352112676	0	0.00880281690140845	0.022887323943662	0.0158450704225352	0.0519366197183099	0	0.00792253521126761	0	0	0.000440140845070423	0	0	0.000440140845070423	0.0444542253521127	0	0.00352112676056338	0	0	0	0	0.00132042253521127	0.0123239436619718	0.0633802816901408	0	0	0.000440140845070423	0	0.000440140845070423	0	0	0	0	0	0	0	0	0.000880281690140845	0	0.000440140845070423	0	0.00352112676056338	0	0	0	0	0	0.000880281690140845	0.000440140845070423	0	0	0	0	0.000440140845070423	0.000440140845070423	0	0	0	0.000440140845070423	0	0	0	0	0.000440140845070423	0	0	0	0	0	0	0.000440140845070423	0	0	0	0	0	0	0	0	0	0.000440140845070423	0	0	0	0.000880281690140845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000440140845070423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0746518824136153	0.674703455389376	0.0711707065497679	0.0141825683341929	0.0357142857142857	0.00760701392470346	0.00954100051572976	0.0239814337287261	0.00889633831872099	0.000644662197008767	0.00786487880350696	0.000515729757607014	0.00116039195461578	0.00541516245487365	0.00283651366683858	0	0	0.00219185146982981	0.00219185146982981	0.00038679731820526	0.00489943269726663	0.00283651366683858	0.00232078390923156	0	0.0036101083032491	0.00141825683341929	0	0	0.00876740587931924	0	0.000128932439401753	0.00128932439401753	0	0.000515729757607014	0.00296544610624033	0	0.0118617844249613	0.00128932439401753	0.00799381124290872	0.000257864878803507	0	0	0	0	0	0.000128932439401753	0.000128932439401753	0	0	0.00283651366683858	0.000128932439401753	0	0	0.000128932439401753	0.000128932439401753	0	0.000128932439401753	0	0	0.000128932439401753	0	0	0	0.000257864878803507	0.000128932439401753	0	0.000128932439401753	0.000257864878803507	0	0	0	0	0.00103145951521403	0	0	0	0	0	0	0	0	0	0	0	0.000128932439401753	0	0.000128932439401753	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128932439401753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000257864878803507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.524200220628792	0.000275785990071704	0.0750137892995036	0	0.0119277440706012	0.00117209045780474	0.000689464975179261	0.0371621621621622	0.0232349696635411	0.00965250965250965	0.00496414782129068	0.000206839492553778	0.00199944842801986	0.00868725868725869	0.0168918918918919	0.134583563154992	0.000413678985107557	0.0015857694429123	0	0	0.0132377275234418	0.0313017098731384	0.0015857694429123	0	0.00151682294539437	0.000620518477661335	0	0.0761169332597904	6.89464975179261e-05	0	0.000137892995035852	0.000551571980143409	0.00275785990071704	0	0	0	0	0	6.89464975179261e-05	0.000206839492553778	0	0	0	0.000758411472697187	0.00330943188086045	0	0.0015857694429123	0	0	6.89464975179261e-05	0.000689464975179261	0	0	0.000206839492553778	0.000206839492553778	0	0	0	0	0	0	0	0	0	0	0.000137892995035852	0	0.00213734142305571	0	0	0	0	0	0	0	0	0	0.00372311086596801	0	0	0	0	0.00337837837837838	0	0	0	6.89464975179261e-05	6.89464975179261e-05	0	0	0	0	0.000137892995035852	0	0	0	0.0015857694429123	0	0	0	0.000275785990071704	0	0	0	0.000620518477661335	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89464975179261e-05	0	0	0	0	0	0	0	0	0	0	0	6.89464975179261e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89464975179261e-05	0
0.861136941293162	0.000247969747690782	0.0109726613353171	0.000247969747690782	0.00154981092306739	0.000123984873845391	0.00105387142768582	0.00068191680614965	0.00415349327382059	0	0.00260368235075321	0.000433947058458868	6.19924369226954e-05	6.19924369226954e-05	0.00365755377843903	0	0	0	0	0	0.0026656747876759	0.000805901679995041	0.00105387142768582	0.000619924369226954	0.000867894116917736	0.0252929142644597	0	6.19924369226954e-05	0.00427747814766598	0.0717872419564813	0	0.00111586386460852	0	0.000991878990763127	0	0	0	0	0	0.000123984873845391	0	0	0	6.19924369226954e-05	0	0	0	0.000867894116917736	0	0	0	0	0	0	0	0	0.000185977310768086	0	0	0.00123984873845391	0.000247969747690782	0	0	0	0	0	0	0	0	0	0.000123984873845391	0	0	6.19924369226954e-05	0	0	0	0	0	0	0.000247969747690782	0	0	0	0	0	0	0	0	0	6.19924369226954e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19924369226954e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19924369226954e-05	0	0	0	0	0	0	0	0	0	0.000123984873845391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0179672362163114	0.197815747754095	0.0521402149022371	0.0103928131055135	0.105865774176502	0.0103928131055135	0.0206094768363572	0.0239563149550819	0.00986436498150432	0.0415712524220539	0.0103928131055135	0	0.0169103399682931	0.00211379249603664	0.0155011449709354	0.130878985379602	0.0017614937466972	0.0343491280605954	0.0017614937466972	0	0.00405143561740356	0.00546063061476132	0.00651752686277964	0.181257706535142	0.00405143561740356	0.00052844812400916	0	0.0017614937466972	0.00422758499207328	0	0.00017614937466972	0.00017614937466972	0.0345252774352651	0.013211203100229	0.0008807468733486	0	0.00140919499735776	0.00052844812400916	0	0.0008807468733486	0.00035229874933944	0	0	0.0017614937466972	0	0	0.00369913686806412	0	0	0.0133873524748987	0.00246609124537608	0.0008807468733486	0	0.00017614937466972	0.00017614937466972	0.00017614937466972	0	0	0	0.00052844812400916	0.0008807468733486	0.00017614937466972	0	0.00035229874933944	0	0	0.00070459749867888	0.00334683811872468	0	0	0	0	0	0.00017614937466972	0.00017614937466972	0	0	0	0	0	0.00017614937466972	0.00017614937466972	0	0	0	0	0	0.00017614937466972	0	0	0.00211379249603664	0	0.00017614937466972	0	0	0	0	0	0	0	0	0	0.0008807468733486	0	0	0.0008807468733486	0.0008807468733486	0	0.00017614937466972	0	0	0	0.00035229874933944	0	0	0	0	0	0.00052844812400916	0.00017614937466972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.14396256973187	0.000539859636494511	0.11085117869354	0.0115170055785496	0.119488932877452	0.183012416771639	0.0277127946733849	0.0971747345690121	0.0581248875292424	0.0136764441245276	0.0413892387979125	0.0014396256973187	0.024293683642253	0.0134964909123628	0.0421090516465719	0	0	0.00791794133525283	0	0.00539859636494511	0.0113370523663847	0.0122368184272089	0.00827784775958251	0	0.0122368184272089	0.00107971927298902	0	0.000359906424329674	0.0062983624257693	0.00377901745546158	0.00251934497030772	0.00341911103113191	0	0.00593845600143963	0	0	0	0	0.00125967248515386	0.00323915781896707	0	0.00251934497030772	0	0.000539859636494511	0	0	0.00665826885009897	0.00233939175814288	0.00251934497030772	0	0	0	0	0.000899766060824186	0.000179953212164837	0	0.000179953212164837	0.000359906424329674	0	0	0.000179953212164837	0	0	0	0	0	0.00125967248515386	0	0	0	0.000539859636494511	0	0.00449883030412093	0	0	0	0	0	0	0	0.000179953212164837	0	0	0	0	0	0.000719812848659349	0.000359906424329674	0	0	0	0	0.000179953212164837	0.000539859636494511	0	0.000179953212164837	0	0	0	0	0.000179953212164837	0	0	0	0	0	0	0	0	0	0	0	0	0.000359906424329674	0	0	0	0	0	0.000179953212164837	0	0.000179953212164837	0	0	0	0	0	0.000179953212164837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
