"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"	"NE_0.25"	"NE_0.5"	"NE_1"	"NE_2"	"NE_4"	"NE_8"	"NE_Inf"
31.3675	17.4828224465406	9.18954096870197	3.17574789364018	1.65980310234845	1.40925604167736	1.34184332538067	1.29340698702886	0.55756607077013	0.293248024059294	0.101456423942082	0.0530396887364457	0.0450284075396885	0.0428725931908178	0.0413236650515393
33.9575	21.4361160850883	14.4776773145004	8.81172576499133	6.06396651826504	4.92800855593248	4.3975731550365	3.84041669015847	0.632722184296319	0.42820174200499	0.261120139700337	0.179689321107068	0.145881152101211	0.130119528270718	0.113620217181461
28.5775	17.4656118501198	11.0154837781566	5.56760783419616	3.0549525362804	2.25873860930233	2.01308633951641	1.84446547127134	0.611517236991736	0.386050781991715	0.195505239869245	0.107391779670726	0.0794062530743715	0.0707707934316425	0.0648436874319799
30.065	14.0531738758	6.13314477781985	2.09649004204363	1.35321127556717	1.22727964954172	1.19188833747583	1.16601498334601	0.467899433865667	0.20444550497747	0.0699563358780442	0.0451777839331078	0.040984545156862	0.039806268796236	0.0389448052756854
24.9875	11.686186763809	5.23031420667767	1.95318499582711	1.32133975912282	1.20831253208404	1.17608523990075	1.15247642018682	0.467755925883533	0.209310177752873	0.0781622357113274	0.0529134454992166	0.0483995141354907	0.0471122385385146	0.046169153863806
43.6125	27.8418733370919	17.5930008308155	7.9678922734604	3.96523950046292	2.98054183129877	2.62392896888323	2.32948606951516	0.638315988250028	0.403285978857171	0.182622119739414	0.0909109701931681	0.0683518821224678	0.0601788737160545	0.0534288420412596
41.4375	28.383619302575	19.7090427531126	10.6641892635425	5.3433875165186	3.53426999227001	2.97090710716829	2.59298911315032	0.685237509301365	0.475986243233942	0.257654110201511	0.129116215553486	0.0853947248517064	0.0717756042664314	0.0626389672309735
29.125	19.089045867873	13.1491600994875	7.54599439057591	4.36899030696579	3.19201793125675	2.75721244951053	2.43046242391057	0.657674436342607	0.453979242508276	0.260768399593946	0.151016651516001	0.110433374117578	0.095432851481573	0.084147542999864
31.9925	19.6174122954898	12.6357066436059	7.07601867922962	4.52317950107773	3.43163457054627	2.9388291022872	2.56929769344473	0.613503536363425	0.395336919488713	0.221546480342795	0.141770948710481	0.107622994271004	0.0921699707760577	0.0805654458788037
34.1575	18.2017982556105	8.85342361861779	2.76730765741642	1.50622991715735	1.31750998129483	1.26661890796959	1.22974435606946	0.533046916489886	0.259409237366392	0.0811584061139007	0.0441844134344142	0.0386479296686616	0.0371548640195311	0.0360730254743137
37.855	20.8612400311347	11.0562520067127	4.20397626323219	2.22123042824627	1.76121053008027	1.62506201057703	1.52934724628722	0.552881935356054	0.294032349712372	0.11208025800505	0.0591660193153468	0.0468984421216111	0.0432691881087351	0.0407179205547525
34	21.5549298387493	14.1558430442743	7.87154451914023	4.90420981551665	3.72976582688777	3.21376917231578	2.78479381443299	0.633968524669092	0.4163483248316	0.231516015268829	0.144241465162254	0.109698994908463	0.0945226227151703	0.0819057004244996
