"feature","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis.Otu0113",-14.8308018774567,17.418294420726,-3.4752051162977,0.0625
"Lachnospiraceae.Otu2512",-13.8054527790634,20.876748028492,-6.40053496358787,0.125
"Lachnospiraceae.Otu2222",-21.747433980764,17.6033070784802,-34.2501047428102,0
"Lachnospiracea_incertae_sedis.Otu2549",-18.7787617324554,17.8316691088078,-19.0345833817309,0
"Lachnospiracea_incertae_sedis.Otu1990",-24.0609071536865,17.4417386296825,-36.0494315872607,0.125
"Ruminococcus.Otu1027",-29.2934429903184,14.50370763379,-35.8384878226672,0
"Lachnospiraceae.Otu0272",-16.0675883069777,17.6295230245957,-2.68672508128841,0.0625
"Lachnospiracea_incertae_sedis.Otu2746",-27.8621194545176,16.3965578225613,-36.171321948771,0.125
"Gemmiger.Otu0907",-7.90722741962319,13.5186434991254,-2.13402537224969,0.125
"Ruminococcus.Otu2545",-20.1244211923059,17.0070811413502,-32.5697157860403,0
"Lachnospiraceae.Otu0220",-17.2190746198758,18.7681557740088,-4.85157087173562,0.1875
"Blautia.Otu2495",-10.0491121784311,15.4030168990922,-2.86594212750809,0.1875
"Bacteroides.Otu2375",7.69962318203908,14.4433368437714,1.71264064375957,0.75
"Ruminococcus.Otu1859",-17.6022756478204,18.3832386852227,-4.59787118959468,0
"Roseburia.Otu2637",-17.9485914839134,18.3333180701602,-18.8364837226077,0.3125
"Lachnospiraceae.Otu2612",-20.8178896706391,22.7849421628819,-35.7908332944733,0.25
"Bacteroides.Otu1201",1.18011489080459,23.5764458901419,1.35924833210512,0.75
"Bacteroides.Otu0001",1.19628136775017,14.6390870673418,0.748852264282053,0.6875
"Ruminococcus.Otu1915",-20.1832496422289,17.3178124190092,-32.3857392183607,0
"Blautia.Otu2475",-3.4587644434523,9.05397304974515,-0.957938667549639,0.125
"Bacteroides.Otu0863",0.797267328224323,20.3297003665023,2.03304707949391,0.625
"Lachnospiracea_incertae_sedis.Otu1152",-18.6852100904779,22.3447078973278,-34.8616884889382,0.3125
"Bacteroides.Otu2038",5.56017517230203,11.8453375447188,1.98510904205276,0.75
"Lachnospiraceae.Otu0578",-16.5309395846748,17.9390777444834,-4.35731480699527,0
"Blautia.Otu0591",-6.89287177079213,14.0363264645884,-0.519565537606472,0.1875
"Bacteroides.Otu0006",3.26285821310216,9.81976944216007,1.14248156901346,0.75
"Lachnospiraceae.Otu0898",13.4234954882671,25.0855932904607,17.9958095456194,0.75
"Bacteroides.Otu0848",1.35241700650528,24.0691160718792,0.899315746178892,0.6875
"Coprococcus.Otu0802",-11.6592869832919,21.3409098198931,-2.36472560649981,0.1875
"Roseburia.Otu1051",-11.1434034531473,16.5572632425434,-1.47197170078337,0.25
"Bacteroides.Otu0069",5.25693451479032,12.8522701403782,0.415156774861259,0.6875
"Bacteroides.Otu2460",3.23738771357448,30.4628402381128,2.73391996085782,0.6875
"Bacteroides.Otu2654",-2.07060001817415,22.5328268672024,1.8955697224321,0.5625
"Bacteroides.Otu2765",5.76642829320263,13.1931120891657,1.18126476411527,0.5625
"Bacteroides.Otu2104",3.40720532859176,21.4173197017675,0.877257806513235,0.625
"Oscillibacter.Otu1518",-16.1919683842645,18.3961904868699,-2.64262782098882,0.0625
"Erysipelotrichaceae_incertae_sedis.Otu0818",8.05714602443377,23.2854854462388,2.92489718942263,0.5625
"Lachnospiracea_incertae_sedis.Otu0651",-13.401086617848,16.9160853582876,-2.15215428582118,0.1875
"Faecalibacterium.Otu0751",-0.724981703268685,13.0954782986783,-0.185836965486334,0.375
"Ruminococcus.Otu1429",-18.3245852698958,18.7234198138744,-19.087125340732,0.125
"Dorea.Otu1142",-12.0560232269404,17.9194804381545,-2.00187833171491,0.3125
"Faecalibacterium.Otu0067",-0.732191618607546,2.26517913300696,-0.546619364611475,0.375
"Clostridium_IV.Otu1864",-9.33164612779096,24.1559708578895,-0.880358581955839,0.1875
"Bacteroides.Otu2437",-9.07225289346414,28.1589860458533,-2.84500664055474,0.3125
"Bacteroides.Otu0877",5.10365402339081,17.8443397653553,1.44053659944048,0.5625
"Parabacteroides.Otu1378",-5.20749262036787,23.2128807168443,-0.87374274850753,0.4375
"Ruminococcaceae.Otu2507",-13.1930982714912,21.9748923132627,-3.49422178616056,0.1875
"Clostridium_XI.Otu2681",-12.522563650662,25.6029478130783,-16.869380108439,0.25
"Clostridium_XI.Otu1804",-9.60061527132281,17.0010648435485,-1.82078202253473,0.3125
"Bacteroides.Otu1669",-6.36644864539877,23.0792211529921,-0.795450273541968,0.3125
"Bacteroides.Otu1411",-6.57557706729104,25.7359714979516,-0.24380430904851,0.3125
"Bacteroides.Otu0929",-3.63010473968359,23.1631979578183,-0.334406898934779,0.5
"Bacteroides.Otu2431",0.357234318351117,24.04850910292,-0.00377531875418979,0.4375
"Parabacteroides.Otu1736",-9.50757304710463,15.9897252621621,-0.648139343768722,0.375
"Clostridiales.Otu1597",-11.8500865858266,17.4707741310226,0,0
"Bacteroides.Otu2120",-3.96072692161217,11.7962378929918,0.0374984687814255,0.5
"Lachnospiraceae.Otu2599",-8.40189608516863,15.6761884958745,-0.479147286266946,0.375
"Bacteroides.Otu2520",-0.383615473705296,15.2933219667276,-0.774801512613451,0.375
"Bacteroides.Otu0752",-1.79864256698932,23.9991493663892,1.10731693049826,0.625
"Clostridium_XlVa.Otu0236",-0.487487356385588,2.59690292672173,-0.0523404216048511,0.5
"Lachnospiracea_incertae_sedis.Otu0778",-11.7018090805828,17.5904322239226,-1.86705976534961,0.25
