".record.id","Sample.type","feature","Abundance"
"SB44","patient","Erysipelotrichales",0.00494233937397035
"SB45","control","Erysipelotrichales",0.00458311299136259
"SB5","patient","Erysipelotrichales",0.0474997276391764
"SB6","patient","Erysipelotrichales",0.00259547645532073
"SB7","control","Erysipelotrichales",0.00735970561177553
"SB8","patient","Erysipelotrichales",0.0124432486968219
"SB9","patient","Erysipelotrichales",0.387353275274517
"SB1","control","Enterobacteriales",0.000454648783814503
"SB10","control","Enterobacteriales",8.5157114876948e-05
"SB11","patient","Enterobacteriales",0.000892857142857143
"SB12","control","Enterobacteriales",0.30812854442344
"SB13","control","Enterobacteriales",0.000440140845070423
"SB14","control","Enterobacteriales",0
"SB15","control","Enterobacteriales",0.000413678985107557
"SB16","patient","Enterobacteriales",0.0148944973107158
"SB17","patient","Enterobacteriales",0.000257234726688103
"SB18","patient","Enterobacteriales",0
"SB19","control","Enterobacteriales",0.0017614937466972
"SB21","control","Enterobacteriales",0.00305920460680223
"SB22","patient","Enterobacteriales",0.000383877159309021
"SB23","patient","Enterobacteriales",0
"SB24","control","Enterobacteriales",0.000286861732644865
"SB25","control","Enterobacteriales",0.00532821824381927
"SB26","control","Enterobacteriales",0
"SB28","patient","Enterobacteriales",0.238001573564123
"SB29","patient","Enterobacteriales",0
"SB3","control","Enterobacteriales",0.000414507772020725
"SB30","patient","Enterobacteriales",0
"SB31","control","Enterobacteriales",0.000659340659340659
"SB32","control","Enterobacteriales",0
"SB33","control","Enterobacteriales",0
"SB34","patient","Enterobacteriales",8.6587583340549e-05
"SB35","patient","Enterobacteriales",0
"SB36","patient","Enterobacteriales",0
"SB38","patient","Enterobacteriales",0
"SB39","patient","Enterobacteriales",0
"SB4","patient","Enterobacteriales",0
"SB40","control","Enterobacteriales",0.000357015351660121
"SB41","patient","Enterobacteriales",0
"SB42","patient","Enterobacteriales",0
"SB43","patient","Enterobacteriales",0.00029120559114735
"SB44","patient","Enterobacteriales",0.00109829763866008
"SB45","control","Enterobacteriales",0.00149832540102239
"SB5","patient","Enterobacteriales",0.146203290118749
"SB6","patient","Enterobacteriales",0
"SB7","control","Enterobacteriales",0
"SB8","patient","Enterobacteriales",0.0026904321506642
"SB9","patient","Enterobacteriales",0.00340780007572889
"SB1","control","Lactobacillales",0.000227324391907252
"SB10","control","Lactobacillales",0.00170314229753896
"SB11","patient","Lactobacillales",0
"SB12","control","Lactobacillales",0.0683229813664596
"SB13","control","Lactobacillales",0.000880281690140845
"SB14","control","Lactobacillales",0
"SB15","control","Lactobacillales",0.0761169332597904
"SB16","patient","Lactobacillales",0.00124120810922631
"SB17","patient","Lactobacillales",0.000643086816720257
"SB18","patient","Lactobacillales",0.0727791209472444
"SB19","control","Lactobacillales",0.186189889025894
"SB21","control","Lactobacillales",0.00431887709195609
"SB22","patient","Lactobacillales",0.00307101727447217
"SB23","patient","Lactobacillales",0.000134480903711673
"SB24","control","Lactobacillales",0.000860585197934596
"SB25","control","Lactobacillales",0.00213128729752771
"SB26","control","Lactobacillales",0.0029546065001343
"SB28","patient","Lactobacillales",0.000786782061369001
"SB29","patient","Lactobacillales",0
"SB3","control","Lactobacillales",0.000207253886010363
"SB30","patient","Lactobacillales",0.000151423379769836
"SB31","control","Lactobacillales",0.000366300366300366
"SB32","control","Lactobacillales",0.0013934045517882
"SB33","control","Lactobacillales",0.000287125301481567
"SB34","patient","Lactobacillales",0.000432937916702745
"SB35","patient","Lactobacillales",0.00160578081091931
"SB36","patient","Lactobacillales",0.000380517503805175
"SB38","patient","Lactobacillales",0.000182116190129302
"SB39","patient","Lactobacillales",0.00483091787439614
"SB4","patient","Lactobacillales",0.00331624962315345
"SB40","control","Lactobacillales",0.000357015351660121
"SB41","patient","Lactobacillales",8.85269121813031e-05
"SB42","patient","Lactobacillales",0.00144343994530122
"SB43","patient","Lactobacillales",9.706853038245e-05
"SB44","patient","Lactobacillales",0
"SB45","control","Lactobacillales",8.81367882954345e-05
"SB5","patient","Lactobacillales",0.0232051421723499
"SB6","patient","Lactobacillales",0.00148312940304042
"SB7","control","Lactobacillales",0.00155686080249098
"SB8","patient","Lactobacillales",0.0026904321506642
"SB9","patient","Lactobacillales",0.190458159787959
"SB1","control","Selenomonadales",0
"SB10","control","Selenomonadales",0.00366175593970876
"SB11","patient","Selenomonadales",0.0142857142857143
"SB12","control","Selenomonadales",0.0226843100189036
"SB13","control","Selenomonadales",0.000880281690140845
"SB14","control","Selenomonadales",0.00309437854564208
"SB15","control","Selenomonadales",0.145890788747932
"SB16","patient","Selenomonadales",0.000413736036408771
"SB17","patient","Selenomonadales",0.00205787781350482
