"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.after.diet.by.before.diet","mean.before.diet","mean.after.diet","l2fc.paired.median","median.paired.after.diet","median.paired.before.diet"
"Lachnospiracea_incertae_sedis",7,0.0023193359375,0.088134765625,0.214285714285714,-0.571428571428571,0.814068817761807,2.25962693025916,0.00759608913247512,0.0363752123341947,-1.66828376972605,0.0284087220395191,0.00407521485113636
"Unclassified_Bacteria",85,0.0418701171875,0.530354817708333,0.642857142857143,0.285714285714286,0.543825521864213,-2.18827104549222,0.0101816079191116,0.00223398959260254,0.743628510964856,0.00205389303327359,0.00289405990717901
"Erysipelotrichaceae_incertae_sedis",80,0.090576171875,0.564592633928572,0.642857142857143,0.285714285714286,0.452303893617304,-4.24933297888326,0.0261418860913933,0.00137454901122057,1.19521410350324,0.000462025085762496,0.00156005213747565
"Clostridium_XlVa",81,0.0784912109375,0.564592633928572,0.714285714285714,0.428571428571429,0.470248374660053,-1.36940199498314,0.00666259132257184,0.00257876696583676,0.89026879209907,0.00176535096592754,0.00443118281817696
"Clostridium_XVIII",81,0.0784912109375,0.564592633928572,0.714285714285714,0.428571428571429,0.470248374660053,-1.09204416400886,0.00293534034666099,0.00137695711381637,1.02444523339129,0.000483511624174765,0.00154407035286485
"Bacteroides",79,0.10400390625,0.564592633928572,0.714285714285714,0.428571428571429,0.434498636053152,-0.608881422234674,0.561794818203756,0.368371614241162,0.184496460908848,0.300387904527311,0.615918054887969
"Clostridium_XI",74,0.1937255859375,0.77373046875,0.642857142857143,0.285714285714286,0.347342463184004,-0.79884123217152,0.0214013229612212,0.0123017089646201,1.44266281670113,0.00233401185255307,0.00299276767973471
"Roseburia",28,0.13525390625,0.6424560546875,0.428571428571429,-0.142857142857143,0.399208262483405,1.85865801000774,0.00478233902098812,0.0173441161316096,-1.42389196945078,0.00689238359710233,0.0026721199281441
"Clostridium_IV",56,0.20361328125,0.77373046875,0.642857142857143,0.285714285714286,0.366999729388296,-0.626030537548018,0.00287466075729746,0.00186265589126979,0.715471170719883,0.000275255213247625,0.000682782336308519
"Unclassified_Clostridiales",33,0.2412109375,0.833274147727273,0.428571428571429,-0.142857142857143,0.313220935164611,0.0344331400515158,0.00961546884920778,0.0098477241139408,-0.521189341890015,0.00757841622277461,0.00655739758470626
"Unclassified_Lachnospiraceae",37,0.3575439453125,0.911241319444444,0.5,0,0.245895079341144,0.974072681290912,0.0240624460730083,0.0472677433280955,0.0438215448835191,0.0322700097158343,0.0110664618815978
"Prevotella",33,0.414306640625,0.911241319444444,0.392857142857143,-0.214285714285714,0.2264115241573,1.49524364956064,0.0388778924164065,0.109601349858925,-1.35145725258776,0.000328974102278633,0.000309866970815004
"Flavonifractor",60,0.339599609375,0.911241319444444,0.678571428571429,0.357142857142857,0.264857326222714,-0.431478340108689,0.00233958296288657,0.00173480444907329,1.46306598488994,0.000648620369626223,0.00176616247323486
"Blautia",41,0.5015869140625,0.914532001201923,0.357142857142857,-0.285714285714286,0.179598203716485,0.92717162109589,0.0102955367691093,0.0195774202287277,-1.24058526973596,0.00835137830786767,0.00318165327899797
"Faecalibacterium",44,0.625732421875,0.914532001201923,0.5,0,0.130354599248869,1.04439922136957,0.0302725451216432,0.0624373451192126,-0.487033329751694,0.0159499865053995,0.010729083305454
"Escherichia_Shigella",33,0.0390625,0.530354817708333,0.642857142857143,0.285714285714286,0.72956728503352,-8.73683558528892,0.0188691675750339,4.42285969971029e-05,0,0,0
"Unclassified_Bacteroidales",62,0.5830078125,0.914532001201923,0.571428571428571,0.142857142857143,0.146725501683092,0.227491889949761,0.00791735639295428,0.00926962312542192,0.44704978718989,0.00200089439588657,0.00295665724190544
"Unclassified_Ruminococcaceae",61,0.625732421875,0.914532001201923,0.571428571428571,0.142857142857143,0.130354599248869,-0.403943806526986,0.00813807047049766,0.00615066741306645,0.905218027902174,0.00355153882590528,0.00675661295346073
"Ruminococcus",47,0.7608642578125,0.932672316028226,0.428571428571429,-0.142857142857143,0.0813399058828937,-0.132841404848296,0.00575176176282272,0.00524579894952754,-0.747051799728137,0.00264341626803115,0.00260473233904357
"Unclassified_Firmicutes",41,0.5015869140625,0.914532001201923,0.5,0,0.179598203716485,0.946675274646281,0.00258809526829434,0.00498836142971446,0.3530228620503,0.000943846157868008,0.000854449787272752
"Dorea",52,1,1,0.428571428571429,-0.142857142857143,0,-1.56151590302394,0.00440289483162508,0.0014916783497909,-0.348510367659165,0.00105644936013258,0.000757058415503269
"Clostridium_sensu_stricto",45,0.3203125,0.911241319444444,0.535714285714286,0.0714285714285714,0.299646770641906,-1.55626261618287,0.00415196898895062,0.00141179738294309,0,0,0.000150738616950846
"Parabacteroides",35,0.791015625,0.9393310546875,0.428571428571429,-0.142857142857143,0.0764966011396255,0.376978311748783,0.0407473119247801,0.0529152367343154,-0.000959798488233687,0.00109983096605632,0.00186997557279541
"Veillonella",23,0.4130859375,0.911241319444444,0.392857142857143,-0.214285714285714,0.246779536854775,2.35117691869667,0.00143409153707682,0.00731731330467846,-0.488782459418124,0.000183118000943397,3.09962184414943e-05
"Streptococcus",52,0.684814453125,0.932672316028226,0.464285714285714,-0.0714285714285714,0.112577018160029,-1.0411982595666,0.00249246311110039,0.00121114692766406,-1.13153575931286,0.000224322967033862,9.27977211478436e-05
"Alistipes",41,0.51953125,0.914532001201923,0.607142857142857,0.214285714285714,0.194193850469192,-0.206919155409748,0.0254504257704388,0.0220498774347737,0.168499291626655,0,0.00708870861509241
