"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"	"NE_0.25"	"NE_0.5"	"NE_1"	"NE_2"	"NE_4"	"NE_8"	"NE_Inf"
31.4625	17.5225087897236	9.20514655084081	3.17936033807779	1.66104655546836	1.41001488108281	1.34246613330353	1.29393441381244	0.556222303173	0.291968935294843	0.100969907244809	0.0528805700808218	0.0449198993069118	0.0427767807325094	0.0412367512574686
30.2925	14.1387748603484	6.15522078893124	2.09560305508559	1.35191438723771	1.22642320362998	1.19117423430052	1.16540304456911	0.467569708873929	0.204312447311871	0.0700112557538181	0.0452326803643937	0.0410339983789252	0.0398540463148451	0.0389913684306001
25.0175	11.7302441886278	5.25551769570554	1.95801265475075	1.32258932306208	1.20910263455328	1.17674484186787	1.15304217666512	0.469985881341017	0.211528897251997	0.0792991478355405	0.0535895874180027	0.0489744753020619	0.0476579080302795	0.0466935905741611
43.5875	27.8280556383229	17.5859413760103	7.96608064599011	3.96416049614263	2.97896648747442	2.62225746906105	2.32813532162513	0.638631828406525	0.403657079825428	0.182875144247837	0.0910390890024648	0.0684414017884246	0.0602554838289282	0.0534944831009607
41.375	28.3568990306695	19.6979688644516	10.6616217935479	5.34350759080939	3.5346276154375	2.97118260778369	2.59319883433484	0.685758510147339	0.476629721387947	0.258201764572332	0.129460605541246	0.0856146778472749	0.071952415324501	0.0627874720162149
34.1575	18.2135491697985	8.86292920853808	2.76982487914905	1.50685247280149	1.31787785167525	1.26692217879053	1.23000207848575	0.533439182552114	0.259729449698854	0.0812505743334005	0.0442157432051163	0.0386712709193565	0.0371761462561462	0.0360928460306707
34	21.5549298387493	14.1558430442743	7.87154451914023	4.90420981551665	3.72976582688777	3.21376917231578	2.78479381443299	0.633968524669092	0.4163483248316	0.231516015268829	0.144241465162254	0.109698994908463	0.0945226227151703	0.0819057004244996
23.69	10.6331640522635	4.7504261914302	1.92006381513142	1.34015385950504	1.22217441872438	1.18765155846758	1.16238743652412	0.449278569583868	0.201351158542137	0.0818954043631345	0.0573094266488461	0.052299941063881	0.0508342175527686	0.0497613842781244
8.58	3.9584902970152	2.53040249361285	1.92916889774202	1.71445183531901	1.56418264052424	1.47716073197547	1.406953536158	0.463192776865962	0.296930081065377	0.226640144989924	0.201436152716464	0.183785358666434	0.173554479706088	0.165297672405189
35.0325	22.0157721903068	14.8369020574845	9.20038326298886	6.67727727243899	5.53436401302745	4.75232147360885	3.93473850018999	0.62813543339737	0.423407512134914	0.262805054346006	0.190862526918057	0.158307295366201	0.136028676171645	0.1125937887071
