"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","DietStatus_before.diet_vs_after.diet","SE_Intercept","SE_DietStatus_before.diet_vs_after.diet","WaldStatistic_Intercept","WaldStatistic_DietStatus_before.diet_vs_after.diet","WaldPvalue_Intercept","WaldPvalue_DietStatus_before.diet_vs_after.diet","betaConv","betaIter","deviance","maxCooks","replace"
"Lachnospiracea_incertae_sedis",93.7215535336996,-2.49012911349037,0.625709050687233,-3.9796916965727,6.90046987445348e-05,0.00262217855229232,93.7215535336996,14838.9408207816,FALSE,1.47766640712687,9,2.89571029856591,1.51316203399869,7,FALSE,1.51316203399869,7.35135476195525,-2.49012911349037,0.445104345646265,0.625709050687233,16.5160255878462,-3.9796916965727,2.81337432300755e-61,6.90046987445348e-05,TRUE,5,342.94709236182,NA,FALSE
"Escherichia_Shigella",10.7002417653538,5.75534114361435,1.85960935234911,3.09491944442204,0.00196866357342011,0.0374046078949821,10.7002417653538,2364.97718756142,FALSE,13.6359039971025,13,6.90565614334797,12.8181339523399,10,FALSE,12.8181339523399,-1.39525107111915,5.75534114361435,1.36992301321009,1.85960935234911,-1.01848867247635,3.09491944442204,0.308445781316319,0.00196866357342011,TRUE,100,97.805727902385,NA,TRUE
"Roseburia",40.2029074193399,-1.65474525922748,0.643210255148785,-2.57263506914191,0.0100927565279003,0.127841582686737,40.2029074193399,2707.47768364382,FALSE,1.52487814875712,9,4.03371676014908,1.5792080507664,7,FALSE,1.5792080507664,5.96600587818921,-1.65474525922748,0.456849919883908,0.643210255148785,13.0590060729468,-2.57263506914191,5.64601064949803e-39,0.0100927565279003,TRUE,5,299.66074096843,NA,FALSE
"Clostridium_XlVa",23.0732195596426,1.21990170013336,0.569165249217978,2.1433172559454,0.0320876321446106,0.304832505373801,23.0732195596426,640.537462655221,FALSE,1.13489434778135,9,5.40322823447651,1.20132573984799,7,FALSE,1.20132573984799,3.78849470778818,1.21990170013336,0.411797011606562,0.569165249217978,9.19990820964911,2.1433172559454,3.58255661365499e-20,0.0320876321446106,TRUE,5,270.811461210533,NA,FALSE
"Unclassified_Lachnospiraceae",146.297570861271,-1.0736703823904,0.567438992586848,-1.89213359747405,0.0584731828847587,0.4075182887043,146.297570861271,19688.8411374384,FALSE,1.22162327404473,14,3.20200367850931,1.26083595817846,8,FALSE,1.26083595817846,7.65333569588199,-1.0736703823904,0.406267158952131,0.567438992586848,18.8381844981562,-1.89213359747405,3.67351586429308e-79,0.0584731828847587,TRUE,5,390.939363486022,NA,FALSE
"Akkermansia",4.13712969639749,3.80957159059017,2.05947069962672,1.84978188389893,0.0643449929533105,0.4075182887043,4.13712969639749,179.254583598747,FALSE,17.2838173812734,8,8.86827962120482,15.951697770308,9,FALSE,15.951697770308,-0.877921449615785,3.80957159059017,1.50208313051813,2.05947069962672,-0.584469282544273,1.84978188389893,0.558904625861452,0.0643449929533105,TRUE,13,82.2155839660461,NA,TRUE
"Unclassified_Bacteria",19.7694329385635,0.839337231081512,0.546374877045999,1.53619294433783,0.124491065968959,0.57077592483121,19.7694329385635,392.389644731186,FALSE,1.02542231780252,12,5.80970176427059,1.09551327137877,8,FALSE,1.09551327137877,3.82777249555648,0.839337231081512,0.394163954466023,0.546374877045999,9.71111754940149,1.53619294433783,2.70356401696683e-22,0.124491065968959,TRUE,5,263.806741904442,NA,TRUE
"Prevotella",130.884792635232,-1.9197143799757,1.31206337781449,-1.46312625779815,0.143432834128364,0.57077592483121,130.884792635232,315529.20286695,FALSE,6.96555986604444,12,3.07361211186565,6.7957014461067,11,FALSE,6.7957014461067,7.72065674483573,-1.9197143799757,0.940754233354312,1.31206337781449,8.20687961967207,-1.46312625779815,2.27010967514392e-16,0.143432834128364,TRUE,100,252.21114008293,NA,TRUE
"Clostridium_IV",11.804509758226,1.34617774364579,0.934894161645881,1.43992528659698,0.149888538116545,0.57077592483121,11.804509758226,624.473954924571,FALSE,3.18156443080891,11,6.79061791673819,3.28908288917424,8,FALSE,3.28908288917424,2.69937686872522,1.34617774364579,0.675919973864286,0.934894161645881,3.9936338222004,1.43992528659698,6.50683268977639e-05,0.149888538116545,TRUE,8,207.5670648145,NA,TRUE
"Blautia",56.345508435264,-1.02843855630268,0.721090727935259,-1.42622629366968,0.153803032206105,0.57077592483121,56.345508435264,7199.4385834625,FALSE,1.98947158855553,11,3.34407327124889,2.0230573499367,8,FALSE,2.0230573499367,6.26589087413752,-1.02843855630268,0.515618554493687,0.721090727935259,12.1521826930575,-1.42622629366968,5.58542366305932e-34,0.153803032206105,TRUE,7,321.315423709212,NA,FALSE
"Clostridium_XVIII",7.85721324781004,0.965577455861117,0.695805117890006,1.3877124945404,0.165224609819561,0.57077592483121,7.85721324781004,85.4378099361611,FALSE,1.60366037020524,9,7.17090179239074,1.71255215349513,8,FALSE,1.71255215349513,2.46348905900758,0.965577455861117,0.503890245346429,0.695805117890006,4.88893976765499,1.3877124945404,1.01380506382068e-06,0.165224609819561,TRUE,6,205.672599192642,NA,FALSE
"Enterococcus",9.45941068151665,-2.31804707333023,1.84498318144794,-1.25640553075992,0.208968977420638,0.614674624395988,9.45941068151665,1808.04522605106,FALSE,13.8044890300728,7,7.01810492218019,13.1615175458543,6,FALSE,13.1615175458543,3.97315095758574,-2.31804707333023,1.31353105231941,1.84498318144794,3.02478647198329,-1.25640553075992,0.0024880871831585,0.208968977420638,TRUE,10,104.322287626002,NA,TRUE
