"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Parabacteroides"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Unclassified_Clostridiales"	"Clostridium_XI"	"Escherichia_Shigella"	"Erysipelotrichaceae_incertae_sedis"	"Unclassified_Bacteria"	"Clostridium_IV"	"Sutterella"	"Megamonas"	"Bifidobacterium"	"Akkermansia"	"Clostridium_XlVa"	"Roseburia"	"Dorea"	"Unclassified_Firmicutes"	"Lactobacillus"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Gemmiger"	"Streptococcus"	"Unclassified_Lactobacillales"	"Enterococcus"	"Clostridium_sensu_stricto"	"Oscillibacter"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Flavonifractor"	"Unclassified_Prevotellaceae"	"Coprococcus"	"Unclassified_Alphaproteobacteria"	"Catenibacterium"	"Unclassified_Burkholderiales"	"Veillonella"	"Turicibacter"	"Haemophilus"	"Coprobacillus"	"Anaerovorax"	"Parasutterella"	"Dialister"	"Collinsella"	"Weissella"	"Unclassified_Bacteroidetes"	"Unclassified_Clostridiaceae_1"	"Brachyspira"	"Butyricimonas"	"Eggerthella"	"Unclassified_Acidaminococcaceae"	"Butyricicoccus"	"Holdemania"	"Clostridium_XlVb"	"Porphyromonas"	"Pseudoflavonifractor"	"TM7_genus_incertae_sedis"	"Bilophila"	"Unclassified_Desulfovibrionaceae"	"Unclassified_Proteobacteria"	"Subdoligranulum"	"Unclassified_Veillonellaceae"	"Unclassified_Porphyromonadaceae"	"Rothia"	"Unclassified_Clostridia"	"Unclassified_Selenomonadales"	"Soehngenia"	"Unclassified_Bacilli"	"Unclassified_Actinomycetales"	"Paraprevotella"	"Campylobacter"	"Desulfovibrio"	"Fusobacterium"	"Lactococcus"	"Anaerotruncus"	"Acidaminococcus"	"Unclassified_Erysipelotrichaceae"	"Eubacterium"	"Unclassified_Fusobacteriaceae"	"Moraxella"	"Anaerobacter"	"Clostridium_III"	"Leuconostoc"	"Megasphaera"	"Victivallis"	"Gemella"	"Peptoniphilus"	"Enterobacter"	"Granulicatella"	"Allisonella"	"Finegoldia"	"Unclassified_Bacillales"	"Hespellia"	"Cloacibacterium"	"Staphylococcus"	"Anaerostipes"	"Howardella"	"Anaerococcus"	"Unclassified_Actinobacteria"	"Unclassified_Coriobacteriaceae"	"Unclassified_Desulfovibrionales"	"Acidovorax"	"Corynebacterium"	"Abiotrophia"	"Brevundimonas"	"Unclassified_Peptostreptococcaceae"	"Parvimonas"	"Asaccharobacter"	"Anaerofustis"	"Pseudobutyrivibrio"	"Acetobacterium"	"Succinivibrio"	"Pasteurella"	"Gordonibacter"	"Pseudomonas"	"Rhizobium"	"Streptophyta"	"Unclassified_Corynebacteriaceae"	"Porphyrobacter"	"Unclassified_Succinivibrionaceae"	"Unclassified_Gammaproteobacteria"	"Unclassified_Betaproteobacteria"	"Mogibacterium"	"Unclassified_Flavobacteriales"	"Unclassified_Pseudomonadaceae"	"Slackia"	"Solobacterium"	"Unclassified_Rikenellaceae"	"Sarcina"	"Unclassified_Pasteurellaceae"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Atopobium"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Aggregatibacter"	"Erysipelothrix"	"Anaerofilum"	"Catonella"	"Unclassified_Peptococcaceae_1"	"Cellulosilyticum"	"Acinetobacter"
800	3	616	64	664	1017	75	154	540	323	230	76	0	8	234	135	0	0	44	30	46	63	68	68	0	6	19	35	2	0	21	14	33	14	0	0	0	0	18	0	7	0	0	0	3	0	37	0	14	13	0	0	0	1	5	0	0	1	2	0	0	0	0	3	0	1	0	0	7	0	0	0	0	0	25	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1519	0	290	21	33	1	49	33	76	26	88	4	1	8	18	90	0	130	3	0	15	44	36	1	0	2	13	0	8	0	0	0	6	0	24	0	0	0	4	0	1	0	0	27	1	1	2	0	0	0	0	14	0	2	0	0	0	2	0	2	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4762	0	483	453	215	22	555	15	269	203	78	28	0	0	17	21	0	0	2	0	49	31	18	56	0	15	103	16	1	0	0	0	1	0	8	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2264	15	268	2141	98	200	162	392	129	122	81	45	2	1	122	4	9	0	26	51	20	22	19	19	1	120	6	75	5	0	0	6	125	0	0	142	0	120	4	0	1	4	0	0	0	1	0	1	4	0	4	8	0	9	9	0	39	0	0	0	0	2	2	3	0	0	36	1	12	0	5	0	0	0	0	0	0	0	1	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2152	10	109	545	99	115	107	253	41	20	95	50	22	4	23	395	0	0	1	105	24	28	21	43	0	8	27	19	7	0	0	29	71	2	115	0	1	62	7	0	26	0	0	0	0	5	0	0	4	4	0	5	0	2	6	0	0	9	0	1	0	1	2	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1393	0	84	396	14	1203	86	74	49	14	52	20	0	5	61	120	1	0	20	1	9	6	20	9	0	5	3	0	10	0	1	0	14	0	0	0	0	0	5	0	1	0	0	0	0	0	0	2	0	5	1	0	0	1	0	0	0	0	1	0	23	2	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
444	0	10	0	0	0	1295	1	0	0	2	113	444	26	2	0	0	0	0	0	0	0	0	0	0	16	4	0	1	0	1	1	0	159	1	0	2	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2411	1	9	78	25	119	20	29	9	3	2	5	0	0	7	24	0	0	4	0	2	2	1	2	0	3	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	1599	267	115	491	384	4	349	160	221	187	35	2	3	192	59	25	0	46	0	37	81	36	51	0	0	5	45	1	0	0	13	4	0	0	1	0	4	3	135	82	0	0	0	0	0	6	2	0	0	5	38	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16063	2	164	889	321	6	0	26	10	859	165	48	0	51	46	76	3	0	1	553	192	31	2	11	0	12	159	0	2	0	0	4	10	0	0	0	0	0	27	0	0	0	0	0	3	0	0	23	7	0	0	0	0	0	2	0	0	3	1	15	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
