"rownames","q","p-value"
"2 - 1","N_0","0.2854"
"2 - 1","N_0.25","0.5278"
"2 - 1","N_0.5","0.7818"
"2 - 1","N_1","0.9846"
"2 - 1","N_2","1"
"2 - 1","N_4","0.9982"
"2 - 1","N_8","0.9918"
"2 - 1","N_Inf","0.9892"
