"feature","DietStatus","mean","sd","median","incidence"
"2161","after.diet",26.3133567729833,10.3702898638971,28.1614674125267,1
"2161","before.diet",31.3066388013385,9.05630249971025,31.5180348899624,1
"1786.1724137931","after.diet",25.12843838126,10.0030717528552,26.9675177895637,1
"1786.1724137931","before.diet",29.8779702450828,8.9154408187712,30.0689709499572,1
"893.586206896552","after.diet",21.0877874617361,8.76944166028209,22.3502039610414,1
"893.586206896552","before.diet",24.8985106015933,8.36659297060406,25.4100104105206,1
"1","after.diet",1,2.04747922977655e-14,0.999999999999996,1
"1","before.diet",1,1.69843939818355e-14,1,1
"2240","after.diet",26.03245754247,10.6016635995517,28.2777188297323,1
"2240","before.diet",31.5778415883548,9.08420944429431,31.797927134467,1
"2411","after.diet",26.5125560354617,10.7678472629546,28.6519693221376,1
"2411","before.diet",31.3371595242066,8.81077373826285,30.6421904248158,1
"2417","after.diet",27.7802670147676,9.98513214882801,28.8830393014924,1
"2417","before.diet",31.3552507210418,8.81178403548237,30.6608017338649,1
"2424","after.diet",27.799841755401,9.99178490033978,28.9019014169701,1
"2424","before.diet",31.1331761626047,9.06656885299086,28.9443417900587,1
"2431","after.diet",26.4953429334898,9.03943241247991,28.6940293079304,1
"2431","before.diet",31.1540212858184,9.06772192514723,28.9646504838337,1
"2491","after.diet",26.8617859392215,9.46078745388046,29.0803142963635,1
"2491","before.diet",31.3301304416036,9.07738565799555,29.1369909928961,1
"2542","after.diet",26.9940964343925,9.50419609494296,29.213629410467,1
"2542","before.diet",32.4258654360923,8.62132599635389,31.0406785460656,1
"2628","after.diet",27.2124264652161,9.5759160142461,29.4338177886645,1
"2628","before.diet",33.4605530435595,8.44057060871614,33.0680357243304,1
"2641","after.diet",27.2449262133527,9.5866007128932,29.4666172995696,1
"2641","before.diet",34.3662693366966,8.18727954453959,33.7414957990753,1
"2678.75862068966","after.diet",27.3391914544837,9.61760327378189,29.5617883057453,1
"2678.75862068966","before.diet",33.7769831865304,8.23279647307687,33.2235173499824,1
"2697","after.diet",27.3834677308903,9.63217082994977,29.6065092723627,1
"2697","before.diet",33.8260181060334,8.24436160695233,33.2778202716859,1
"2778","after.diet",27.579814768264,9.69681081995449,29.8049860109131,1
"2778","before.diet",33.932067273712,8.7366852810823,31.7207321170269,1
"3064","after.diet",28.2382229019694,9.91384480170348,30.4727192061003,1
"3064","before.diet",35.2287839245495,9.28989302998038,34.325568313328,1
"3105","after.diet",28.5341435296478,10.4021632215231,31.1774938987656,1
"3105","before.diet",35.3308002443206,9.31921728945836,34.4361878080766,1
"3223","after.diet",28.7946677988258,10.4888751162663,31.5013793778192,1
"3223","before.diet",34.1527717087932,8.88698295640826,32.8937768860276,1
"3317","after.diet",28.276157165475,10.8383437353011,31.0260491932969,1
