"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Faecalibacterium.Otu0067"	"Prevotella.Otu1987"	"Bacteroides.Otu0848"	"Bacteroides.Otu2038"	"Parabacteroides.Otu1736"	"Bacteroides.Otu2654"	"Bacteroides.Otu2065"	"Bacteroides.Otu0863"	"Bacteroides.Otu2431"	"Bacteroides.Otu0929"	"Bacteroides.Otu1201"	"Bacteroides.Otu0786"	"Alistipes.Otu2508"	"Bacteroides.Otu2625"	"Lactobacillus.Otu1332"	"Blautia.Otu2475"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu0069"	"Bacteroides.Otu2765"	"Bacteroides.Otu0661"	"Enterococcus.Otu1019"	"Ruminococcus.Otu1859"	"Alistipes.Otu1466"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0006"	"Bacteroides.Otu2343"	"Lachnospiracea_incertae_sedis.Otu0778"	"Prevotella.Otu1633"	"Bacteroides.Otu2437"	"Escherichia_Shigella.Otu2393"	"Prevotella.Otu1994"	"Bacteroides.Otu0480"	"Faecalibacterium.Otu0751"	"Lachnospiraceae.Otu2512"	"Lachnospiraceae.Otu2222"	"Lachnospiracea_incertae_sedis.Otu0651"	"Megamonas.Otu2657"	"Lachnospiraceae.Otu0898"	"Roseburia.Otu1051"	"Bacteroides.Otu2104"	"Parabacteroides.Otu1378"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu0220"	"Prevotella.Otu2602"	"Haemophilus.Otu1497"	"Lachnospiracea_incertae_sedis.Otu0113"	"Bacteroides.Otu2216"	"Bacteroides.Otu0877"	"Prevotella.Otu1803"	"Dorea.Otu1142"	"Akkermansia.Otu1935"	"Clostridium_XlVa.Otu0236"	"Clostridiales.Otu0562"	"Roseburia.Otu2084"	"Bacteroides.Otu2375"	"Bacteroides.Otu2481"	"Lactobacillus.Otu0959"	"Prevotella.Otu1319"	"Bacteroides.Otu2069"	"Lachnospiraceae.Otu2599"	"Klebsiella.Otu1452"	"Lachnospiracea_incertae_sedis.Otu1152"	"Gemmiger.Otu0907"	"Lachnospiracea_incertae_sedis.Otu2549"	"Bacteroides.Otu1726"	"Blautia.Otu2495"	"Clostridiales.Otu1597"	"Megamonas.Otu1877"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu1734"	"Clostridium_XI.Otu2681"	"Parabacteroides.Otu1107"	"Sutterella.Otu1997"	"Clostridiaceae_1.Otu1955"	"Prevotella.Otu0634"	"Bacteroides.Otu0775"	"Phascolarctobacterium.Otu1814"	"Bacteroides.Otu1976"	"Veillonella.Otu0362"	"Lachnospiracea_incertae_sedis.Otu2746"	"Lachnospiraceae.Otu0790"	"Lachnospiracea_incertae_sedis.Otu1990"	"Turicibacter.Otu0468"	"Bacteroides.Otu1565"	"Bacteroides.Otu0200"	"Blautia.Otu0591"	"Lachnospiraceae.Otu2076"	"Bacteroides.Otu2460"	"Bacteroides.Otu1669"	"Prevotella.Otu0773"	"Prevotella.Otu2501"	"Prevotella.Otu1563"	"Roseburia.Otu2637"	"Parabacteroides.Otu1655"	"Bacteroides.Otu1411"	"Lachnospiraceae.Otu0491"	"Bacteroides.Otu2416"	"Blautia.Otu0620"	"Prevotella.Otu2327"	"Bacteroides.Otu2534"	"Bacteroides.Otu0312"	"Bacteroidales.Otu0696"	"Prevotella.Otu0738"	"Bacteroides.Otu0752"	"Barnesiella.Otu2015"	"Bacteroides.Otu2383"	"Prevotella.Otu0882"	"Bacteroides.Otu1883"	"Bacteroides.Otu0763"	"Prevotella.Otu2227"	"Bacteria.Otu0435"	"Streptococcus.Otu0749"	"Bacteroides.Otu1352"	"Burkholderiales.Otu0023"	"Bacteroides.Otu0399"	"Bacteroides.Otu0883"	"Parabacteroides.Otu0538"	"other"
8	64	18	1	4	1	4	7	0	3	4	25	0	1969	0	0	0	13	17	2	11	15	10	0	31	23	1	1263	8	0	0	32	0	0	9	0	0	2	216	109	2	5	89	0	33	0	10	11	0	3	0	4	0	1	0	18	0	0	0	0	449	3	0	8	4	0	0	0	0	480	0	6	0	173	0	0	1	0	19	0	8	0	1	0	0	0	2	2	0	1	4	0	0	0	0	0	0	88	1	1	0	3	0	0	0	0	2	8	0	0	0	0	0	0	4	0	4	4	44	591
79	2	631	0	51	9	0	6	0	4	45	35	0	45	0	0	0	57	32	15	8	16	1	0	0	5	2	46	65	0	0	0	0	0	77	2	86	1	0	1	18	9	0	0	3	0	14	8	0	14	0	4	0	5	0	25	0	0	0	0	7	13	2	1	28	39	0	6	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	18	3	8	0	0	0	0	7	0	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	587
115	2642	16	0	141	9	0	6654	0	48	69	72	144	362	0	1696	10	33	0	8	38	68	1158	0	0	7	7	238	0	0	0	0	0	0	4	0	1	0	0	2	26	20	0	0	0	0	0	3	0	69	0	13	0	13	0	17	11	0	0	0	72	41	0	0	69	5	0	24	0	0	1	38	0	0	0	0	0	1	0	0	1	0	0	0	0	3	9	4	0	169	42	0	0	0	0	0	20	0	7	5	0	5	0	0	0	7	0	7	0	0	5	0	0	0	12	0	96	5	0	1769
221	900	3	0	5	6	0	6	0	35	1	1	3	25	1	2	0	6	18	40	0	0	1	784	392	3	19	4	0	0	0	0	0	0	0	0	0	3	0	10	2	0	36	0	26	0	0	2	0	5	0	16	1	6	0	2	3	0	0	0	1	1	0	32	0	0	0	0	19	0	4	3	2	14	1	0	0	0	0	0	0	5	4	3	0	0	6	2	0	0	17	0	0	0	0	27	0	2	5	6	0	0	0	0	0	6	0	0	0	0	6	0	0	0	1	0	3	1	0	964
539	27	65	0	39	4	0	18	2	535	134	120	78	0	192	2	0	49	131	64	30	122	0	12	420	10	33	0	10	0	149	11	0	159	29	25	16	3	0	2	19	19	3	0	21	0	0	16	0	23	0	55	0	4	0	45	35	0	0	0	1	27	1	20	40	3	0	9	0	0	31	27	6	3	0	6	0	25	4	0	0	44	37	56	42	64	1	3	3	4	3	0	0	0	2	0	40	2	12	24	0	0	0	0	0	12	0	17	0	0	19	0	0	0	1	0	3	0	4	2081
469	68	12	0	0	9	2	231	0	2	42	24	18	10	0	0	0	17	4	59	5	17	0	0	20	8	19	9	7	0	0	1	0	0	7	3	15	3	54	15	9	4	17	0	53	0	2	0	0	116	0	31	0	13	0	9	6	0	0	0	3	10	0	38	0	4	0	1	0	74	7	4	0	22	0	0	0	10	24	0	0	0	4	0	1	1	0	3	0	5	1	0	0	0	5	0	0	5	18	2	0	159	0	0	0	2	0	5	0	0	4	0	0	0	2	0	2	1	3	775
532	0	0	0	0	8	0	0	11	0	0	0	0	0	0	0	0	0	0	58	0	0	1711	0	0	15	19	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	34
473	43	143	3639	23	28	73	177	14	13	20	8	13	11	25	12	0	36	24	51	15	8	0	0	0	0	59	7	4	37	7	1	0	0	52	2	7	7	0	0	1	10	114	239	16	100	8	3	2	0	212	27	0	10	0	4	9	0	0	100	3	5	0	6	21	1	0	11	0	0	31	3	0	27	18	4	297	4	1	2	0	3	8	5	4	0	15	0	0	0	3	128	10	131	2	0	5	1	4	6	134	0	0	1	4	3	1	0	45	0	5	23	0	0	0	0	0	1	6	906
0	1101	231	0	3	0	0	3	0	4	220	0	0	0	0	219	0	23	9	0	0	0	0	6	0	0	0	0	222	0	0	0	0	0	60	6	24	8	0	6	30	0	0	0	27	0	9	27	0	5	0	3	0	12	0	58	0	0	0	0	0	28	0	27	0	27	0	6	21	0	0	3	6	0	0	1	0	0	0	0	5	0	0	0	1	0	0	0	23	17	24	0	0	0	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1081
844	635	90	0	59	16	1	328	0	101	1025	67	51	133	0	24	0	179	130	125	82	131	0	0	0	3	58	89	22	0	1336	6	0	1025	42	10	171	6	304	7	48	43	20	0	107	0	20	17	0	15	0	338	0	10	0	38	25	3	0	0	34	29	0	45	1	53	0	15	0	1482	37	29	9	68	0	3	0	115	40	0	11	114	19	95	0	58	1	21	16	5	45	0	0	0	81	0	124	4	19	83	0	1	0	0	0	50	0	14	0	1	16	0	0	1092	28	22	25	24	29	2762
354	0	327	0	0	21	50	0	0	0	3	4	0	0	0	0	0	24	15	59	0	1	0	210	1	4	7	0	6	1	0	0	0	0	49	25	21	0	0	0	5	0	2	0	55	0	7	38	0	5	0	15	11	16	0	2	10	0	0	0	0	10	0	106	21	3	0	14	0	0	1	4	1	2	0	0	0	1	0	0	0	4	0	13	0	0	0	6	3	2	0	0	0	0	2	0	3	0	0	4	0	0	0	0	0	8	0	0	0	30	2	0	0	0	0	0	0	0	0	914
243	0	8	0	0	8	1	0	1260	0	1	0	0	26	1	0	0	2	1	21	0	0	0	0	17	14	11	15	0	0	3	0	0	25	5	0	0	0	0	1	5	0	22	0	0	0	0	0	250	0	0	2	0	2	0	3	1	0	0	0	3	1	0	0	0	1	0	0	0	0	6	3	0	13	0	0	0	3	0	186	0	0	8	0	0	0	29	0	0	0	0	0	0	0	0	7	1	0	7	7	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	166
502	5	33	36	334	75	56	7	0	137	10	85	105	0	0	2	0	435	1238	200	367	58	5	0	0	2	60	0	1	91	0	0	0	0	4	549	3	11	0	4	28	187	0	0	0	1	0	187	0	3	0	21	0	27	0	39	38	0	0	0	0	61	0	24	15	4	0	62	0	0	7	35	47	0	0	0	0	0	0	0	3	430	2	503	296	0	0	46	0	1	0	0	63	0	26	0	2	0	2	149	0	0	2	0	0	1	0	7	0	0	10	0	0	1	0	0	0	0	0	2094
284	2	74	0	14	2	0	1	1	4	0	0	0	5	0	0	0	293	180	23	5	0	0	0	0	16	21	4	109	0	0	0	0	0	38	1069	282	8	0	23	149	9	0	0	0	0	805	179	0	0	0	3	0	30	0	118	4	0	0	0	3	83	474	0	3	43	0	15	0	0	6	100	31	0	0	0	0	0	0	0	1	0	5	2	0	0	1	54	13	0	0	0	0	0	49	1	0	5	12	62	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1434
96	29	6	0	21	3	32	0	0	309	56	4	104	8	250	21	0	1	12	13	5	5	0	3	37	2	2	3	0	0	48	2	0	160	0	0	0	0	0	0	5	3	34	0	1	0	0	0	0	1	0	16	97	1	0	5	1	1	0	0	0	1	0	1	0	0	1	3	41	0	1	5	8	0	0	4	0	1	65	0	0	0	5	0	3	0	18	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	903
0	181	0	0	15	0	1215	0	0	1	7	2	5	0	0	176	0	0	100	0	16	1	0	0	0	26	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	313
68	585	61	0	26	0	1	22	151	18	209	20	17	0	195	289	0	13	5	9	18	22	1	0	0	0	4	0	0	0	42	2	0	0	5	15	9	2	0	2	9	12	1	454	8	0	1	36	27	77	0	28	0	82	0	23	4	0	0	0	0	6	0	3	5	3	0	14	0	0	2	2	0	0	33	0	9	21	0	16	0	6	0	2	0	458	0	0	0	23	10	0	0	0	4	0	1	0	0	1	0	0	0	0	0	15	0	4	0	0	3	0	0	0	1	0	0	1	0	1183
0	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	1	59	74	0	0	0	0	0	0	565	0	0	0	0	0	0	0	0	35	0	0	0	0	23	380	0	0	0	21	0	2	0	1	0	0	1	0	9	156	20	0	0	0	0	0	26	14	0	0	0	0	0	0	0	0	27	2	0	0	91	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	952
519	204	201	0	119	18	35	50	260	70	146	124	12	0	202	24	0	70	45	58	105	84	0	119	17	0	34	0	43	0	0	0	0	0	83	120	48	144	0	0	34	59	20	0	30	0	4	36	17	13	0	19	0	86	0	16	6	0	0	0	0	13	0	11	57	15	0	24	0	0	23	17	1	7	166	4	5	1	0	30	0	17	3	23	0	0	0	9	36	4	8	0	0	0	30	0	22	0	15	5	0	0	0	0	0	4	7	18	0	0	3	0	0	0	2	0	0	1	2	2582
5544	1887	31	0	1516	1037	0	1166	2207	4	346	430	22	0	0	495	0	0	8	484	256	356	46	9	0	4	821	2	0	0	3	0	0	12	5	0	0	1	0	4	6	48	0	0	0	0	0	0	764	57	0	2	0	0	0	0	257	0	0	0	0	1	0	0	1	7	0	0	0	0	2	2	0	0	0	0	0	27	0	213	0	0	0	0	0	0	0	0	0	66	62	0	0	0	0	0	0	0	11	0	0	0	1	0	0	49	0	1	0	0	66	0	0	0	15	0	7	0	0	1101
2491	142	44	1759	87	257	3	565	0	454	68	242	225	206	631	11	0	42	5	302	109	220	1	0	583	0	298	174	9	737	1	0	0	0	14	23	0	2	0	12	10	75	175	0	5	189	7	10	0	15	181	42	0	8	0	27	56	0	0	3	77	8	0	2	11	0	0	5	14	0	142	14	3	21	208	0	246	3	5	0	0	1	19	2	0	0	6	11	3	12	6	2	428	47	10	11	1	2	55	8	12	4	0	1	1601	10	0	54	134	0	52	13	0	0	14	0	1	0	59	2615
191	640	37	1	15	1401	0	210	0	0	1294	189	18	264	210	34	0	26	1	19	8	175	0	0	18	1	161	290	572	0	855	0	0	0	13	74	17	4	305	9	17	11	0	844	5	0	1	12	0	101	0	2	1	68	0	45	71	0	0	0	112	2	0	0	0	7	0	0	0	0	0	3	0	0	0	9	0	348	0	0	0	0	2	0	0	16	1	5	41	10	33	0	0	0	0	0	78	6	2	4	0	0	138	0	0	45	74	40	0	0	17	0	0	0	6	0	1	0	0	1581
136	447	47	0	172	2	15	36	0	57	65	20	15	8	38	6	0	5	22	24	126	21	0	0	8	19	6	12	0	0	27	0	0	0	9	0	0	19	0	4	0	50	16	13	13	0	1	3	1	17	0	39	534	7	0	3	11	0	0	0	0	1	0	0	26	0	0	0	0	0	5	0	2	55	0	3	0	2	54	0	1	0	4	0	7	38	0	2	0	2	16	0	0	0	0	0	2	5	7	2	0	0	1	0	0	6	0	2	0	1	2	0	0	0	7	0	22	26	6	724
3173	2	321	0	1	482	28	0	818	0	105	244	0	0	1	0	0	34	58	216	0	229	0	64	0	4	394	0	518	0	1	1	0	7	83	81	101	5	0	0	14	0	48	93	2	0	74	29	297	2	0	175	0	45	0	79	350	0	0	0	3	19	0	1	11	27	1	8	0	0	0	11	25	29	0	12	6	1	1	82	1	20	10	20	1	0	21	5	34	14	0	0	0	0	32	1	11	2	1	13	0	0	1	0	0	14	0	40	0	917	50	0	0	0	0	0	0	0	10	2381
1665	531	433	0	2697	18	128	57	0	61	447	615	192	136	409	5	0	45	64	183	160	433	0	0	24	6	125	105	68	0	44	0	0	0	37	53	55	117	0	14	14	90	19	480	25	0	3	45	21	44	1	2	0	9	0	153	35	0	0	0	43	16	0	8	149	11	0	1	0	0	62	11	10	24	0	0	0	18	207	0	0	2	9	2	2	38	0	12	36	0	68	0	0	0	93	0	54	46	29	11	0	0	0	0	0	37	0	4	0	0	36	0	0	0	11	0	35	18	14	2434
2	5	274	264	0	0	1	1	0	5	0	2	2	0	27	2	0	59	16	0	1	0	0	249	0	3	0	0	4	74	10	0	786	0	59	9	49	0	0	0	5	0	0	10	5	4	6	22	0	1	8	21	0	5	0	3	0	0	0	6	2	2	0	7	45	15	0	64	134	0	2	1	1	0	4	0	3	0	0	0	0	10	23	26	0	0	0	25	2	0	0	3	0	5	1	0	1	0	0	4	1	0	0	0	2	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1262
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
437	136	54	0	166	26	123	172	178	99	78	55	33	0	693	40	0	72	40	52	69	44	0	112	1003	0	43	0	13	0	21	2	0	25	24	113	10	2	0	0	4	31	5	9	29	0	0	31	16	7	0	14	38	6	0	8	14	0	0	0	29	2	0	20	75	6	0	10	0	0	6	4	5	17	0	6	15	20	0	32	0	11	5	32	1	1	0	13	2	12	7	0	0	0	4	0	7	1	4	10	0	0	0	0	0	6	46	13	0	89	5	0	0	0	2	0	0	0	1	2306
391	569	22	0	359	32	0	202	324	6	25	11	6	0	0	614	0	16	1	54	37	13	11	7	0	13	24	0	0	0	0	0	0	0	7	1	0	4	0	1	7	0	0	0	0	0	0	0	115	13	0	0	0	14	0	0	18	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	39	0	0	1	0	0	0	0	3	0	47	13	0	0	0	0	0	0	2	0	2	0	0	0	0	0	8	0	0	0	0	12	0	0	0	1	0	2	0	0	261
3234	0	173	255	1	192	1202	7	0	1	195	218	100	0	0	0	0	117	15	397	0	244	7	0	2	40	324	0	0	2	134	225	81	77	79	0	0	0	0	6	23	0	483	0	0	43	10	11	0	0	69	5	0	31	0	23	66	1	0	38	0	34	0	0	7	1	0	1	0	0	120	105	1	1	403	10	28	41	0	0	28	0	6	0	1	1	0	19	0	5	0	3	2	15	0	7	193	0	72	27	14	0	0	1	4	61	921	29	41	0	40	20	0	0	0	0	0	0	4	1401
0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	2	117	47	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	5	0	0	0	0	35	0	0	0	0	32	0	69	0	0	0	0	9	0	9	931	0	0	0	0	0	0	17	207	0	0	0	0	0	0	0	0	0	3	0	0	375	0	0	0	0	323	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1259
1267	151	45	0	213	214	0	156	429	1	58	57	0	0	0	47	0	10	233	80	31	34	0	7	0	9	145	0	0	0	0	266	0	0	15	2	0	4	0	52	82	2	0	0	0	0	0	7	140	1	0	35	0	23	3	14	45	0	0	0	0	8	3	0	0	1	0	0	0	0	0	18	30	0	0	5	0	3	0	35	1	22	8	25	3	0	0	2	0	6	1	0	0	0	3	0	0	52	1	0	0	0	4	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	369
