"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Faecalibacterium.Otu0067"	"Prevotella.Otu1987"	"Bacteroides.Otu0848"	"Bacteroides.Otu2038"	"Parabacteroides.Otu1736"	"Bacteroides.Otu2654"	"Bacteroides.Otu2065"	"Bacteroides.Otu0863"	"Bacteroides.Otu2431"	"Bacteroides.Otu0929"	"Bacteroides.Otu1201"	"Bacteroides.Otu0786"	"Alistipes.Otu2508"	"Bacteroides.Otu2625"	"Lactobacillus.Otu1332"	"Blautia.Otu2475"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu0069"	"Bacteroides.Otu2765"	"Bacteroides.Otu0661"	"Enterococcus.Otu1019"	"Ruminococcus.Otu1859"	"Alistipes.Otu1466"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0006"	"Bacteroides.Otu2343"	"Lachnospiracea_incertae_sedis.Otu0778"	"Prevotella.Otu1633"	"Bacteroides.Otu2437"	"Escherichia_Shigella.Otu2393"	"Prevotella.Otu1994"	"Bacteroides.Otu0480"	"Faecalibacterium.Otu0751"	"Lachnospiraceae.Otu2512"	"Lachnospiraceae.Otu2222"	"Lachnospiracea_incertae_sedis.Otu0651"	"Megamonas.Otu2657"	"Lachnospiraceae.Otu0898"	"Roseburia.Otu1051"	"Bacteroides.Otu2104"	"Parabacteroides.Otu1378"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu0220"	"Prevotella.Otu2602"	"Haemophilus.Otu1497"	"Lachnospiracea_incertae_sedis.Otu0113"	"Bacteroides.Otu2216"	"Bacteroides.Otu0877"	"Prevotella.Otu1803"	"Dorea.Otu1142"	"Akkermansia.Otu1935"	"Clostridium_XlVa.Otu0236"	"Clostridiales.Otu0562"	"Roseburia.Otu2084"	"Bacteroides.Otu2375"	"Bacteroides.Otu2481"	"Lactobacillus.Otu0959"	"Prevotella.Otu1319"	"Bacteroides.Otu2069"	"Lachnospiraceae.Otu2599"	"Klebsiella.Otu1452"	"Lachnospiracea_incertae_sedis.Otu1152"	"Gemmiger.Otu0907"	"Lachnospiracea_incertae_sedis.Otu2549"	"Bacteroides.Otu1726"	"Blautia.Otu2495"	"Clostridiales.Otu1597"	"Megamonas.Otu1877"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu1734"	"Clostridium_XI.Otu2681"	"Parabacteroides.Otu1107"	"Sutterella.Otu1997"	"Clostridiaceae_1.Otu1955"	"Prevotella.Otu0634"	"Bacteroides.Otu0775"	"Phascolarctobacterium.Otu1814"	"Bacteroides.Otu1976"	"Veillonella.Otu0362"	"Lachnospiracea_incertae_sedis.Otu2746"	"Lachnospiraceae.Otu0790"	"Lachnospiracea_incertae_sedis.Otu1990"	"Turicibacter.Otu0468"	"Bacteroides.Otu1565"	"Bacteroides.Otu0200"	"Blautia.Otu0591"	"Lachnospiraceae.Otu2076"	"Bacteroides.Otu2460"	"Bacteroides.Otu1669"	"Prevotella.Otu0773"	"Prevotella.Otu2501"	"Prevotella.Otu1563"	"Roseburia.Otu2637"	"Parabacteroides.Otu1655"	"Bacteroides.Otu1411"	"Lachnospiraceae.Otu0491"	"Bacteroides.Otu2416"	"Blautia.Otu0620"	"Prevotella.Otu2327"	"Bacteroides.Otu2534"	"Bacteroides.Otu0312"	"Bacteroidales.Otu0696"	"Prevotella.Otu0738"	"Bacteroides.Otu0752"	"Barnesiella.Otu2015"	"Bacteroides.Otu2383"	"Prevotella.Otu0882"	"Bacteroides.Otu1883"	"Bacteroides.Otu0763"	"Prevotella.Otu2227"	"Bacteria.Otu0435"	"Streptococcus.Otu0749"	"Bacteroides.Otu1352"	"Burkholderiales.Otu0023"	"Bacteroides.Otu0399"	"Bacteroides.Otu0883"	"Parabacteroides.Otu0538"	"other"
535	2	761	6	0	48	1	0	0	0	0	0	0	12	0	0	0	358	1041	47	1	0	0	0	0	319	51	6	10	1	0	1178	0	0	336	1	1	9	1	7	83	0	1	0	2	2	71	28	0	0	2	308	0	209	0	41	7	0	0	2	2	148	63	0	11	19	0	2	0	0	4	215	934	0	0	1	0	0	0	0	60	0	67	0	13	0	7	73	9	0	0	0	0	0	33	0	0	0	11	18	1	0	3	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	4	1989
3292	1	203	2629	0	103	81	0	0	0	16	7	4	0	0	0	0	179	12	358	0	15	0	0	0	4	298	0	12	19	30	0	960	20	82	1	165	198	0	113	22	0	36	1	18	560	23	45	0	0	409	8	0	12	0	32	42	0	0	368	0	25	0	8	34	18	0	1	0	0	268	42	8	0	466	1	248	1	0	0	0	6	6	13	56	0	0	25	0	2	0	22	8	204	1	0	5	75	65	8	152	0	0	22	9	3	1	3	347	0	17	138	0	0	0	0	0	0	0	1218
0	738	37	0	43	0	500	1	0	5	27	26	5	0	0	729	0	1	3	0	49	13	0	0	0	1	0	0	9	0	0	1	0	0	9	11	28	25	0	0	22	16	0	0	26	0	4	9	0	11	0	3	0	3	0	8	0	0	0	0	0	15	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	6	72	19	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	2	0	533
217	10	160	2278	6	21	37	1	0	21	21	13	19	0	102	0	0	44	4	29	10	7	0	24	0	0	33	0	17	17	17	0	673	15	74	112	53	5	0	0	5	2	1	0	42	475	1	31	0	0	355	12	3	7	0	10	9	1	0	284	0	6	0	14	65	15	0	4	5	0	89	8	1	0	16	1	245	3	0	0	0	13	107	24	1	6	0	12	3	0	1	9	10	153	8	0	2	2	4	5	104	0	0	5	10	1	85	1	227	0	3	97	0	0	1	0	1	0	0	1111
0	29	29	0	2	0	2052	0	0	0	0	0	0	0	0	21	0	1	33	0	2	0	0	0	0	27	0	0	17	0	0	0	0	0	4	0	32	97	0	0	78	0	0	0	0	0	0	2	0	1	0	2	0	0	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570
288	0	18	0	0	10	0	0	1072	0	53	0	0	4	2	0	0	2	5	30	0	0	0	76	75	0	8	4	0	0	41	0	0	447	1	2	0	1	0	0	0	0	8	0	2	0	0	4	210	0	0	1	0	2	0	1	3	0	0	0	4	0	0	2	0	0	0	0	0	0	4	0	0	6	0	0	0	9	0	123	0	0	1	0	1	1	9	1	0	1	0	0	0	0	0	4	3	0	3	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	221
1	2	217	432	5	3	4	0	0	2	0	0	2	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	150	2902	0	3	0	0	77	8	2	0	0	8	7	6	8	35	0	0	15	5	0	8	0	5	0	2	0	23	0	0	0	0	0	19	0	2	1	0	0	7	0	0	110	1	0	0	0	0	1	0	0	0	21	0	0	0	0	0	0	0	14	0	0	0	474	174	1	0	0	1	0	1	0	0	0	511	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	889
10	8	18	0	0	13	0	1	0	0	4	1	0	8	14	11	0	156	14	2	0	0	5	212	0	26	0	0	5	0	7	10	0	0	12	99	378	0	104	28	90	0	0	1	51	0	0	136	0	21	0	17	1	8	0	6	1	0	0	0	0	23	1	82	0	245	0	2	0	0	0	7	2	0	0	9	0	1	0	0	0	4	5	0	0	0	0	60	0	2	1	0	0	0	0	0	1	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738
719	163	1	0	718	3	0	41	0	78	2	1	0	37	0	0	0	2	4	99	167	0	0	0	0	2	35	30	64	0	0	0	0	0	2	2	6	2	0	2	9	81	0	0	0	0	39	1	0	6	0	0	0	6	0	10	19	0	0	0	11	2	0	0	0	3	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	79	0	0	0	8	0	0	0	4	0	0	0	32	1	0	1	0	0	0	5	0	0	0	0	18	0	0	0	2	0	16	0	0	390
1332	38	45	0	126	4	0	201	0	75	0	0	0	0	0	0	0	0	0	154	114	0	1	0	0	0	41	0	0	0	0	0	0	0	5	0	0	0	0	0	1	71	0	0	0	0	0	0	0	8	0	0	2	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	216
192	96	67	0	1	7	12	1	0	66	105	17	40	5	183	77	0	5	22	33	1	13	0	28	29	1	4	3	0	2	89	20	0	247	14	1	5	0	0	2	4	0	15	0	8	0	0	1	0	9	0	1	1	11	0	3	3	0	0	0	0	2	1	10	18	8	2	7	6	0	3	0	8	0	0	0	0	21	50	0	0	2	1	2	2	3	4	1	0	8	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	7	0	2	0	0	1	0	0	0	0	0	1	0	0	599
6301	167	94	1	37	183	0	198	0	0	290	998	17	572	217	33	1	27	66	620	27	775	0	5	2715	12	451	383	20	0	0	0	0	0	30	1	5	0	0	3	2	23	0	0	5	0	0	4	1	9	0	3	0	12	0	30	109	0	0	0	139	2	0	55	0	0	0	5	0	0	190	7	2	0	0	1	0	14	0	0	0	67	48	127	1	0	1	3	0	28	5	0	0	0	3	0	2	5	149	3	0	34	1	0	1	26	0	104	0	0	47	0	0	0	10	1004	1	0	0	1430
589	0	412	0	860	94	0	0	168	0	173	301	0	0	0	3	0	218	179	51	0	159	1	2	0	181	69	1	132	1	0	14	0	0	182	16	3	390	0	45	33	0	0	0	0	0	33	75	45	0	0	232	0	138	0	79	27	0	0	0	0	88	0	1	0	17	0	0	0	0	0	165	11	0	0	0	0	4	0	15	2	5	6	11	30	0	0	35	178	2	0	0	0	0	8	0	1	190	1	25	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	1570
2163	1267	372	1	1110	443	105	164	353	71	272	364	2	0	0	57	0	91	154	188	320	249	0	248	10	76	351	1	92	0	2	9	0	1	162	176	38	112	0	11	45	157	4	0	63	1	13	37	134	120	0	129	0	74	0	58	114	0	0	0	12	20	0	40	18	5	0	31	0	0	0	19	47	15	83	1	1	27	0	25	0	47	11	81	51	1	0	17	48	14	58	0	0	0	96	0	2	2	3	45	0	0	2	0	0	16	0	5	0	2	31	0	0	0	10	0	2	1	8	2769
3717	0	1	0	0	88	35	3	763	0	825	1	2	0	0	0	0	197	42	379	1	5	0	0	0	12	394	0	0	0	789	0	0	1369	2	0	0	2	0	157	8	0	2911	0	98	0	0	3	241	1	0	7	0	66	0	18	101	1	0	0	0	30	0	0	0	0	0	0	0	0	92	93	0	306	0	0	0	308	0	77	0	0	71	0	2	2	0	16	0	0	0	0	0	0	0	2075	24	10	64	5	0	0	0	0	0	71	0	0	0	0	38	0	0	1	0	0	0	0	1	1476
0	0	40	0	280	0	0	2	0	44	0	0	0	0	0	0	0	7	384	0	86	0	1	0	0	0	0	0	664	14	0	2	0	1	8	4	4	1	0	1	67	38	0	0	4	0	293	9	0	3	0	1	0	0	0	150	0	0	0	0	0	20	9	2	1	4	0	7	0	0	0	17	23	0	0	9	0	0	0	0	18	1	0	0	276	0	0	2	31	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	662
1065	77	519	2	406	124	0	306	94	198	351	121	162	0	77	21	0	16	15	242	407	101	0	0	64	6	87	0	0	0	237	59	0	0	140	0	0	0	0	9	0	209	0	0	0	0	1	0	17	10	0	0	0	0	0	0	72	0	0	0	0	0	25	0	0	0	0	0	0	0	11	0	6	0	0	1	0	95	84	11	1	0	0	0	0	3	0	0	0	7	3	0	0	0	0	0	67	0	19	0	0	73	0	0	0	65	0	17	0	0	15	0	0	0	9	0	0	0	0	707
98	0	45	0	0	305	11	0	0	0	0	0	0	0	0	0	0	21	21	0	0	0	0	0	0	4	29	0	4	0	0	1	0	0	3	1	91	4	0	0	37	0	0	0	96	0	0	10	0	0	0	29	18	99	0	5	0	0	0	0	0	8	0	55	0	71	0	11	126	0	0	2	4	0	0	0	0	0	0	0	1	34	5	14	1	0	0	3	4	0	0	0	0	0	3	0	0	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973
184	70	410	2359	15	2	108	1	0	97	16	55	69	0	72	12	0	212	28	24	12	39	0	0	85	0	21	0	43	485	1	0	377	0	134	102	30	4	0	0	34	7	7	202	10	272	1	46	0	0	281	238	0	42	1	44	2	0	10	121	0	45	0	22	175	26	0	39	0	0	29	36	0	5	25	0	122	0	0	0	0	54	27	60	1	0	0	21	7	1	2	243	18	177	39	0	0	5	7	24	69	0	0	11	5	5	0	6	65	0	7	55	0	0	0	0	0	0	3	3922
3559	276	262	3	226	327	154	992	2	81	528	309	367	0	512	91	0	40	32	639	269	221	15	0	226	11	336	0	0	0	389	4	1	0	85	0	0	0	0	29	2	123	0	0	5	0	0	0	0	14	0	0	83	23	0	1	141	0	0	0	0	0	0	0	0	0	1	0	0	0	65	0	5	0	0	0	1	148	90	0	10	0	0	0	0	7	0	2	0	26	5	0	0	0	0	0	128	0	57	0	0	331	0	0	0	80	0	19	0	0	46	0	0	0	40	0	0	0	0	1326
5	0	122	708	0	0	2	0	3	1	0	0	0	0	13	0	0	10	169	2	0	0	0	0	0	0	0	0	8	14	3	8	0	0	19	2	2	9	709	0	3	0	1	0	20	12	8	7	0	0	8	7	0	4	0	1	0	0	1029	2	0	0	0	4	4	0	0	1	0	0	0	1	1	1	6	0	117	0	26	0	3	3	1	2	0	0	0	1	7	0	0	7	1	52	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	626
3746	10	231	0	38	775	0	4972	0	576	500	1429	99	0	53	6	0	208	43	319	62	1592	0	0	825	47	527	0	0	1	0	0	0	0	73	0	0	0	0	8	17	43	0	3	13	0	0	5	0	0	0	1	520	162	0	4	156	0	0	0	0	3	0	1	0	0	0	38	0	0	0	12	4	0	0	2	0	7	0	0	2	2	0	0	0	0	0	34	0	31	1	0	0	0	9	0	1	1	20	495	0	0	0	0	0	22	0	285	0	0	14	0	0	0	44	0	0	0	0	1720
170	0	123	0	0	14	14	0	0	0	0	2	0	0	0	0	0	79	44	25	0	2	21	353	2	3	3	0	26	2	0	0	0	0	28	74	36	0	0	25	10	0	0	0	10	0	30	82	0	1	0	38	0	17	2	21	7	0	0	0	0	22	0	28	14	10	0	145	0	0	0	10	15	0	0	3	0	0	0	0	2	5	1	14	0	0	0	41	13	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	0	1453
0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	143	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	13	31	535	0	632	7	0	0	0	98	0	0	107	0	0	0	78	0	7	0	25	0	0	0	0	0	20	0	0	0	2	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	22	0	0	0	0	0	0	1	0	0	95	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	976
479	189	359	0	29	52	55	12	1	138	788	380	218	11	0	27	0	87	45	64	25	614	0	160	0	0	59	6	16	0	837	0	0	48	142	207	29	1	191	0	18	13	5	29	106	0	11	92	0	10	0	33	0	16	0	20	51	4752	0	0	1	16	0	26	98	14	3709	36	0	0	14	17	1	6	0	1	1	79	0	0	1	23	3	33	19	25	0	12	8	16	10	0	0	0	16	0	363	1	7	7	0	0	0	0	0	117	0	48	0	1	18	0	0	0	6	0	7	4	8	2217
3611	1484	986	1	1145	7	323	46	7	86	727	404	96	48	282	7	0	140	13	495	555	473	0	0	51	5	281	49	16	0	380	0	0	0	174	361	48	55	0	13	74	244	47	309	22	0	1	144	34	88	0	5	0	38	0	55	89	0	0	0	23	13	0	3	199	7	0	0	0	0	132	3	5	78	0	0	1	119	81	0	1	1	8	0	0	260	0	33	16	1	139	0	0	0	78	0	140	51	75	15	0	1	0	0	0	96	0	7	0	0	119	0	0	1	33	0	93	99	43	2261
270	161	87	2853	31	34	5	6	0	15	4	0	0	77	0	0	0	17	33	37	48	0	0	0	0	0	54	68	32	16	0	1	0	0	33	62	2	10	0	0	10	44	0	0	8	970	8	17	0	0	811	15	0	8	0	3	6	69	0	721	52	5	0	3	4	4	0	1	336	0	32	2	0	1	0	0	2	1	0	0	2	4	4	8	0	0	46	1	22	0	12	394	18	3	8	0	0	0	10	7	368	0	0	194	9	4	0	0	28	0	3	225	0	0	7	0	11	16	0	1725
142	0	113	0	349	760	40	2	0	43	83	72	2	0	0	0	0	3	10	4	145	82	3	0	0	2	63	0	1	1	0	0	0	0	19	0	0	0	0	4	6	67	0	0	0	0	0	8	0	4	0	0	16	6	0	2	16	0	0	0	0	7	0	0	0	0	0	1	10	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	0	0	51	0	0	1	0	7	0	2	2	0	0	0	4	0	0	0	0	531
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712	0	0	0	0	206	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	334	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1448
344	11668	168	2	964	23	26	217	0	294	162	424	14	4317	0	1	0	24	158	42	875	262	71	0	77	89	36	3691	4	0	3	48	1	0	40	0	1	0	18	61	11	585	663	0	5	0	0	4	0	109	0	8	0	37	0	19	5	0	0	0	1201	1	0	2	2	0	0	0	0	29	18	5	2	1324	0	0	0	5	141	0	0	1	10	1	0	1	18	7	0	16	721	0	0	0	0	7	0	15	15	7	0	38	0	1	0	4	0	65	1	1	10	0	0	0	229	0	419	548	519	1747
0	0	58	0	1	0	0	1	0	153	407	803	746	0	0	0	0	41	15	0	0	241	0	0	13	5	0	0	4	0	2	3	0	0	13	1	16	39	0	10	36	7	0	0	10	0	0	6	0	0	0	3	0	28	0	3	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	6	8	0	0	0	0	36	0	0	1	0	22	0	0	0	0	2	2	39	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	832
1285	30	298	1028	83	243	74	177	0	34	148	23	51	0	7	11	0	5	0	114	92	9	0	0	32	18	226	0	0	441	89	0	134	1	42	1	0	0	0	4	0	42	81	242	0	163	0	0	0	1	132	0	1	52	0	0	51	0	0	86	1	0	3	0	1	0	0	2	0	0	10	2	0	308	50	0	68	60	0	0	0	0	0	0	0	0	0	0	0	0	12	68	236	52	0	5	9	0	5	1	11	0	0	7	152	20	36	1	81	0	1	21	0	0	6	0	0	0	92	3430
0	0	912	0	0	0	0	0	0	0	2	1	4	0	0	0	0	41	13	0	0	1	0	0	0	2	0	0	23	1	0	0	0	0	118	16	59	306	0	72	81	0	0	0	99	0	17	68	0	0	0	4	0	15	20	5	0	0	0	0	0	10	0	17	0	0	0	4	0	0	0	3	0	0	0	24	0	0	0	0	164	9	14	5	0	0	0	5	29	0	0	0	0	0	36	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1018
510	120	87	110	46	52	15	13	0	66	15	52	121	0	52	58	0	1	11	46	53	15	0	1	0	0	34	0	0	3	2	0	169	2	24	0	0	0	0	0	0	20	95	0	0	14	0	0	0	3	11	0	0	1	0	0	1	0	0	10	0	0	0	0	5	0	0	0	0	0	34	0	0	0	152	0	6	0	0	0	1	0	0	0	0	1	0	2	0	19	9	1	0	23	0	3	0	0	4	0	3	0	0	1	0	12	1	2	49	0	6	4	0	0	3	0	1	0	1	452
270	1882	33	0	43	2069	0	25	0	1624	351	766	217	36	58	21	0	31	4	9	17	634	1	7	421	4	244	27	306	0	0	1	0	0	0	0	0	4	0	6	8	1	0	0	9	0	1	4	0	57	0	5	0	32	0	66	109	0	0	0	6	4	1	0	180	0	0	19	0	0	0	3	0	0	0	0	0	2	0	0	2	1	25	1	0	0	0	3	41	15	70	0	0	0	20	0	1	3	1	12	0	0	155	0	0	10	0	110	0	0	24	0	0	0	15	0	0	0	0	1603
0	0	48	3765	0	1	14	0	0	0	0	1	0	0	1	0	0	42	16	0	1	0	0	16	0	0	0	0	6	224	0	6	1574	0	15	25	3	4	0	0	6	0	0	0	2	670	0	25	0	0	507	9	0	3	0	3	0	0	0	493	0	4	7	0	6	4	0	3	32	0	19	3	0	0	16	4	17	0	0	0	0	1	36	2	0	0	0	4	0	0	0	415	21	171	5	0	0	2	0	3	201	0	0	5	8	0	1	0	4	0	0	136	0	0	0	0	0	0	0	2736
85	137	75	0	5	88	0	11	0	0	135	28	9	49	74	70	0	2	0	7	0	29	2	0	0	0	4	28	8	0	204	0	0	0	30	0	0	0	507	0	1	0	0	100	0	0	0	0	0	103	0	0	0	3	0	0	59	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	0	0	0	3	2	2	0	24	1	0	0	0	0	0	4	0	0	0	0	0	3	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	507
90	62	31	0	44	0	296	2	0	91	61	19	14	21	102	0	0	36	11	9	54	8	0	18	4	1	2	4	5	0	27	0	0	105	3	6	0	3	0	1	4	22	9	45	13	0	4	13	0	3	0	11	6	4	0	7	1	0	0	0	10	1	1	11	1	0	1	149	0	0	0	1	5	0	0	1	13	0	2	0	1	7	6	1	1	3	36	7	0	1	2	0	0	0	8	0	3	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	6	0	1	0	0	868
1701	1162	310	0	1217	151	521	46	0	109	341	424	10	686	161	0	0	161	98	220	373	289	0	0	21	10	132	578	11	0	35	0	0	0	19	278	66	109	0	44	8	205	20	438	46	0	0	125	12	41	0	4	0	14	0	95	26	0	0	0	161	21	0	9	102	11	0	2	0	0	77	29	29	48	0	1	0	8	206	0	1	1	75	0	8	12	1	26	13	2	99	0	0	0	3	3	5	89	31	27	0	0	8	0	0	14	0	3	0	0	47	0	0	2	25	0	73	70	23	1882
0	41	24	0	2092	0	0	27	0	38	0	0	0	0	0	8	0	5	3	0	391	0	0	0	0	10	0	0	0	1	0	3	0	0	0	0	20	0	0	1	27	323	0	0	4	0	0	1	0	420	0	2	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	41	0	0	0	0	766
2320	3	164	0	352	49	311	467	0	111	0	0	0	94	370	1	0	125	25	274	369	0	0	0	81	0	164	74	9	0	0	0	0	0	28	48	60	5	0	0	6	163	110	0	103	0	0	41	0	5	0	12	0	16	0	21	35	0	0	0	33	11	0	26	16	48	0	16	7	0	78	11	3	84	0	0	0	0	8	0	0	25	20	16	2	0	0	16	9	0	0	0	0	0	0	20	0	5	47	11	0	0	1	0	0	0	0	0	0	0	28	0	0	0	5	0	1	0	4	869
418	189	57	0	144	23	13	53	0	25	43	38	25	7	50	1	0	9	47	43	54	36	0	10	3	2	29	10	9	0	18	1	0	0	6	59	17	11	0	2	1	28	1	0	4	0	1	13	1	4	0	3	48	2	0	9	2	0	0	0	0	1	0	3	37	8	0	2	0	0	8	4	10	1	0	12	0	2	34	0	0	8	2	11	1	10	0	2	8	0	19	0	0	0	7	0	10	5	9	7	0	0	1	0	0	6	0	2	0	0	5	0	0	0	4	0	5	7	1	980
0	6057	450	0	86	0	0	19	0	339	16	0	139	0	0	66	2	10	9	0	101	0	0	0	0	8	0	0	30	0	6	0	0	0	200	5	27	26	0	78	37	126	0	0	45	0	0	7	0	305	0	10	16	154	2	12	0	0	0	0	0	39	0	0	0	1	0	0	633	0	0	25	0	0	0	1	0	0	0	0	30	1	110	0	0	4	0	14	13	7	142	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1055	0	55	0	24	92	0	2513
742	20	138	4893	8	92	98	3	0	0	2	0	0	1681	0	0	0	95	7	82	13	0	0	0	0	2	119	904	26	38	0	59	0	0	69	30	14	19	0	0	21	5	15	0	10	1364	940	13	0	0	1213	47	0	2	0	14	13	4	0	1038	422	15	0	9	0	10	0	6	0	0	60	31	0	18	0	54	0	0	0	0	140	3	5	5	17	0	1466	6	20	0	1	414	32	8	3	0	0	1	32	7	522	0	0	203	16	2	0	0	29	0	3	300	0	0	1	0	1	3	6	2618
362	4	242	0	522	2840	313	20	0	73	43	101	1	0	0	2	0	93	32	10	428	85	0	0	0	2	258	0	5	1	0	25	0	0	102	7	22	14	0	9	26	226	0	0	53	0	0	26	0	7	0	9	0	42	3	58	69	0	0	0	0	29	0	17	7	4	0	14	0	0	0	34	6	0	0	213	0	0	0	0	10	24	56	13	10	0	0	17	9	3	0	0	0	0	36	0	0	30	0	1	0	0	196	0	0	2	0	17	0	1	18	0	0	0	16	0	0	0	0	1491
