"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Faecalibacterium.Otu0067"	"Prevotella.Otu1987"	"Bacteroides.Otu0848"	"Bacteroides.Otu2038"	"Parabacteroides.Otu1736"	"Bacteroides.Otu2654"	"Bacteroides.Otu2065"	"Bacteroides.Otu0863"	"Bacteroides.Otu2431"	"Bacteroides.Otu0929"	"Bacteroides.Otu1201"	"Bacteroides.Otu0786"	"Alistipes.Otu2508"	"Bacteroides.Otu2625"	"Lactobacillus.Otu1332"	"Blautia.Otu2475"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu0069"	"Bacteroides.Otu2765"	"Bacteroides.Otu0661"	"Enterococcus.Otu1019"	"Ruminococcus.Otu1859"	"Alistipes.Otu1466"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0006"	"Bacteroides.Otu2343"	"Lachnospiracea_incertae_sedis.Otu0778"	"Prevotella.Otu1633"	"Bacteroides.Otu2437"	"Escherichia_Shigella.Otu2393"	"Prevotella.Otu1994"	"Bacteroides.Otu0480"	"Faecalibacterium.Otu0751"	"Lachnospiraceae.Otu2512"	"Lachnospiraceae.Otu2222"	"Lachnospiracea_incertae_sedis.Otu0651"	"Megamonas.Otu2657"	"Lachnospiraceae.Otu0898"	"Roseburia.Otu1051"	"Bacteroides.Otu2104"	"Parabacteroides.Otu1378"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu0220"	"Prevotella.Otu2602"	"Haemophilus.Otu1497"	"Lachnospiracea_incertae_sedis.Otu0113"	"Bacteroides.Otu2216"	"Bacteroides.Otu0877"	"Prevotella.Otu1803"	"Dorea.Otu1142"	"Akkermansia.Otu1935"	"Clostridium_XlVa.Otu0236"	"Clostridiales.Otu0562"	"Roseburia.Otu2084"	"Bacteroides.Otu2375"	"Bacteroides.Otu2481"	"Lactobacillus.Otu0959"	"Prevotella.Otu1319"	"Bacteroides.Otu2069"	"Lachnospiraceae.Otu2599"	"Klebsiella.Otu1452"	"Lachnospiracea_incertae_sedis.Otu1152"	"Gemmiger.Otu0907"	"Lachnospiracea_incertae_sedis.Otu2549"	"Bacteroides.Otu1726"	"Blautia.Otu2495"	"Clostridiales.Otu1597"	"Megamonas.Otu1877"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu1734"	"Clostridium_XI.Otu2681"	"Parabacteroides.Otu1107"	"Sutterella.Otu1997"	"Clostridiaceae_1.Otu1955"	"Prevotella.Otu0634"	"Bacteroides.Otu0775"	"Phascolarctobacterium.Otu1814"	"Bacteroides.Otu1976"	"Veillonella.Otu0362"	"Lachnospiracea_incertae_sedis.Otu2746"	"Lachnospiraceae.Otu0790"	"Lachnospiracea_incertae_sedis.Otu1990"	"Turicibacter.Otu0468"	"Bacteroides.Otu1565"	"Bacteroides.Otu0200"	"Blautia.Otu0591"	"Lachnospiraceae.Otu2076"	"Bacteroides.Otu2460"	"Bacteroides.Otu1669"	"Prevotella.Otu0773"	"Prevotella.Otu2501"	"Prevotella.Otu1563"	"Roseburia.Otu2637"	"Parabacteroides.Otu1655"	"Bacteroides.Otu1411"	"Lachnospiraceae.Otu0491"	"Bacteroides.Otu2416"	"Blautia.Otu0620"	"Prevotella.Otu2327"	"Bacteroides.Otu2534"	"Bacteroides.Otu0312"	"Bacteroidales.Otu0696"	"Prevotella.Otu0738"	"Bacteroides.Otu0752"	"Barnesiella.Otu2015"	"Bacteroides.Otu2383"	"Prevotella.Otu0882"	"Bacteroides.Otu1883"	"Bacteroides.Otu0763"	"Prevotella.Otu2227"	"Bacteria.Otu0435"	"Streptococcus.Otu0749"	"Bacteroides.Otu1352"	"Burkholderiales.Otu0023"	"Bacteroides.Otu0399"	"Bacteroides.Otu0883"	"Parabacteroides.Otu0538"
0.0332435085931954	0.100101164730457	0.00614767969290665	0	0.00588792164705869	0.157200902591274	0	0.00225127526518645	0	0.159338759866214	0.0298682750707193	0.0874286235504924	0.0268389285805032	0.00259762457890374	0.000519525476672724	0.00121222586987505	0	0.0106500714207579	0.00086587572520843	0.00207810050445942	0.0010390508131221	0.0582405131141537	0	0.00216468789293766	0.00831231227780285	0.000952463272735762	0.0200869685049764	0.00251103727806443	0.0129877723635998	0	0	0	0	0	0.00337690933217079	0.000173175165815521	0	8.65875832323519e-05	0	0.00086587572520843	0.00121222586987505	0.00121222586987505	0	0	0.000519525476672724	0	0.000259762747100325	0.000346350326437582	0	0.00372325748127074	0	0.000346350326437582	0	0.00519523163014399	0	0.00337690933217079	0.00735987813902456	0	0	0	0.0010390508131221	8.65875832323519e-05	0	0	0.00744646334959213	0.000259762747100325	0	0.00649402310575742	0	0	0	0.000173175165815521	0	0	0	8.65875832323519e-05	0	8.65875832323519e-05	0	0	0	0	0.00311714795223811	8.65875832323519e-05	8.65875832323519e-05	0	0	0.00138540089027386	0.00199151310040091	0.00121222586987505	0.00216468789293766	0	0	0	0.00121222586987505	0	8.65875832323519e-05	8.65875832323519e-05	0	0.00458912580914265	0	0	0.0138535701974543	0	0	0.000606113046272245	0	0.014719357647383	0	0	0.00147198838521752	0	0	0	0.00173175080123538	0	0	0	0
0	0	0.104864419010987	0	0	0	0	0.000106010812904373	0	0.0131449622684162	0.0165369331074708	0.0781563870805258	0.0604952686667123	0	0.000106010812904373	0	0	0.0162189433187465	0.0239561523005915	0	0.000212021624617366	0.0459924764635661	0	0	0.00265026722502977	0.00212021467355458	0	0	0.0459924764635661	0	0	0.000318032433947597	0	0	0.0133569652813558	0.0124029471333015	0.0354002173329045	0.03190384222019	0	0.0122969444041806	0.0249099648673684	0.00169617219633227	0	0	0.0272414095595461	0	0.00318031903190013	0.00826874919625967	0	0	0	0.00371036994524885	0	0.00773871211404973	0.000742075623613319	0.0134629665633101	0	0	0	0	0	0.016430936695422	0	0.00169617219633227	0	0.000636064835727928	0	0.000106010812904373	0	0	0	0.0220484626615036	0.00116611867984455	0	0	0.000636064835727928	0	0	0	0	0.000424043239703688	0.00222622523626993	0.0169609168859759	0.00466445886226837	0	0	0	0.00275627765073759	0.0113429137673685	0.00212021467355458	0	0	0	0	0.00286228804546988	0	0.000636064835727928	0.00636060589725811	0	0.00233223577396647	0	0	0	0	0	0.000318032433947597	0	0.00689064832237652	0	0	0	0	0	0	0.000106010812904373	0	0	0	0
7.69171601426012e-05	0	0.0619555874946057	7.69171601426012e-05	0.000153834319830141	0	0	0.000153834319830141	0	0.104417490234911	0.000692254386676089	0.0185359741555212	0.378484291161281	0	0.000307668636019794	0	0	0.0110758446164235	0.00915301426242471	0	0.0162288084217432	0.00138450844161298	0	0	0.00576875502037797	0.00207676183307292	0	0	0.0178438342356029	0	0	0.0253799380734633	0	0	0.00984523745951105	0.00961449690159447	0.0145368312899771	0.0356819901147454	0	0.00823004323463356	0.0142291944714424	0.00869152967401841	0	0	0.00723015006760234	0	0.000846088661455201	0.00615333398625553	0	0	0	0.00161525966220134	0	0.0068455737932394	0	0.00484576212951804	0	0	0	0	0	0.00446118049482166	0.000230751478607559	0.000153834319830141	0	0.000615337242915683	0	0.000230751478607559	0	0	0	0.00723015006760234	0.00115375714730495	0	0	0	0	0	0	0	0	0.000384585791611784	0.0127679016910059	0.000230751478607559	7.69171601426012e-05	0	0	0.00176909376223743	0.0150751923947073	0.000230751478607559	0	0	0	0	0.00515342692398413	0	7.69171601426012e-05	0.00299976474957586	0	0.00207676183307292	0	0	0	0	0	0	0	0.000230751478607559	0	0	0	0	0	0	0.0023844297073233	0	0	0	0
0.226069135491709	0.133957346291119	0.0189280206485765	3.86309201789104e-05	0.0164174035699316	0.0216316282610506	0	0.0159925192397521	3.86309201789104e-05	0.00150660531738842	0.0534783300863918	0.0488100997356787	0.00687624960536255	0	0.0136362922146829	0.0367297460164817	0	0.00679898957108257	0.00100440375602323	0.0465720524655034	0.0250688413809489	0.0263818580760118	0	0	0.028042372610475	0.00104303465596673	0.0318651163181679	0	0	0	0.0273472826463285	3.86309201789104e-05	0	3.86309201789104e-05	0.0073011790478697	0	0	3.86309201789104e-05	0	0.00189291395881322	0.000193154599741537	0.00942580495151658	0	0	3.86309201789104e-05	0	0.000772618326902697	3.86309201789104e-05	0	0.00444254120853873	0	0	0.00343814512314586	0.00027041643802393	0	3.86309201789104e-05	0.0130182523892549	0	0	0	0	3.86309201789104e-05	3.86309201789104e-05	0.000193154599741537	0.000386309192276727	0	0	0.000618094683660046	0	0	0.00320636088167842	0.000154523680139134	3.86309201789104e-05	0	0	0.00027041643802393	3.86309201789104e-05	0.0117049015441636	0.00390171303949948	0	7.72618403001701e-05	0.00254963797005573	0	0.0031677301576836	0	0.00139071267849463	0	0.00112029645112638	0	0.00579460560020617	0.0043652801173995	0	0	0	0	0	0.00579460560020617	0	0.0023178531358882	0.000540832856273646	0	0.00374719048895725	0	0	0	0.00409486609623653	0	0.000154523680139134	0	7.72618403001701e-05	0.00274279189442199	0	0	3.86309201789104e-05	0.00185428310643144	0	0.000309047356588618	7.72618403001701e-05	0
0.234133321592436	0.149802055296392	0.00447059417343358	0	0.0111984203338633	0.0216431402888736	0.0001327903678817	0.0343859287067786	4.42634560761977e-05	0.00137216670821476	0.0205367999949645	0.0328818221726786	0.0219086580692401	0	0.0308909791507004	0.0520745490258321	0	0.00137216670821476	0	0.0555663018873575	0.0177487140203451	0.0187223481278788	0	0	0.0192534138567292	0.000531161448111502	0.0283690699435404	4.42634560761977e-05	4.42634560761977e-05	0	0.00553290378146862	0	0	0	0.00181480070354171	0.0001327903678817	0.0001327903678817	0	0	0.000486897997759043	0.000221317278646522	0.00606405631898375	0	4.42634560761977e-05	8.8526912065672e-05	0	0	0.000619688345607658	0	0.00327548989367383	4.42634560761977e-05	0.000619688345607658	8.8526912065672e-05	0.00199185420697105	0	0.00349680590486977	0.0101804190485855	0	0	0	0	0.000265580733421869	0	0.000221317278646522	0.0011065861764244	4.42634560761977e-05	0	0.000265580733421869	0	0	0.00331975310909474	0.000309844187676877	0	0	0	0	0	0.00256727763313899	0.00141643012127625	0	0	8.8526912065672e-05	0.00433780509311446	4.42634560761977e-05	0	0.0011065861764244	0	0.000309844187676877	0	0.00730340532784039	0.00393943740259556	0	0	0	0	0	0.0170848628815249	0.000663951792577908	0.00314270020925343	0.00106232274636518	4.42634560761977e-05	0.0130130888137565	0	0	0	0.00677225701522212	0	0.0001327903678817	0	4.42634560761977e-05	0.00314270020925343	0	0	0	0.00309843696868314	0	0.000442634546452628	0	0
0.0214269318256534	0.0147316100082083	0.000892857024227144	0	0.00892845280278563	0.000446428556599818	0.013392456798781	0	0	0.237493280354409	0.0174098347787549	0.00267856822557065	0.0348143953929121	0.00133928531390965	0.215297153297561	0	0	0.000892857024227144	0.0312449159708549	0.00178571333667532	0.00312499491375933	0.00133928531390965	0	0	0.0196415941894502	0	0.00267856822557065	0.00133928531390965	0	0.000446428556599818	0.00491069454885534	0.000446428556599818	0	0.0187489015409583	0	0	0	0	0	0.000446428556599818	0	0.00133928531390965	0.0138388439889104	0.00401784633277316	0	0	0	0	0	0.000446428556599818	0	0.00446427088566354	0.0294600241711168	0.000446428556599818	0.000446428556599818	0	0.000446428556599818	0	0	0	0.00312499491375933	0.000446428556599818	0.000446428556599818	0.00267856822557065	0	0	0	0.00178571333667532	0	0	0	0	0.00937486267632963	0	0	0.00133928531390965	0.0160707368014297	0.00223214100355262	0.0138388439889104	0	0	0.000892857024227144	0	0.000446428556599818	0.0111604825994013	0	0.00133928531390965	0	0	0	0	0	0	0	0.000446428556599818	0	0	0	0.000446428556599818	0	0	0	0	0	0	0	0	0	0	0	0.000446428556599818	0	0	0	0	0	0	0	0
0	0.000378644443810955	0.0401255437189908	0.00151457723237572	0.000378644443810955	0.000378644443810955	0.000757288833335057	0	0	0.0117377085119787	0	0	0.00416507693890327	0	0	0	0.000757288833335057	0.0261234958723497	0.0344498306819082	0	0.00340779347990875	0	0.000757288833335057	0	0	0.376501718868292	0	0	0.0109804684778008	0.0155237990506103	0	0.00265050806662181	0	0	0.0117377085119787	0.000757288833335057	0.0056796362569608	0	0	0.00984459675692749	0.0166595852932596	0.00265050806662181	0.000757288833335057	0.00113593311428553	0.00113593311428553	0	0.00113593311428553	0.00113593311428553	0	0.0056796362569608	0	0.00302915099040974	0	0.00643691124752972	0	0.00227186476282984	0	0	0.00113593311428553	0	0	0.0196882395758596	0	0.00189322113331921	0.000757288833335057	0.00227186476282984	0	0.00265050806662181	0	0	0.000378644443810955	0.00113593311428553	0	0	0	0	0	0	0	0	0	0	0.000757288833335057	0	0	0	0	0.00605827418651626	0.000378644443810955	0	0	0	0.00113593311428553	0.000378644443810955	0.000757288833335057	0.000378644443810955	0	0.000757288833335057	0	0.00681554738572386	0	0	0	0.00189322113331921	0	0	0	0	0	0	0.000378644443810955	0	0	0.00151457723237572	0.000757288833335057	0	0	0	0
0.0393359734628447	0.174751417865657	0.0204500642159684	0	0.00120302851173879	0.0317687695843894	0	0.000636897557960674	0	0.0277368722207278	0.0299297186003469	0.0273831745569035	0.00332601467304875	0.000566131170664545	0.0275246540358897	0.000778430322630022	0	0.014011288777393	0.00976560799526682	0.00601510773693404	0.00148609385537752	0.0217943258365071	0	0.139032226948054	0.0174076552511712	0.000141532799753933	0.0086333935643853	0.000212299198744924	0.00169839278620421	0	7.07664000541612e-05	0	0	0	0.00530745509076944	0.0116761907076868	0.000778430322630022	0.000141532799753933	0	7.07664000541612e-05	0.00198145790657819	0.000778430322630022	0.000778430322630022	0	0.00629816797184058	0	0	0.0050243932682732	0	0.00452903412385931	7.07664000541612e-05	0.00375061041263964	0	0.00339678067335452	0	0.00169839278620421	0.000566131170664545	0	0	0	0.000424598387921323	0.00120302851173879	0	0.00268911996329957	0.0122422814184624	0.00459979978679404	7.07664000541612e-05	0.00318448262282345	0.000141532799753933	0	0.000141532799753933	0.00106149580235419	0	0.000990729439510934	0	0	0	0	0	0	7.07664000541612e-05	0.00467056542669416	0.000212299198744924	0.00530745509076944	0.0050243932682732	0.000141532799753933	0	0.00169839278620421	0.000353831993183009	0.000778430322630022	0.00495362774886144	0	0	0	0.000353831993183009	0.000141532799753933	7.07664000541612e-05	0.000566131170664545	7.07664000541612e-05	0.00212299040864556	0	0	0.00290141833384022	0	0	7.07664000541612e-05	0	0.00827957421692599	0	0	0.000424598387921323	0	0	0	0.000849196699294463	0	0	7.07664000541612e-05	0
0.0383396478261634	0	0.123346398281311	0	0.00048748779349656	0.277853953061761	0.00146246291709524	0	0	0	0.000162495936886444	0	0	0	0	0	0	0.0191733458734626	0.00958711345483236	0.000649983704638848	0.000324991869482195	0	0	0	0	0.0022749411641491	0.0287578169481099	0	0.00974960179772328	0	0	0.000649983704638848	0	0	0.0430481265229645	0.000974975471144449	0.0323310586932869	0.00779972592097151	0	0.0022749411641491	0.0134867539605725	0.000162495936886444	0	0	0.0373653703009386	0	0	0.00194995001550102	0	0	0	0.00194995001550102	0	0.00308741790947253	0	0.00438737623974298	0.000162495936886444	0	0	0	0	0.00633729914728307	0	0.0133242726229491	0.00389989261674655	0.00259993207252023	0	0.0022749411641491	0	0	0	0.00503735276188171	0.0121868936508705	0	0	0	0	0	0	0	0.000162495936886444	0.0355791034242554	0.0042248818088691	0.00536234024207341	0	0	0	0.00048748779349656	0.0120244096193507	0	0	0	0	0	0.0250217633352728	0	0	0	0	0.00194995001550102	0	0	0.0242095297603919	0	0	0	0	0	0	0	0	0	0	0.000162495936886444	0	0	0	0	0
0.172906295155754	0.0186170461924042	0.000413736024605055	0	0.0368141910587719	0.00744717981779679	0	0.0107569294952956	0	0	0.000413736024605055	0.00372361572282274	0.000413736024605055	0.248570116622484	0	0.00289614820620166	0	0.000827471978387833	0.00165494339019811	0.0215126145417795	0.00124120779052617	0.000413736024605055	0	0.000827471978387833	0	0.00455108068989523	0.0107569294952956	0.130370963267734	0.00620600070927623	0.000413736024605055	0	0.0144802552376781	0	0	0	0	0	0	0	0	0.00206867870658204	0.00124120779052617	0	0	0	0	0	0	0	0.000413736024605055	0	0	0	0.00206867870658204	0	0	0.00124120779052617	0	0	0	0.0372276437314388	0.00124120779052617	0	0.00455108068989523	0	0	0	0	0	0	0.00206867870658204	0.000827471978387833	0	0	0	0	0	0	0	0	0	0.000413736024605055	0.012825465510159	0.000827471978387833	0	0	0.00703345462857712	0	0	0.000413736024605055	0.000413736024605055	0	0	0	0	0	0	0	0.0256488219336722	0	0	0.00661972823546779	0	0	0	0.000413736024605055	0	0	0	0	0.00124120779052617	0	0	0	0.000413736024605055	0.00744717981779679	0.00124120779052617	0	0
