"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"	"NE_0.25"	"NE_0.5"	"NE_1"	"NE_2"	"NE_4"	"NE_8"	"NE_Inf"
152.0675	102.627837016522	66.1494461171581	29.0335047842194	12.9813428976199	8.80809711317166	7.36216341582275	6.12941494673396	0.675258934475605	0.435731703245979	0.191814340524988	0.08594177735665	0.0583122625295499	0.0487283324842208	0.0405477101596955
209.775	152.981044912577	109.297519651144	59.1560105787382	29.0897541921261	17.3866213327519	12.8938032681948	9.51555039165746	0.729722058851161	0.521592281266405	0.282448498431453	0.139026003775457	0.0831000281961978	0.0615673347000404	0.0454100745599592
157.9925	102.274396832581	60.7343773142341	19.7966890225799	5.87783547020167	3.53631437890395	2.95759786864762	2.58258606786756	0.647229933276599	0.38427119823588	0.125184681687111	0.037162978428374	0.0223726887637656	0.0187178016169249	0.0163487770846559
141.645	94.7774835730975	61.3742646793194	27.850975830514	11.7230380748173	6.906528061135	5.41989771468981	4.39674673536779	0.669597638833184	0.433991935945646	0.197196418218267	0.0829898469546828	0.0488755669934534	0.0383553797951853	0.0311098425097872
147.175	98.538092479709	63.2179605178186	27.2803942140465	10.8281481681535	6.48763514263446	5.18130309246386	4.23442658446428	0.6693320204085	0.429507023052715	0.18570919708196	0.0739334758528674	0.0443401465706628	0.0354139146224105	0.0289415028868976
146.7575	97.6629658346323	61.5174816817349	24.4243598904964	8.85563818993868	5.65787351286647	4.85125295585341	4.17174278266309	0.665401672387304	0.419070445268936	0.166313291451299	0.0602778475869273	0.0385135106975307	0.0330238212570706	0.0283983845442012
162.8625	107.276788448905	63.7561124541122	19.4121439536258	5.65543356365335	3.5378295927782	2.97194758148682	2.59378254800226	0.658716646325643	0.391627030671216	0.119447634748658	0.0348521640467455	0.0218075415241609	0.0183197604065988	0.0159884449480063
142.675	95.9255238272405	61.7286934148885	26.0476163033523	9.39951102314785	5.34713784370678	4.25422728821967	3.55037976241508	0.672236952350524	0.432501862019956	0.182507856679367	0.0659144213093612	0.0375055353361793	0.0298375167552813	0.0248971201409738
135.3875	86.9541854362396	52.5281859861732	20.3875976612891	8.51926875854218	5.77367853523288	4.8091426523468	3.97992710984327	0.642495499424837	0.388208084314771	0.150642228041074	0.0629245483968512	0.0426416715610731	0.0355151660177093	0.0293911931200407
120.355	72.3875443472517	39.8828433715637	13.529593848274	5.85036582005365	4.13005115423571	3.51789185412126	3.01710221386237	0.601655249688122	0.331753754129362	0.11275764659674	0.0487819832591187	0.0344340251062147	0.0293294458832042	0.0251447559769296
167	117.117967927675	78.3082710458004	33.1403936580699	9.96443256184139	5.15537120459225	4.08319356209474	3.42472266244059	0.701305197171702	0.468911802669463	0.198445471006407	0.0596672608493488	0.0308704862550434	0.0244502608508668	0.0205073213319793
101.5	60.1754451518572	32.5983439110998	10.7831263351027	4.63550540479185	3.2228711560561	2.75000065571548	2.42346552515711	0.593331524298988	0.321829148599884	0.106735306875022	0.0459273771850832	0.0319192357526947	0.0272273469007179	0.0239885202913572
261.1225	194.193587060412	139.911783609442	72.7918280409631	31.4741568370389	18.1071578963406	13.9029475292419	10.7290662448468	0.743742174523371	0.536053228296362	0.279338095049968	0.121015115115214	0.0695910571844597	0.0534092141460903	0.0412049255552509
209.065	152.56223789066	107.179442183156	51.4803837757069	18.720887283934	9.59424124896562	7.09727076461023	5.55779908685014	0.729759890394718	0.512690683160459	0.246214560006597	0.0894697194333652	0.0458367448450872	0.0339057201897901	0.0265529465454256
26.8	12.1438338205347	5.66617794811166	2.53123486925554	1.80687240500565	1.57396953722672	1.47910003008838	1.40848408997016	0.453682974810988	0.212084113594724	0.0949270875830609	0.0677781743670967	0.0590378447231367	0.055473510017286	0.0528197077087235
169.5175	107.880166903051	61.2742865910591	16.7510426606969	4.36775754586832	2.75557184139851	2.3842748649897	2.13882653984739	0.636235084782145	0.361184724208239	0.0986585755610703	0.0257555986507177	0.0162520179644484	0.0140615392247537	0.012613539943545
156.235	105.993868307584	67.7871845985502	26.7632270061699	8.77753410785008	4.85903172510686	3.88479705427456	3.27856589045324	0.678715739372388	0.434357063021898	0.171632563280346	0.0562411243631437	0.0311295702475514	0.0248906320398236	0.0210081721022109
84.92	47.6916405003846	24.4230496860598	7.62118367140199	3.27354906797654	2.3506574590209	2.08248993588099	1.90002326185741	0.561347206971485	0.287263744078225	0.0895335515063722	0.0384434944450034	0.0276035625524712	0.0244538396116224	0.0223107473758264
198.0775	142.267035767508	99.4151343784335	50.7450680282858	23.1483801984252	13.1489282117862	9.47027554318414	7.15324616007664	0.718934142072585	0.502967000645836	0.257246607300005	0.11754732250859	0.0668642729521016	0.048151252805031	0.0363441071790471
153.24	103.967557784857	68.3971470194327	32.3770392720693	14.9187652586758	9.25880485165837	7.2896388197894	5.76668730667885	0.678041963172209	0.445677922591227	0.210665208515582	0.0970409692244934	0.0602474199802887	0.0474492028347447	0.0375456977456898
50.48	27.7634688537233	15.2279588359842	6.62952445201518	3.63881193905625	2.66171871446037	2.32687068435664	2.09382803379683	0.550244627471049	0.301971178182986	0.131513868210827	0.0721653052056216	0.0527860236622813	0.0461514476848206	0.0415354667481733
105.375	67.5265386448214	42.7124602141453	20.0690048655556	9.90619376406677	6.88123305819364	5.85616779321004	4.91696436272249	0.641099516545966	0.405764072229785	0.190840818406253	0.0941821944982924	0.0653516267388385	0.0555618486678329	0.0466007636863489
79.475	49.5395998030933	31.0324000818975	15.4226895144912	8.18308349214264	5.26618685511676	4.2115408518827	3.51887364006326	0.623268415083641	0.390335574683353	0.19393216704634	0.102934902909252	0.0662827564650144	0.0530237015426902	0.0443132862582047
168.21	115.659285449845	77.650467426762	38.2869822114721	17.8276172552847	10.9540062924512	8.55260513984346	6.62895385380464	0.687293314045786	0.461177152601681	0.227181686949153	0.105715253927799	0.0649040021001537	0.0506205695628302	0.0392179274377226
142.7625	97.9441724666095	66.3028438012402	34.2485690077688	17.7335132070855	11.9422105948931	9.68449730877591	7.71925455397264	0.685596126380131	0.463771331729483	0.239286208184009	0.123771785992523	0.0832969263940622	0.0675532926097753	0.0538747731602016
191.69	136.605663251183	93.6951063900637	43.5075246124692	16.0844871740749	9.10096635207683	7.23659937305648	5.80909681828679	0.712600814168202	0.488852099367416	0.2271964961538	0.0840601098162549	0.0475785004260893	0.0378388371754715	0.0303823623907178
