"feature","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis",-2.41474778610923,15.6232658322815,-1.66828376972605,0.214285714285714
"Unclassified_Bacteria",3.42478487167043,9.75902163316589,0.743628510964856,0.642857142857143
"Erysipelotrichaceae_incertae_sedis",-2.89616119540904,20.8907126672546,1.19521410350324,0.642857142857143
"Clostridium_XlVa",-1.27888481431508,9.62333009182002,0.89026879209907,0.714285714285714
"Clostridium_XVIII",1.15647543584723,19.283224394402,1.02444523339129,0.714285714285714
"Bacteroides",1.09965643563267,2.28383890786324,0.184496460908848,0.714285714285714
"Clostridium_XI",-1.81446728946001,24.1793670520569,1.44266281670113,0.642857142857143
"Roseburia",-8.59942205343621,16.7365806728486,-1.42389196945078,0.428571428571429
"Clostridium_IV",5.21107025959888,18.1949721346369,0.715471170719883,0.571428571428571
"Unclassified_Clostridiales",2.17866513596184,10.5265002410046,-0.521189341890015,0.428571428571429
"Unclassified_Lachnospiraceae",-3.29772013960835,11.2538229590302,0.0438215448835191,0.5
"Prevotella",-5.29338931469191,17.6735077907205,-1.35145725258776,0.357142857142857
"Flavonifractor",-1.46941896167223,17.2633123224222,1.46306598488994,0.642857142857143
"Blautia",1.93564922507369,17.4462386629779,-1.24058526973596,0.357142857142857
"Faecalibacterium",-0.811104622893173,15.5636699224079,-0.487033329751694,0.5
"Escherichia_Shigella",7.29285607152246,23.42409885903,0,0.428571428571429
"Unclassified_Bacteroidales",2.72517487295218,9.97428154405153,0.44704978718989,0.571428571428571
"Unclassified_Ruminococcaceae",3.01224549386484,10.6199896085369,0.905218027902174,0.571428571428571
"Ruminococcus",2.31313765155175,18.3813594021226,-0.747051799728137,0.428571428571429
"Unclassified_Firmicutes",-0.0219936673830607,19.6319225899997,0.3530228620503,0.5
"Dorea",-9.16521408089084,21.6191748383052,-0.348510367659165,0.428571428571429
"Clostridium_sensu_stricto",4.00088210561822,29.8020366962337,0,0.428571428571429
"Parabacteroides",-4.41591132484071,12.284132777005,-0.000959798488233687,0.357142857142857
"Veillonella",-5.36423938082089,23.8134917737631,-0.488782459418124,0.285714285714286
"Streptococcus",-1.96407354594965,25.6157313384194,-1.13153575931286,0.428571428571429
"Alistipes",8.04923834153975,26.896662582129,0.168499291626655,0.5
"Gemmiger",-2.37914191786375,9.24228546482656,0,0.285714285714286
"Enterococcus",-0.214469446315814,24.3408574436018,0,0.285714285714286
"Sutterella",9.56016410042376,16.794945267299,0,0.357142857142857
"Turicibacter",2.42185609589142,25.9315819124907,0,0.357142857142857
"Lactobacillus",-1.89777344902007,21.2101066117393,0,0.214285714285714
"Unclassified_Enterobacteriaceae",-2.24154042334822,22.3978899906016,0,0.285714285714286
"Akkermansia",5.20369050267246,13.9288537288767,0,0.214285714285714
"Unclassified_Lactobacillales",-1.89505873675801,15.4404869541658,0,0.142857142857143
"Megamonas",2.29943018101765,8.60367992217565,0,0.0714285714285714
"Odoribacter",2.40810729245558,10.748985864446,0,0.142857142857143
"Unclassified_Burkholderiales",2.07987743574591,8.65369009942033,0,0.0714285714285714
"Parasutterella",-0.279155429884606,1.09870167256724,0,0.0714285714285714
