"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient"
"Ruminococcus",72,0.000211773815199958,0.00539921489700234,0.173913043478261,-0.652173913043478,0.578552111319532,-3.4516552941873,0.0566159889952612,0.00517472553467762
"Unclassified_Firmicutes",74,0.000269960744850117,0.00539921489700234,0.178743961352657,-0.642512077294686,0.568869214344068,-1.80764215882971,0.00850173132182734,0.00242858251944822
"Lachnospiracea_incertae_sedis",81,0.000606276809981968,0.00808369079975957,0.195652173913043,-0.608695652173913,0.535487146827518,-1.71985765121614,0.033497244564111,0.0101690490646959
"Unclassified_Lachnospiraceae",84,0.000843124098988196,0.00843124098988196,0.202898550724638,-0.594202898550725,0.521344718010771,-1.15906816707704,0.0654412395230891,0.0293046967378384
"Unclassified_Bacteria",91,0.00174354690510139,0.0139483752408111,0.219806763285024,-0.560386473429952,0.488942539057192,-0.746320893911725,0.0143945244513362,0.00858089022913578
"Bacteroides",320,0.00245560779635868,0.0163707186423912,0.772946859903382,0.545893719806763,0.473012630880668,0.877030369314725,0.294165662270888,0.540262003475856
"Unclassified_Ruminococcaceae",98,0.00342246674402214,0.0195569528229837,0.236714975845411,-0.526570048309179,0.457120914169322,-1.45271029784128,0.0338981324453342,0.0123841555290853
"Roseburia",108,0.00824557645208461,0.0371598322215254,0.260869565217391,-0.478260869565217,0.412586882915681,-0.823011080755689,0.00932007564421078,0.00526827473820927
"Gemmiger",112,0.0102189538609195,0.0371598322215254,0.270531400966184,-0.458937198067633,0.401105907901381,-1.73229942056323,0.00597933671545512,0.00179961217870631
"Dorea",110,0.00957811657525789,0.0371598322215254,0.265700483091787,-0.468599033816425,0.404599242680776,-0.799053807525937,0.00856198078378593,0.00492079286802159
"Blautia",110,0.00973632192503253,0.0371598322215254,0.265700483091787,-0.468599033816425,0.403717899821885,-1.22449077655783,0.0288611991011135,0.0123511079547471
"Clostridium_IV",115,0.0144110763055361,0.0443417732478035,0.277777777777778,-0.444444444444444,0.382133784047495,-1.73086729085767,0.0171167833757958,0.00515678685776946
"Bifidobacterium",114,0.0125706286774426,0.0419020955914752,0.27536231884058,-0.449275362318841,0.389763994848648,-3.06624961085015,0.0149984063149199,0.00179065536247268
"Unclassified_Clostridiales",127,0.0345631187849613,0.0987517679570324,0.306763285024155,-0.386473429951691,0.33006388735296,-0.771693769870064,0.0190951768481995,0.0111846065895755
"Oscillibacter",143,0.0921354481873016,0.206352056999117,0.345410628019324,-0.309178743961353,0.263033973474931,-0.979679756488549,0.00446334075991523,0.00226332568549485
"Unclassified_Bacteroidales",272,0.0902860920515824,0.206352056999117,0.657004830917874,0.314009661835749,0.264541251989557,1.51223271999229,0.00222869426954757,0.00635737610962313
"Odoribacter",146,0.0686558370807808,0.183082232215415,0.352657004830918,-0.294685990338164,0.28434211316152,-0.873989978223387,0.00353095465162781,0.00192661501473265
"Clostridium_XI",151,0.142217394417635,0.299405040879233,0.364734299516908,-0.270531400966184,0.229198035062595,0.889613922017761,0.0093556064062116,0.0173329473444177
"Barnesiella",151.5,0.0928584256496028,0.206352056999117,0.365942028985507,-0.268115942028985,0.262451331327549,-1.26344001508973,0.00267871257973643,0.00111581648909329
"Faecalibacterium",153.5,0.161352899191205,0.32270579838241,0.370772946859903,-0.258454106280193,0.21872696098317,-0.560514261712698,0.0402067396226731,0.0272625987498791
"Erysipelotrichaceae_incertae_sedis",252,0.239073177682287,0.434678504876885,0.608695652173913,0.217391304347826,0.183864391182484,4.12005104070226,0.0011319659880629,0.0196830467874119
"Clostridium_sensu_stricto",157.5,0.186478233336188,0.355196634926073,0.380434782608696,-0.239130434782609,0.206316374006838,0.0983633113981938,0.00312311886138084,0.00334348069813493
"Prevotella",167,0.288717454567757,0.481195757612929,0.403381642512077,-0.193236714975845,0.165690892968263,-0.837598716821183,0.131767326774365,0.0737335929715713
"Streptococcus",166.5,0.28713700818869,0.481195757612929,0.402173913043478,-0.195652173913043,0.166234982405746,-1.37330826898553,0.0055273587177661,0.00213358853186831
"Alistipes",183,0.528200668489015,0.640243234532139,0.442028985507246,-0.115942028985507,0.0985073960949458,-0.456564648288087,0.0444158856723091,0.0323667186322725
"Sutterella",178.5,0.437488985941239,0.617010631644778,0.431159420289855,-0.13768115942029,0.121259621465585,-0.626241416993796,0.0101017722067808,0.00654455497196294
"Escherichia_Shigella",176,0.384986098905088,0.592286306007827,0.42512077294686,-0.14975845410628,0.135675324127009,0.510990879417715,0.00985908551781444,0.0140494788842313
"Clostridium_XlVa",184.5,0.558250908305633,0.656765774477216,0.445652173913043,-0.108695652173913,0.0914305974218812,-0.497079073602383,0.00872624308588466,0.00618289107509594
"Clostridium_XVIII",233.5,0.494402066166464,0.61800258270808,0.564009661835749,0.128019323671497,0.10671729594166,-0.304735039778833,0.00442285787490201,0.00358070544092979
"Parabacteroides",199,0.834938820798327,0.856347508511104,0.480676328502415,-0.038647342995169,0.0325421783938988,2.04526515104647,0.00883896792097965,0.0364827626092347
"Enterococcus",231,0.450022123133846,0.617010631644778,0.557971014492754,0.115942028985507,0.11797024643266,0.0201873377879317,0.00334147120203187,0.0033885563862373
"Unclassified_Prevotellaceae",180,0.360073591112143,0.57611774577943,0.434782608695652,-0.130434782608696,0.142934110903776,-0.878166966526437,0.00234600720106566,0.00127636457707799
"Phascolarctobacterium",229,0.489005555474396,0.61800258270808,0.553140096618358,0.106280193236715,0.108055276867091,-1.08658238019445,0.00410676961289847,0.00193377726803196
