"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Parabacteroides.Otu1736"	"Faecalibacterium.Otu0067"	"Lactobacillus.Otu1332"	"Bacteroides.Otu2038"	"Enterococcus.Otu1019"	"Bacteroides.Otu0863"	"Bacteroides.Otu2654"	"Bacteroides.Otu0848"	"Prevotella.Otu1987"	"Bacteroides.Otu0929"	"Bacteroides.Otu2065"	"Bacteroides.Otu2431"	"Bacteroides.Otu2625"	"Prevotella.Otu1633"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0069"	"Bacteroides.Otu1201"	"Clostridium_XI.Otu1804"	"Alistipes.Otu2508"	"Bacteroides.Otu0661"	"Bacteroides.Otu0786"	"Bacteroides.Otu2765"	"Bacteroides.Otu0006"	"Escherichia_Shigella.Otu2393"	"Alistipes.Otu1466"	"Blautia.Otu2475"	"Faecalibacterium.Otu0751"	"Bacteroides.Otu0480"	"Bacteroides.Otu2343"	"Akkermansia.Otu1935"	"Megamonas.Otu2657"	"Bacteroides.Otu2437"	"Bacteroides.Otu2104"	"Lachnospiracea_incertae_sedis.Otu0651"	"Prevotella.Otu2602"	"Bacteroides.Otu2216"	"Lactobacillales.Otu0504"	"Prevotella.Otu1994"	"Lachnospiracea_incertae_sedis.Otu0778"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu0877"	"Prevotella.Otu1803"	"Bacteroides.Otu2375"	"Roseburia.Otu1051"	"Bacteroides.Otu1624"	"Sutterella.Otu0171"	"Prevotella.Otu2501"	"Prevotella.Otu1319"	"Bacteroidales.Otu0696"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu2512"	"Sutterella.Otu1997"	"Roseburia.Otu2728"	"Lachnospiraceae.Otu2222"	"Clostridium_XlVa.Otu0236"	"Blautia.Otu2495"	"Bacteroides.Otu2460"	"Clostridiales.Otu1597"	"Bacteroidales.Otu1168"	"Bacteria.Otu0435"	"Lachnospiracea_incertae_sedis.Otu0113"	"Parabacteroides.Otu1378"	"Lachnospiraceae.Otu2599"	"Lachnospiracea_incertae_sedis.Otu1990"	"Dorea.Otu1142"	"Bacteroides.Otu2069"	"Gemmiger.Otu0907"	"Bacteroides.Otu1976"	"Bacteroides.Otu2416"	"Burkholderiales.Otu0023"	"Lachnospiracea_incertae_sedis.Otu2746"	"Prevotella.Otu2666"	"Lachnospiraceae.Otu0898"	"Bacteroides.Otu1669"	"Lachnospiraceae.Otu0790"	"Bacteroides.Otu2482"	"Roseburia.Otu2084"	"Prevotella.Otu1563"	"Bacteroides.Otu0775"	"Parabacteroides.Otu1107"	"Prevotella.Otu0882"	"Turicibacter.Otu0468"	"Prevotella.Otu0634"	"Prevotella.Otu2327"	"Bacteroides.Otu1854"	"Bacteroides.Otu0312"	"Prevotella.Otu0773"	"Lachnospiraceae.Otu1734"	"Bacteroides.Otu0752"	"Bacteroides.Otu2383"	"Bacteroides.Otu0763"	"Bacteroides.Otu1411"	"Blautia.Otu0620"	"Bacteroides.Otu1260"	"Prevotella.Otu2227"	"Bacteroides.Otu1565"	"Bacteroides.Otu2534"	"Bacteroides.Otu1800"	"Bacteroides.Otu2566"	"other"
0.0332496320027708	0.100268421508356	0	0.00614771841717898	0	0.157849164429821	0	0.160013854013334	0.00225127716685427	0.00588795566715733	0	0.087540046757295	0	0.0298727162524894	0.00121222616676769	0	0.000952463416746039	0.00207810200017318	0.0268421508355702	0.00086587583340549	0.000519525500043294	0.0582734435881895	0.00259762750021647	0.00103905100008659	0.0200883193350074	0	0.0083124080006927	0.0106502727508875	0.00337691575028141	0	0.00251103991687592	0	0	0	0.00121222616676769	8.6587583340549e-05	0	0	0	0	0.0129881375010823	0	0.00372326608364361	0	0.00735994458394666	0.00121222616676769	0.000173175166681098	0	0	0	0	0	0.000173175166681098	0	0	0	0.00519525500043294	0.00649406875054117	0.00121222616676769	0	0	0	0.000346350333362196	0	8.6587583340549e-05	8.6587583340549e-05	0.000346350333362196	0.00103905100008659	0.00744653216728721	0	0	0	0	0	0.00086587583340549	0.00216468958351372	0.00311715300025976	0.00398302883366525	0.00337691575028141	0	8.6587583340549e-05	0	0	8.6587583340549e-05	0	0	0	0.0138540133344878	0	0.000173175166681098	0.000606113083383843	0.0147198891678933	0.00147198891678933	8.6587583340549e-05	0.0045891419170491	0.000779288250064941	0	0	0	0	0	0.178457009264871
0.227999690952639	0.134358340415669	0	0.0189291508923743	0	0.0216333153055706	0	0.00150660588735224	0.0159932009580468	0.0164181410801205	3.86309201885189e-05	0.0488294831182879	3.86309201885189e-05	0.0535038244610987	0.0367380050992815	0	0.00104303484509001	0.0465888897473538	0.00687630379355636	0.00100440392490149	0.0136367148265472	0.0263849184887584	0	0.0250714672023488	0.0318705091555281	3.86309201885189e-05	0.0280460480568647	0.00679904195317932	0.00730124391563007	3.86309201885189e-05	0	0.00343815189677818	0	0.0273506914934714	0.00942594452599861	3.86309201885189e-05	0	0	0	0	0	3.86309201885189e-05	0.00444255582167967	0	0.0130186201035309	0.000193154600942594	0.000231785521131113	0	0	0	0	0.00320636637564707	0	0	0.000193154600942594	0	0.000270416441319632	0.000618094723016302	0.00579463802827783	0	0.000115892760565557	0	3.86309201885189e-05	0	3.86309201885189e-05	0.00316773545545855	0	0	0.000386309201885189	0	0.00231785521131113	0	0.00254964073244225	0	0.00189291508923743	0.00436529398130263	0	0.0014293440469752	3.86309201885189e-05	0	0.0117051688171212	0	0	0	3.86309201885189e-05	0	3.86309201885189e-05	0	0	0.000154523680754076	0.004094877539983	0.000154523680754076	0.00274279533338484	0.00579463802827783	0.000540832882639265	0.00301321177470447	0	0.00139071312678668	0.00374719925828633	0.0083829096809086	0.00479023410337634	0.098122537278838
0.236278328611898	0.150362960339943	0.000132790368271955	0.00447060906515581	0	0.0216448300283286	0	0.0013721671388102	0.0343927053824363	0.0111986543909348	0	0.0328877478753541	4.42634560906516e-05	0.0205382436260623	0.0520980878186969	0	0.000531161473087819	0.0555949008498584	0.0219104107648725	0	0.0308958923512748	0.0187234419263456	0	0.0177496458923513	0.0283728753541076	0	0.0192546033994334	0.0013721671388102	0.00181480169971671	0	4.42634560906516e-05	8.85269121813031e-05	0	0.00553293201133144	0.00606409348441926	0	0	0	0	0	4.42634560906516e-05	0	0.00327549575070822	4.42634560906516e-05	0.0101805949008499	0.000221317280453258	0.000132790368271955	4.42634560906516e-05	0	0	0	0.00331975920679887	0.000132790368271955	0	0	0.000132790368271955	0.00199185552407932	0.000265580736543909	0.00730347025495751	0	0.000309844192634561	0	0.000619688385269122	0	0.000265580736543909	4.42634560906516e-05	0.000619688385269122	0	0.00110658640226629	0	0.00314270538243626	0	8.85269121813031e-05	0	0.000486898016997167	0.00393944759206799	0.00433781869688385	0.000265580736543909	0.00349681303116147	0	0.00256728045325779	0	0	0	0	4.42634560906516e-05	8.85269121813031e-05	0	0	0.000309844192634561	0.00677230878186969	0.000132790368271955	0.00314270538243626	0.0170856940509915	0.00106232294617564	0.00385092067988669	0	0.00110658640226629	0.0130134560906516	0.00743626062322946	0.00748052407932011	0.116722733711048
0.0214285714285714	0.0147321428571429	0.0133928571428571	0.000892857142857143	0	0.000446428571428571	0	0.239732142857143	0	0.00892857142857143	0	0.00267857142857143	0	0.0174107142857143	0	0.000446428571428571	0	0.00178571428571429	0.0348214285714286	0.03125	0.216964285714286	0.00133928571428571	0.00133928571428571	0.003125	0.00267857142857143	0.000446428571428571	0.0196428571428571	0.000892857142857143	0	0.01875	0.00133928571428571	0.0294642857142857	0	0.00491071428571429	0.00133928571428571	0	0	0	0	0	0	0.009375	0.000446428571428571	0	0.000446428571428571	0	0	0.00401785714285714	0	0	0	0	0	0	0.000446428571428571	0	0.000446428571428571	0.00178571428571429	0	0	0	0	0	0.0138392857142857	0.000446428571428571	0.000446428571428571	0.00446428571428571	0.003125	0	0	0.000446428571428571	0	0.000892857142857143	0	0.000446428571428571	0	0	0	0	0	0.00223214285714286	0	0	0.0111607142857143	0.0160714285714286	0	0	0	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0.238839285714286
0	0.000378644452858766	0.000757288905717531	0.0401363120030292	0.000757288905717531	0.000378644452858766	0.000757288905717531	0.0117379780386217	0	0.000378644452858766	0.00151457781143506	0	0	0	0	0.0155244225672094	0.385460053010223	0	0.00416508898144642	0.0344566452101477	0	0	0	0.00340780007572889	0	0.00265051117001136	0	0.0261264672472548	0.0117379780386217	0	0	0	0	0	0.00265051117001136	0	0	0	0.148428625520636	0	0.0109806891329042	0	0.00567966679288148	0	0	0.0166603559257857	0	0.0011359333585763	0.0011359333585763	0	0.00189322226429383	0.000378644452858766	0.000757288905717531	0	0	0.00567966679288148	0.00643695569859902	0.00265051117001136	0	0	0	0	0.0011359333585763	0.000757288905717531	0.0196895115486558	0	0.00302915562287012	0	0.000757288905717531	0	0	0	0	0	0.00984475577432791	0	0.000757288905717531	0	0.00227186671715259	0.000378644452858766	0	0	0	0	0	0	0	0	0	0.0011359333585763	0	0	0.000378644452858766	0	0.00681560015145778	0	0	0	0	0	0	0.208254449072321
0.173769135291684	0.0186181216383947	0	0.000413736036408771	0	0.00744724865535788	0	0	0.0107571369466281	0.0368225072403806	0	0.00372362432767894	0	0.000413736036408771	0.0028961522548614	0.000413736036408771	0.00455109640049648	0.0215142738932561	0.000413736036408771	0.00165494414563508	0	0.000413736036408771	0.251137774100124	0.00124120810922631	0.0107571369466281	0.014480761274307	0	0.000827472072817542	0	0	0.130740587505172	0	0	0	0.00124120810922631	0	0	0	0	0	0.00620604054613157	0	0.000413736036408771	0	0.00124120810922631	0.00206868018204386	0	0	0	0	0	0.00206868018204386	0	0	0	0	0.00206868018204386	0	0.000413736036408771	0	0.00206868018204386	0	0	0	0.00124120810922631	0.000827472072817542	0	0.0372362432767894	0	0	0.0256516342573438	0.00744724865535788	0.000413736036408771	0	0	0.000413736036408771	0.0128258171286719	0	0	0	0	0	0	0	0	0	0	0	0	0.000827472072817542	0.000413736036408771	0	0.00124120810922631	0	0	0.00248241621845263	0	0	0.00661977658254034	0	0.000413736036408771	0.191146048820852
0.036557149467839	0.000925497454881999	0	0.291994447015271	0	0.004164738546969	0.000462748727441	0.001850994909764	0.002776492364646	0.023600185099491	0	0.016196205460435	0	0.020823692734845	0	0	0.002313743637205	0.00694123091161499	0	0.014807959278112	0	0.00740397963905599	0.020823692734845	0.003701989819528	0.000925497454881999	0	0	0.026376677464137	0.035631652012957	0	0.021286441462286	0	0	0	0.004164738546969	0.000462748727441	0	0	0	0	0.030078667283665	0.000462748727441	0.00647848218417399	0	0	0.00832947709393799	0	0	0	0	0	0	0.000925497454881999	0	0.0670985654789449	0.039796390559926	0.002313743637205	0.002776492364646	0.003701989819528	0	0	0	0.003701989819528	0	0.00601573345673299	0	0.001850994909764	0.003239241092087	0.012956964368348	0	0.003701989819528	0	0	0	0.000462748727441	0	0	0	0.011568718186025	0	0	0	0	0	0	0	0.000462748727441	0	0	0.001388246182323	0	0.000462748727441	0	0	0	0.002313743637205	0	0	0	0	0	0.245719574271171
0.00712913024610997	0.163784018349761	0	0.000991878990763127	0.000619924369226954	0.000557931932304259	0.0717872419564813	0.00297563697228938	0.412497675283615	0.00874093360610006	0	0.00446345545843407	0	0.00427747814766598	0.105139173020891	0	0.000433947058458868	0.000495939495381563	0.00892691091686814	0	0	0.00421548571074329	0.0224412621660157	0.00235571260306243	0.000433947058458868	0	0	0.00204575041844895	0.000247969747690782	0	0.0147541999876015	0	0	0	0.00123984873845391	0	0	0	0	0	0	0	0.00427747814766598	0	0.00068191680614965	0.00161180335999008	0.000123984873845391	0	0	0	0	6.19924369226954e-05	0	0	0	6.19924369226954e-05	0.000805901679995041	0.00148781848614469	0.0104767218399355	0	0.0243630277106193	0	0.000185977310768086	0	0.00254168991383051	0	0.000805901679995041	0.00446345545843407	0.00427747814766598	0	0.000433947058458868	0	0	0	0.000123984873845391	0.00260368235075321	0	0	0.00105387142768582	0	6.19924369226954e-05	0	0	0	0	0	0.00111586386460852	0	0	0.00235571260306243	0.000433947058458868	0.000433947058458868	0.000309962184613477	0.00123984873845391	0.000309962184613477	6.19924369226954e-05	0	0.000185977310768086	0.000309962184613477	0.00278965966152129	0	0.0893930940425268
0.220655329738698	0	0	0	0	0.00331812525922854	0.709664039817503	0	0	0	0	0	0.00456242223143924	0	0	0	0.0062214848610535	0.0240564081294069	0	0	0	0	0	0	0.00788054749066777	0	0	0	0	0.000414765657403567	0	0	0	0	0	0	0	0.0012442969722107	0	0	0	0	0	0	0.000414765657403567	0.000414765657403567	0	0	0	0	0	0.00580671920364994	0	0	0	0	0	0	0	0	0	0	0	0	0.000414765657403567	0	0	0	0	0	0.000414765657403567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000414765657403567	0	0	0	0	0	0	0	0	0	0	0.0141020323517213
0.0567937549496549	0.000565674850096165	0.00633555832107704	0.00373345401063469	0	0.00848512275144247	0.000565674850096165	0.0154994908926349	0.000791944790134631	0.0377870799864238	0.00407285892069239	0.0096164724516348	0	0.00113134970019233	0.000226269940038466	0.0102952822717502	0.000226269940038466	0.0226269940038466	0.0118791718520195	0.14006109288381	0	0.00656182826111551	0	0.0415205339970585	0.00678809820115398	0	0	0.0492137119583663	0.000452539880076932	0	0	0	0	0	0.0211562393935966	0.00124448467021156	0.000113134970019233	0	0.000226269940038466	0	0.000113134970019233	0.00531734359090395	0.000339404910057699	0	0.00429912886073085	0.00316777916053852	0	0	0.00712750311121168	0	0	0.000791944790134631	0.0621110985405589	0	0.000226269940038466	0.000339404910057699	0.00305464419051929	0.00701436814119244	0.000113134970019233	0	0	0	0.0211562393935966	0	0.00690123317117321	0.0569068899196742	0.00237583437040389	0	0.00169702455028849	0	0.000226269940038466	0	0.0486480371082702	0.00531734359090395	0.000452539880076932	0	0.000226269940038466	0	0.00441226383075008	0	0	0	0	0.033487951125693	0	0	0	0.000226269940038466	0	0.00395972395067315	0.000113134970019233	0.000791944790134631	0.00113134970019233	0.000226269940038466	0.0168571105328657	0.000791944790134631	0	0	0	0	0.000452539880076932	0.241656295961082
