"Bacteroidales"	"Clostridiales"	"Erysipelotrichales"	"Lactobacillales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Unclassified_Bacteria"	"Bifidobacteriales"	"Verrucomicrobiales"	"Unclassified_Firmicutes"	"Rhizobiales"	"Unclassified_Alphaproteobacteria"	"Coriobacteriales"	"Pasteurellales"	"Desulfovibrionales"	"Spirochaetales"	"Unclassified_Bacteroidetes"	"Actinomycetales"	"TM7_order_incertae_sedis"	"Fusobacteriales"	"Unclassified_Proteobacteria"	"Unclassified_Bacilli"	"Campylobacterales"	"Bacillales"	"Unclassified_Clostridia"	"Pseudomonadales"	"Victivallales"	"Flavobacteriales"	"Aeromonadales"	"Unclassified_Actinobacteria"	"Caulobacterales"	"Chloroplast_order_incertae_sedis"	"Sphingomonadales"	"Unclassified_Gammaproteobacteria"	"Unclassified_Betaproteobacteria"
0.684701068424642	0.166401454876108	0.000909297567629007	0.000227324391907252	0	0.000454648783814503	0.116390088656513	0.0136394635144351	0.000681973175721755	0	0.0102295976358263	0.00113662195953626	0	0.00204591952716526	0.000454648783814503	0.000227324391907252	0	0	0	0	0	0.00250056831097977	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.563654943370519	0.302478072042919	0.0579068381163246	0.00170314229753896	0.00366175593970876	8.5157114876948e-05	0.0337222174912714	0.00919696840671038	0.00127735672315422	0	0.00281018479093928	0.0149024951034659	8.5157114876948e-05	0.00119219960827727	8.5157114876948e-05	0.00510942689261688	0	0	8.5157114876948e-05	0	0	0.000255471344630844	0	0	0	0.000510942689261688	0	0.000936728263646428	0	0	0.000170314229753896	0	0	0	0	0.000170314229753896
0.754910714285714	0.166964285714286	0.0133928571428571	0	0.0142857142857143	0.000892857142857143	0.00401785714285714	0.00803571428571428	0	0.0303571428571429	0.00580357142857143	0	0	0.000446428571428571	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000446428571428571	0	0	0
0	0.329192546583851	0	0.0683229813664596	0.0226843100189036	0.30812854442344	0	0.0305157980016203	0.190116122063192	0	0.0450985687280583	0.000270051309748852	0	0	0.00432082095598164	0	0	0	0.000270051309748852	0	0	0.000270051309748852	0	0	0.000270051309748852	0	0	0	0	0	0	0.000540102619497705	0	0	0	0
0.21919014084507	0.626760563380282	0.0506161971830986	0.000880281690140845	0.000880281690140845	0.000440140845070423	0	0.0118838028169014	0.00704225352112676	0.00880281690140845	0.00792253521126761	0	0.0633802816901408	0.000880281690140845	0	0	0	0.000880281690140845	0	0	0	0	0	0.000440140845070423	0	0	0	0	0	0	0	0	0	0	0	0
0.786616812790098	0.187725631768953	0.00206291903042806	0	0.00309437854564208	0	0.00219185146982981	0.00283651366683858	0.00219185146982981	0.00038679731820526	0.0036101083032491	0.00876740587931924	0	0.000257864878803507	0.000128932439401753	0	0	0.000128932439401753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.533783783783784	0.21311362382791	0.000896304467733039	0.0761169332597904	0.145890788747932	0.000413678985107557	0.00330943188086045	0.0168918918918919	0.0015857694429123	0	0.00151682294539437	6.89464975179261e-05	0	0.000689464975179261	0.0015857694429123	0	0	0.000206839492553778	6.89464975179261e-05	0	0.00372311086596801	0	0	0	0.000137892995035852	0	0	0	0	0	0	0	0	0	0	0
0.886987787489926	0.0282065587998264	0.00154981092306739	0.0727791209472444	6.19924369226954e-05	0	0.000867894116917736	0.00365755377843903	0	0	0.000867894116917736	0.00427747814766598	0	0.000185977310768086	0	0.000247969747690782	0	0	0	0	0	6.19924369226954e-05	0	0	6.19924369226954e-05	0	0.000185977310768086	0	0	0	0	0	0	0	0	0
0.231812577065351	0.325171745640303	0.00017614937466972	0.186189889025894	0.183899947155188	0.0017614937466972	0.0017614937466972	0.0155011449709354	0.0343491280605954	0	0.00405143561740356	0.00422758499207328	0.00035229874933944	0.00334683811872468	0.00387528624273384	0.0017614937466972	0	0.00017614937466972	0.00070459749867888	0.00017614937466972	0	0.00017614937466972	0.00017614937466972	0	0.00035229874933944	0	0	0	0	0	0	0	0	0	0	0
0.170595645132266	0.732049667086557	0.0048587367284506	0.00431887709195609	0.000899766060824186	0.00305920460680223	0.00233939175814288	0.0421090516465719	0.00791794133525283	0.00539859636494511	0.0122368184272089	0.00647831563793414	0	0.000179953212164837	0.00683822206226381	0.000179953212164837	0	0.000179953212164837	0	0	0	0	0	0	0.000179953212164837	0	0	0	0	0	0	0	0	0	0.000179953212164837	0
