"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Unclassified_Bacteria"	"Verrucomicrobia"	"Actinobacteria"
0.719960905220842	0.191485043969164	0.0219049067896953	0.00086587572520843	0	0.00069270061132749
0.23745273456389	0.674406206364591	0.00636060589725811	0.00434642965214721	0	0.0228963350404456
0.524027555199256	0.399915261111507	0.0290705918000516	0.00207676183307292	0	0.00984523745951105
0.815216460519188	0.0831922690741803	0.00320636088167842	0.00112029645112638	0.00374719048895725	3.86309201789104e-05
0.830819864505427	0.0666556591037347	0.00119511302995188	0.00225743434330481	8.8526912065672e-05	0
0.697071122716268	0.199127850775919	0.00491069454885534	0.00803562780692703	0.0303524821545355	0.000892857024227144
0.064325187766742	0.807768900193321	0.00643691124752972	0.0056796362569608	0	0.0249879334098163
0.381633733734753	0.560390616084633	0.00536234024207341	0.00259993207252023	0	0.010887012750452
0.747588779179818	0.141439403541219	0.0223398877229044	0.0148939466514538	0	0.00165494339019811
0.668696290800844	0.258485115083192	0.0167861849735796	0.00100721822822084	0	0.00100721822822084
0.223493421056118	0.683214925948008	0.0356241165729417	0.00138824573641236	0	0
0.799163693797095	0.103343323008275	0.00564128183850165	0.00365754562354548	0	0.000185977309696003
0.54120740963719	0.401594740831066	0.0131154807195272	0.00470823886865182	0	0.00134521566961385
0.578674938668034	0.354522895085893	0.0122837601778981	0.00690973388388898	0	0.00729360136087508
0.278030025659486	0.667654259543938	0	0	0	0
0.78394908586716	0.0872205603103237	0.0415314679828136	0.00385851132599113	0	0.000514469430681347
0.43966330928664	0.511999812158274	0.0030504667055506	0.00831937158709825	0	0
0.832400343771381	0.065950510465513	0	0.00167084299868688	0	0.000417710931879531
0.301984882453038	0.639241017386415	0.00690117839148636	0.00214956277497954	0	0.000678809767984763
0.0706270015892775	0.594513643169635	0.254790347327716	0.0232348284388174	0	0.0159239289006334
0.644785242052625	0.0664342054658238	0.240017717517707	0.00078678198019593	0	0
0.000321853872782431	0.875443979147452	0.0074025715938491	0.000643707712224053	0	0
0.870358439587659	0.0149516574867837	0.000256910900472579	0.000205528721191996	0	0.00010276436113862
0.834246444152887	0.0456952596794944	0.0151150682294225	0.00418866012471111	0	0.000424937764179721
0.675872311976987	0.18404842896503	0.0846274667925049	0.00110998034741352	0.000369993516671588	0.00018499676150144
0.530905585842078	0.220432720979802	0.0186784629895219	0.00611912445373646	0.1743171324882	0.0215764256774183
0.661948856771986	0.264970107448702	0.0184758527082021	0.00141489757202262	0	0.000665834324501559
0.671350511342803	0.21541048865223	0.0508760299662833	0.00797368404289043	0	0.000894254296193357
0	0.881237807310332	0.000192012287606608	0	0	0
0.832586521184086	0.0629671252962	0.00211033910286897	0.00180886244438285	0	0.000904431592101835
0.761825108476095	0.104067016733054	0.0567588060743266	0.00101712137064998	0	0.000254280383765956
0	0.814193190699329	0.0811625064130633	0.0115695551971796	0	0
0.66466767156588	0.200089809889794	0.0817736563895997	0.000669194685721447	0	0.000669194685721447
