"feature","Sample.type.Drug.Before","visit","mean","sd","median","incidence"
"2161","1",1,38.9772542215257,8.18818690393039,38.612610275576,1
"2161","1",2,43.2638549335953,0.20499310005929,43.2638549335953,1
"2161","patient FALSE .",1,36.3869169885297,7.99708640113958,35.8724542552562,1
"2161","patient FALSE .",2,28.7366899217973,13.3493258822555,31.7220406455281,1
"2161","patient FALSE .",3,33.7165327063436,6.99443804439929,34.8612081880792,1
"2161","patient FALSE .",4,34.114417532105,6.27767305424913,31.8703956870755,1
"2161","patient TRUE .",1,28.9004063276484,7.92733756996074,27.0756073826063,1
"2161","patient TRUE .",2,25.7718062571876,8.38800996216931,27.8411004397471,1
"2161","patient TRUE .",3,30.4601639632082,6.53496826584297,31.7939901975605,1
"2161","patient TRUE .",4,28.6386941235808,6.78929439964398,28.6143470885873,1
"1128.62068965517","1",1,33.3839245015439,6.78314647894499,33.0234193429395,1
"1128.62068965517","1",2,36.9919435680222,0.767222151633273,36.9919435680222,1
"1128.62068965517","patient FALSE .",1,31.0453640520356,7.31938900839333,30.3629809458711,1
"1128.62068965517","patient FALSE .",2,24.7606509989251,11.5681288561658,26.4846058724496,1
"1128.62068965517","patient FALSE .",3,29.353962218587,6.08183026341184,29.5529770778987,1
"1128.62068965517","patient FALSE .",4,28.9485623605886,4.82319431262946,27.5293145610143,1
"1128.62068965517","patient TRUE .",1,24.2548273077399,7.38981113322113,23.0098507054072,1
"1128.62068965517","patient TRUE .",2,21.7446027044038,7.54660016554165,23.6622103687636,1
"1128.62068965517","patient TRUE .",3,25.8809570922039,5.86580012415484,27.0890835774862,1
"1128.62068965517","patient TRUE .",4,24.3454865436771,5.92755333851839,25.2829131512554,1
"1","1",1,0.999999999999996,2.25557610109054e-14,0.999999999999992,1
"1","1",2,0.999999999999987,9.26354550623427e-15,0.999999999999987,1
"1","patient FALSE .",1,0.999999999999996,2.23264043732402e-14,0.999999999999999,1
"1","patient FALSE .",2,0.999999999999994,2.22283636808875e-14,0.999999999999993,1
"1","patient FALSE .",3,1.00000000000001,2.19141826679649e-14,1.00000000000002,1
"1","patient FALSE .",4,1.00000000000002,2.42647617454478e-14,1.00000000000002,1
"1","patient TRUE .",1,1,1.63394632190125e-14,1.00000000000001,1
"1","patient TRUE .",2,1,2.20457171095927e-14,1.00000000000001,1
"1","patient TRUE .",3,0.999999999999998,1.00302631156517e-14,0.999999999999999,1
"1","patient TRUE .",4,0.999999999999986,1.14261314456853e-14,0.999999999999982,1
"2220","1",1,39.2222710150349,8.24661713019147,38.8389689181827,1
"2220","1",2,43.536700622065,0.264358168778996,43.536700622065,1
"2220","patient FALSE .",1,36.6100358730669,8.03395718805144,36.0909718243161,1
"2220","patient FALSE .",2,28.040145164952,14.4955649394792,30.0996543732467,1
"2220","patient FALSE .",3,33.9091997309023,7.04004739002177,35.0952154414949,1
"2220","patient FALSE .",4,34.339523243075,6.35175115976742,32.0587506606327,1
"2220","patient TRUE .",1,29.1039141116462,7.9508578519706,27.2938442429846,1
"2220","patient TRUE .",2,25.948373508767,8.42375627861986,28.0240624984751,1
"2220","patient TRUE .",3,30.6550768408088,6.55680200269571,31.9859098409852,1
"2220","patient TRUE .",4,28.827228238817,6.83215919186873,28.7505242651045,1
"2240","1",1,38.7263726991273,8.13723154633807,38.7545956699779,1
"2240","1",2,43.6276915224981,0.284590549346093,43.6276915224981,1
"2240","patient FALSE .",1,36.6843106772835,8.04648310344989,36.1634339405845,1
"2240","patient FALSE .",2,28.1005856795335,14.5274206599626,30.1635630559964,1
"2240","patient FALSE .",3,33.9736167659023,7.05544074647717,35.1734437907992,1
"2240","patient FALSE .",4,34.4146465402424,6.37668693169846,32.1216074435819,1
"2240","patient TRUE .",1,29.1718594771263,7.95872669098563,27.3660655767968,1
"2240","patient TRUE .",2,26.0073521261448,8.43567055163115,28.0851681596114,1
"2240","patient TRUE .",3,30.7201376031165,6.56388557384882,32.04977534373,1
"2240","patient TRUE .",4,28.8902419830296,6.84658947495031,28.7959334068348,1
"2256.24137931034","1",1,38.7893607775696,8.15108290888416,38.8233526800855,1
"2256.24137931034","1",2,43.6999483735822,0.300812119000606,43.6999483735822,1
"2256.24137931034","patient FALSE .",1,35.927430225044,8.09526613174666,34.0348997759909,1
"2256.24137931034","patient FALSE .",2,28.1486524529757,14.5528048252569,30.2143826705455,1
"2256.24137931034","patient FALSE .",3,34.0248342230281,7.06773341859734,35.2356382711261,1
"2256.24137931034","patient FALSE .",4,34.4743245590552,6.39657142449524,32.1715404056687,1
