"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"
5.0254746442929	4.63273499837894	4.19380651250976	3.36981412193075	2.5635503391068	2.17492112203623	1.99515953140516	1.81148178566954
5.3456064045912	5.03018642592271	4.69422194705408	4.08081515080966	3.37216291204085	2.85867108145458	2.56000810677087	2.25615979930135
5.06422345326618	4.62927184148132	4.10820523070286	2.98790094774654	1.77307594514098	1.26424708700955	1.08536446358956	0.949652321586196
4.95475253684858	4.55181494259602	4.11582445669657	3.32364392315708	2.45863944201847	1.93056637376453	1.68853546656677	1.47951209750098
4.99065365077766	4.58941458062321	4.14559355498199	3.30625838173004	2.38481551058768	1.87268030934189	1.64719566930163	1.44500454327259
4.98934355862863	4.58202367523365	4.11970414706437	3.19551352517154	2.18056480757723	1.73265408057653	1.57892998368134	1.4281745301374
5.09100102651476	4.67393936373082	4.15432626058518	2.96707176791235	1.73449621653856	1.26501689682046	1.09052186911805	0.954258923092202
5.3729609095438	5.02893583307822	4.63831869900813	3.83285554742867	2.79771432450433	2.20289911231206	1.96368818503045	1.73849230015589
4.96563792816552	4.56763709138627	4.12540149078237	3.26020639299684	2.24116361046411	1.6781999096935	1.44964530128218	1.26858198717701
4.90871330437087	4.46587846826716	3.9617438997271	3.01522615689698	2.14273525259454	1.75375276247946	1.57110848586812	1.38188079163529
4.79027951998437	4.28233804313921	3.68758126391961	2.60963909182892	1.77159736802507	1.42276792348285	1.26204003795758	1.10803842867319
5.11799381241676	4.76318169971818	4.36065323018685	3.50075289056607	2.29902200892667	1.64003912352672	1.40687941804569	1.23102049396568
4.62025582340613	4.09741136309028	3.48410828598221	2.37759228382012	1.53451573471925	1.17155268189642	1.01284755174228	0.886290282340377
5.168023584345	4.70548026466245	4.13269138866215	2.98499577924167	2.07201262383561	1.73131951235772	1.58232105855867	1.42249944621486
5.56165231359687	5.26552918780514	4.93791963901878	4.28566454207203	3.44915002677752	2.89720871359965	2.63363141281682	2.37596756969056
5.34108945839191	5.02631453911734	4.67361005593197	3.9408177327006	2.92889202282574	2.25981363045458	1.95828455604534	1.7139405058539
3.29007958387453	2.49836905762598	1.73574835047944	0.929601150249327	0.592541214270472	0.45451804052976	0.392248522714435	0.343226962102216
5.13359011815503	4.6820837618376	4.11677998334686	2.82016554159532	1.4758839840432	1.01487448585025	0.86996317268844	0.761188397035954
5.05272049044104	4.66469689541894	4.21763501514779	3.28785090157246	2.17167017157603	1.58002711718073	1.35635870617113	1.18678651051923
5.23989344641032	4.90257538387076	4.53371605720734	3.8430420545173	3.1111468085492	2.72322005941124	2.53041725133251	2.27880920794002
5.47567872520712	5.16894602990327	4.81106400051945	4.01980816156211	2.96002179110401	2.3992895449561	2.17262309117318	1.95630784923779
4.44194512488512	3.86470723342121	3.19520435099056	2.03053349441855	1.18571790446305	0.854612338821575	0.733495562274534	0.641806364004069
5.29056237417497	4.96002977079432	4.60180071035738	3.92843267848172	3.14093537891315	2.57413213125965	2.24601878032197	1.9656895193475
5.03185848054778	4.64257746455406	4.22252696809027	3.47428386227454	2.70232191909837	2.22640725075637	1.98727617646803	1.75282310345522
5.21638850620638	4.84652259879849	4.43239792992338	3.66156750443688	2.90703619952864	2.51495572597121	2.31871885220214	2.08013279002327
3.92291348825932	3.32517512372993	2.72442399431586	1.89211413877658	1.29170075173157	0.978829849147656	0.844370927273743	0.738859324945066
5.29117945214157	4.92962550623021	4.51788964740488	3.71912614473156	2.90258120922953	2.48137353004007	2.26698260427676	2.01640918725245
4.65861616169372	4.21298447905874	3.75453417607307	2.99922540288114	2.29329109894947	1.92838415559488	1.76624534473679	1.58971455730992
5.47580433888243	5.23350385175227	4.98370302199762	4.51182439672573	3.84121796163478	3.23860221132716	2.86842236309721	2.51828413749633
4.37669997316816	3.90394389564773	3.43583262380004	2.73559052841112	2.1004300842555	1.65891481761665	1.43561537292919	1.25621317272753
5.12831462067133	4.75344665361326	4.35453080762838	3.64627937915206	2.88103561907499	2.39398155299496	2.146232640051	1.89124564813775
4.9613750194422	4.58397073233067	4.19328706538193	3.53207976444108	2.87297525657475	2.47637142746256	2.26570820513868	2.03666774029104
5.25377753191715	4.91497079082247	4.53803721022325	3.77145443819453	2.7770415159645	2.20815281331106	1.97933890132168	1.75998484135353
5.21130144409353	4.81771925777343	4.36624415294832	3.46412617828191	2.39780909886252	1.77185687734244	1.52264817431134	1.33225176380989
5.22559881332003	4.88406981169871	4.49961321670905	3.70800620222148	2.690320299511	2.09139947102985	1.8310976344994	1.60508473999675
5.24856236206986	4.89155218133112	4.48213568842284	3.64885884615924	2.65044733718019	2.03469015684217	1.75586447600324	1.53639827836254
0.880663554231004	0.334625477079471	0.113589084808475	0.0199951644801134	0.00571756765456316	0.00381667787774021	0.00327135006779027	0.00286237346967156
5.51576472531737	5.22037794348788	4.89072714348209	4.19787261550881	3.17943081823723	2.50548323313878	2.20910237793034	1.94024385065102
4.67702562308852	4.19965941991163	3.68181556346675	2.84827296360533	2.25155446192878	1.99969978135306	1.86046857525341	1.68635244353137
5.02932619253975	4.62591754226342	4.17736970478043	3.3086988675826	2.29477987433415	1.71687867879463	1.479471517106	1.29453353535444
4.24781644028699	3.86029343961736	3.50080218259124	2.94979260851137	2.3441011794913	1.85861515410024	1.60792029465592	1.40700814084612
4.80030513288299	4.35998495086579	3.89939601991026	3.10855377779922	2.23861291490687	1.67943102733011	1.44484009551884	1.26421455478709
5.22042339036331	4.83639935928067	4.40528190199541	3.60606710319355	2.8431868146226	2.46221943433521	2.2755948437702	2.05032328517682
4.81130998948611	4.40055530715988	3.95455571445294	3.13022390445748	2.25337853131432	1.80626865092006	1.6253115878539	1.4430207772817
4.78477973527857	4.33521221407342	3.81086280058548	2.78816765752715	1.91992856159658	1.6301838528867	1.52172457248615	1.40818333015252
5.29641555925844	4.89961162330002	4.42625326858613	3.42000394800688	2.24081735240223	1.63285155743446	1.40268788524547	1.22729294083445
4.33237672603006	3.7962680741692	3.14449653452418	1.79878460228677	0.790534139029763	0.534299371494389	0.457967607209617	0.400716321830978
4.69198987794065	4.15061921433311	3.51857521420556	2.42966016512889	1.62953480373312	1.25632535278919	1.08713439722902	0.951351129258575
4.4747767220545	3.93769018728282	3.34322258708785	2.31612073638729	1.41056538552524	1.00576969142847	0.862715418835869	0.754851333813209
