"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Verrucomicrobia"	"Unclassified_Bacteria"
0.719960905220842	0.191485043969164	0.0219049067896953	0	0.00086587572520843
0.815216460519188	0.0831922690741803	0.00320636088167842	0.00374719048895725	0.00112029645112638
0.830819864505427	0.0666556591037347	0.00119511302995188	8.8526912065672e-05	0.00225743434330481
0.697071122716268	0.199127850775919	0.00491069454885534	0.0303524821545355	0.00803562780692703
0.064325187766742	0.807768900193321	0.00643691124752972	0	0.0056796362569608
0.747588779179818	0.141439403541219	0.0223398877229044	0	0.0148939466514538
0.223493421056118	0.683214925948008	0.0356241165729417	0	0.00138824573641236
0.799163693797095	0.103343323008275	0.00564128183850165	0	0.00365754562354548
0.278030025659486	0.667654259543938	0	0	0
0.301984882453038	0.639241017386415	0.00690117839148636	0	0.00214956277497954
0.644785242052625	0.0664342054658238	0.240017717517707	0	0.00078678198019593
0.870358439587659	0.0149516574867837	0.000256910900472579	0	0.000205528721191996
0.530905585842078	0.220432720979802	0.0186784629895219	0.1743171324882	0.00611912445373646
0	0.881237807310332	0.000192012287606608	0	0
0.832586521184086	0.0629671252962	0.00211033910286897	0	0.00180886244438285
0.0981103137363667	0.681142144766809	0.157427154799781	0	0.00326832406475167
0.734958003608675	0.156082972808408	0.0383967785345309	0	0.00172612112212512
0.678461597440043	0.243348276699265	0.0205599091923253	0	0.00195822329156764
0.812287840107512	0.0909472852925871	0.000359971194529682	0	0.00251979574960635
0.71176578604656	0.214737180411051	0.00987998179492911	0	0.000161969549016463
0.861074910812116	0.0272948844957878	0	0.000802890319198071	0
0.785101075638039	0.07308934524275	0.0560890585048213	0	0.00222692166455954
0.703948961103756	0.198866848197948	0.03328212828897	0	0.00264728765928868
0.770916756194951	0.142500205801618	0.00244666031099428	0	0.00450184425749536
0.752064014450797	0.134190896916611	0.010752480977979	0.00667403276698342	0.0218744142050467
0.752357067883438	0.163195565059685	0.0013728716170657	0	0.00796257373873168
0.79852828025627	0.0788350303684817	0.0329002961033237	9.70685302300152e-05	0.00155309586174695
0.00341296265739575	0.863490557886207	0.00713614793365343	0	0.00651562252995861
0.783999307587605	0.07109686176503	0.0604654320758223	0	0.00152206942752544
0.76260668734377	0.128968694677873	0.0277884098731333	0	0.00289854666591085
0.622519163230635	0.28608566532977	0.0435896502489302	0	0.00246811760937877
0.58383616751463	0.342676373304976	0.0210380520203688	0.00288778476519189	0.00577554544862927
0.601263896901624	0.246452931437995	0.0173963723988059	0.00167135073748294	0.0902822262917732
