"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Lachnospiracea_incertae_sedis"	"Parabacteroides"	"Alistipes"	"Blautia"	"Ruminococcus"	"Unclassified_Clostridiales"	"Lactobacillus"	"Unclassified_Ruminococcaceae"	"Roseburia"	"Clostridium_XI"	"Enterococcus"	"Erysipelotrichaceae_incertae_sedis"	"Megamonas"	"Sutterella"	"Escherichia_Shigella"	"Unclassified_Bacteria"	"Clostridium_IV"	"Clostridium_XlVa"	"Unclassified_Firmicutes"	"Haemophilus"	"Bifidobacterium"	"Dorea"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Akkermansia"	"Veillonella"	"Streptococcus"	"Clostridium_sensu_stricto"	"Unclassified_Clostridiaceae_1"	"Klebsiella"	"Gemmiger"	"Barnesiella"	"Phascolarctobacterium"	"Oscillibacter"	"Turicibacter"	"Flavonifractor"	"Odoribacter"	"Unclassified_Burkholderiales"
0.711830871963889	0.000259762747100325	0.045269842145854	0.0103037400969254	0.0233765183821232	0	0.00978424080694165	0.0317722972390338	0.00476229908262202	0.00770621864374843	0	0.0120353835270986	0.0059745077073489	0.00086587572520843	0	0.00121222586987505	0	0	0	0.00086587572520843	0.00285738636197335	0.00658060883887873	0.00614767969290665	0.000259762747100325	0.000606113046272245	0.000952463272735762	0.000173175165815521	0.0103903230453663	0	8.65875832323519e-05	0.000432937903178109	0.0116890575619105	8.65875832323519e-05	0	0.00744646334959213	0	0	0	8.65875832323519e-05	0.00545499069645753	0	0
0.234255733851281	0	0.257814983644656	0.135175787238418	0.126030982146433	0	0.00286228804546988	0.0267115483099981	0.00667863157629386	0.0270294659689474	0	0.00371036994524885	0.0528747549521326	0.0254398510032584	0	0.00699665657986209	0	0	0.000318032433947597	0.00434642965214721	0.000530054040694258	0.0297846345069883	0.00424041981616135	0.00466445886226837	0.021730506400873	0.00487647807557277	0	0.000530054040694258	0	0.00445243943928784	0.000424043239703688	0.00159016152639326	0.000954097173173754	0	0	0	0	0.00116611867984455	0	0.00169617219633227	0	0
0.518422246446063	7.69171601426012e-05	0.130465658816703	0.0809821429084615	0.0815954527291373	0	0.00623024967204252	0.0186128780490598	0.00261518046648263	0.012614079758263	0	0.00253826356162804	0.0312232935674779	0.0106143687980221	0	0.00338434858899055	0	0	0.0262257452314721	0.00207676183307292	0.00115375714730495	0.0195357160563126	0.00130759135109464	0.000923005791563786	0.00938375583180513	0.00207676183307292	7.69171601426012e-05	0.000923005791563786	0	0	0.000307668636019794	0	0	0.000230751478607559	0	0	0	0.00107684003494372	7.69171601426012e-05	0.00192292782040811	0	0
0.777168814782219	0.000347678274692101	0.00440391066625511	0.0339114479350235	0.00645131892126121	0.000115892760306128	0.0444109579093795	0.00954169250042882	0.000231785519055685	0.000618094683660046	0	0.00865321813228061	0.000540832856273646	0.00108166555435367	0	0.00123618913118271	0	0	3.86309201789104e-05	0.00112029645112638	0.00158386706550516	0.000424940109284845	0.00027041643802393	0.000772618326902697	0	7.72618403001701e-05	0.00289731496058402	0.000463571025658805	0.00374719048895725	0.000463571025658805	0.000424940109284845	3.86309201789104e-05	0.000309047356588618	7.72618403001701e-05	0.000386309192276727	3.86309201789104e-05	0.00390171303949948	0	0	0.000733987417677429	0	0
0.78442830422144	0.0001327903678817	0.0104902466920776	0.00889683730413718	0.00115084960431554	0.000265580733421869	0.0560966365723214	0.00314270020925343	0.00420501593630753	0.00168201053833198	0	0.0219086580692401	0.00376238489126742	0	0	0.000619688345607658	0	4.42634560761977e-05	0	0.00225743434330481	0.0014606935315626	0.00283285740081514	0.000841005566583187	0	0	0.000708215238247309	0.00362959543006887	8.8526912065672e-05	8.8526912065672e-05	0	8.8526912065672e-05	0	0	0	0.00115084960431554	0	0.0014606935315626	0.00137216670821476	0	0.000796742125336672	0	0
0.417251307405473	0.0165171061141279	0.0111604825994013	0.00401784633277316	0.00491069454885534	0.0303524821545355	0.245733700990922	0.00267856822557065	0.00803562780692703	0.00803562780692703	0	0.00982127068169705	0.00267856822557065	0.0410598903541068	0	0	0	0.00401784633277316	0.000446428556599818	0.00803562780692703	0.00714279640567046	0.000892857024227144	0.00580353885029011	0	0	0.00446427088566354	0.000446428556599818	0.00178571333667532	0.0303524821545355	0	0	0.0281212934334847	0.00267856822557065	0.000446428556599818	0	0.0120532795732646	0.0138388439889104	0.00312499491375933	0.0111604825994013	0.00848204115000403	0.0174098347787549	0
0.0397472010204956	0.0185525138889578	0.0616799290485944	0.066969997073679	0.0189310918488754	0.00265050806662181	0	0.0473129028910342	0.00189322113331921	0.0242308737800191	0.00530099751314179	0.00681554738572386	0.0208239398712982	0.0348282480852771	0.000757288833335057	0.376501718868292	0	0.00113593311428553	0.00265050806662181	0.0056796362569608	0	0.00757281667655089	0.0132521679557929	0.00113593311428553	0.0102232221474876	0.00605827418651626	0.00189322113331921	0.00151457723237572	0	0	0.0155237990506103	0	0	0	0.000757288833335057	0	0	0	0	0.00265050806662181	0	0
0.401155686804993	0.000141532799753933	0.0505057350242474	0.0374974042047643	0.0339613433293521	0.0020522241627505	0.0641411355048	0.0245534736602517	0.210874393818748	0.0167708506502017	7.07664000541612e-05	0.056936185155863	0.00629816797184058	0.00983637099661253	0	0.000495364780533298	0	0	0	0.00629816797184058	0.0220065741341191	0.00459979978679404	0.00870415730560206	0	0	0.00530745509076944	7.07664000541612e-05	0.00162762648396145	0	7.07664000541612e-05	0.00148609385537752	0	0	0	0.0123130424851975	0	0	0.00134456119702493	0.00509515876252422	0.000778430322630022	0	0
0.37981704692445	0	0.157617608215959	0.181325180878968	0.0816447209909992	0.00178745436179962	0	0.0250217633352728	0.000812479598618372	0.0242095297603919	0.000649983704638848	0.011536955637288	0.0503524609365448	0.0219351925044845	0	0.0022749411641491	0	0	0.000649983704638848	0.00259993207252023	0.000324991869482195	0.00454987055477148	0.00292492270628975	0	0.00974960179772328	0.00194995001550102	0	0.00389989261674655	0	0.000162495936886444	0.0042248818088691	0	0	0	0.00389989261674655	0	0	0.00048748779349656	0	0.00276242742587547	0	0
0.742780652566555	0.000413736024605055	0.029371035544405	0.000413736024605055	0.0124117624139894	0	0	0.00124120779052617	0.0136528650468815	0.00744717981779679	0	0.0107569294952956	0.00206867870658204	0.00165494339019811	0	0.00455108068989523	0	0	0.0144802552376781	0.0148939466514538	0.013239166411379	0.00248241366885677	0.00786090373232119	0	0.000413736024605055	0	0.00330988224779672	0.00165494339019811	0	0	0.00124120779052617	0	0	0	0	0	0	0.00124120779052617	0	0.00248241366885677	0	0.00744717981779679
