"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.after.diet.by.before.diet","mean.before.diet","mean.after.diet","l2fc.paired.median","median.paired.after.diet","median.paired.before.diet"
"Unclassified_Bacteria",85,0.0418701171875,0.4605712890625,0.642857142857143,0.285714285714286,0.543825521864213,-2.18827104549222,0.0101816079191116,0.00223398959260254,0.743628510964856,0.00205389303327359,0.00289405990717901
"Erysipelotrichales",72,0.2412109375,0.7646484375,0.571428571428571,0.142857142857143,0.313220935164611,-2.53379157340387,0.0322271619133177,0.00556512334788982,1.13151729665338,0.00288014329321193,0.0102202243621774
"Clostridiales",40,0.463134765625,0.7646484375,0.428571428571429,-0.142857142857143,0.196088184672886,0.597121464230603,0.145247633512725,0.219715419763914,-0.14574323880629,0.144651501313901,0.09587050277175
"Bacteroidales",58,0.7608642578125,0.7646484375,0.5,0,0.0813399058828937,-0.269315938195602,0.666063427398085,0.552641394942881,-0.0193573634725425,0.706167704947847,0.749652803942229
"Lactobacillales",62,0.5830078125,0.7646484375,0.571428571428571,0.142857142857143,0.146725501683092,2.47221698502931,0.0177029246464572,0.0982327922678993,1.82652946780643,0.000768762036416293,0.000609859941687019
"Unclassified_Firmicutes",41,0.5015869140625,0.7646484375,0.5,0,0.179598203716485,0.946675274646281,0.00258809526829434,0.00498836142971446,0.3530228620503,0.000943846157868008,0.000854449787272752
"Selenomonadales",45,0.6697998046875,0.7646484375,0.5,0,0.113966281923071,2.4397996037944,0.00446646126644023,0.0242335163619968,0.883377213515465,0.00375322291270134,0.00209422385892753
"Enterobacteriales",38,0.322265625,0.7646484375,0.571428571428571,0.142857142857143,0.313006291972843,-3.67397820451472,0.023656948892585,0.00185345091324289,0,0.000266481139271152,0.000188896585131981
"Burkholderiales",29,0.7646484375,0.7646484375,0.535714285714286,0.0714285714285714,0.0902671314627153,0.563778308863779,0.00864301644355179,0.0127755475029701,0,0.00307740201523973,0.00147239777933419
"Rhizobiales",19,0.431640625,0.7646484375,0.428571428571429,-0.142857142857143,0.248677497205275,0.747892511586678,0.00171439041105291,0.00287904072696838,0,0.000388887611299659,0.000529383033618375
"Verrucomicrobiales",8,0.375,0.7646484375,0.571428571428571,0.142857142857143,0.443573279509438,-4.92393654703887,0.0125884402299233,0.000414685953384321,0,0,0
