"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","visit","SE_Intercept","SE_visit","WaldStatistic_Intercept","WaldStatistic_visit","WaldPvalue_Intercept","WaldPvalue_visit","betaConv","betaIter","deviance","maxCooks","replace"
"Enterococcus.Otu1019",22.0541820806005,-2.90876211117937,0.637437977087289,-4.56320805432818,5.03778463805772e-06,0.000559194094824407,22.0541820806005,27484.9213016107,FALSE,16.1907216397672,14,8.23913900235919,15.5032026216708,8,FALSE,15.5032026216708,8.62621391570289,-2.90876211117937,1.57398081397706,0.637437977087289,5.48050766508811,-4.56320805432818,4.24107141401302e-08,5.03778463805772e-06,TRUE,100,186.603302189327,NA,TRUE
"Prevotella.Otu1987",79.1923524203332,-3.04280623571724,0.750065327961755,-4.0567216244828,4.97663384732316e-05,0.00276203178526435,79.1923524203332,100678.831224577,FALSE,23.8783082374281,8,7.91942386531793,22.4770899666405,9,FALSE,22.4770899666405,12.1589860063346,-3.04280623571724,1.87827579424839,0.750065327961755,6.4734827779645,-4.0567216244828,9.57693342342632e-11,4.97663384732316e-05,TRUE,100,249.407678593951,NA,TRUE
"Haemophilus.Otu1497",15.4552850806784,1.47511354942008,0.393808296981053,3.74576554310397,0.000179844498277602,0.00665424643627127,15.4552850806784,4992.48234198201,FALSE,5.88262145464242,13,9.15138475477796,5.97705783622367,11,FALSE,5.97705783622367,-0.246381231206974,1.47511354942008,1.00962540760382,0.393808296981053,-0.24403232065219,3.74576554310397,0.807205788215826,0.000179844498277602,TRUE,19,335.217605240245,NA,TRUE
"Clostridiaceae_1.Otu1955",10.0364095987149,1.62917468875617,0.453687468448533,3.59096250625442,0.00032945903335228,0.00914248817552576,10.0364095987149,1435.41167789477,FALSE,7.7378407920307,11,12.3861461853884,7.8934234552293,11,FALSE,7.8934234552293,-1.05471036210468,1.62917468875617,1.16526342278867,0.453687468448533,-0.905126121251262,3.59096250625442,0.36539857518344,0.00032945903335228,TRUE,28,280.040201368139,NA,FALSE
"Lachnospiraceae.Otu0033",12.5076514794988,1.76783013149367,0.537861056513875,3.28677845343887,0.0010134052749685,0.0224975971043007,12.5076514794988,2659.65806425496,FALSE,11.2743744863381,9,10.4745541366071,11.2309406733622,6,FALSE,11.2309406733622,-1.41128685067132,1.76783013149367,1.37620583375656,0.537861056513875,-1.02549111190657,3.28677845343887,0.305131517088196,0.0010134052749685,TRUE,28,244.439184805491,NA,TRUE
"Lachnospiraceae.Otu2222",40.1707674364676,1.18829547452508,0.391692404373929,3.03374653492304,0.00241537268753485,0.0398258454555267,40.1707674364676,16659.3815614877,FALSE,6.04825595360433,11,11.1362272395291,6.16098569901862,10,FALSE,6.16098569901862,2.18422632934803,1.18829547452508,0.990721212372091,0.391692404373929,2.20468311576606,3.03374653492304,0.027476338748927,0.00241537268753485,TRUE,19,457.563978483363,NA,FALSE
"Prevotella.Otu2602",10.8772081770336,-3.04792890118384,1.00859751917634,-3.02194764832745,0.00251153980350168,0.0398258454555267,10.8772081770336,1960.72685422918,FALSE,48.0541890505122,9,11.5801814535607,40.3471579510555,8,FALSE,40.3471579510555,8.96471632402585,-3.04792890118384,2.52013255475823,1.00859751917634,3.55723999799124,-3.02194764832745,0.000374771734456498,0.00251153980350168,TRUE,100,135.547273387574,NA,TRUE
"Lachnospiracea_incertae_sedis.Otu0113",24.3699102812062,0.802529127220092,0.278657010714879,2.87998900570004,0.00397689038806764,0.0451315105790086,24.3699102812062,3293.51184462112,FALSE,2.98649351001097,12,9.17442468485149,3.07387699460839,8,FALSE,3.07387699460839,2.58250750587658,0.802529127220092,0.707395361736478,0.278657010714879,3.65072722492436,2.87998900570004,0.000261498847693467,0.00397689038806764,TRUE,10,501.174533174533,NA,FALSE
"Lachnospiracea_incertae_sedis.Otu0778",70.9468586522006,1.05822939285923,0.369438619013293,2.86442547800115,0.00417766442484235,0.0451315105790086,70.9468586522006,36388.2319282338,FALSE,5.45637751900825,12,7.95498476262426,5.51081648069817,7,FALSE,5.51081648069817,3.29002164880828,1.05822939285923,0.932728762918283,0.369438619013293,3.5273080230898,2.86442547800115,0.000419808072104141,0.00417766442484235,TRUE,19,526.867452671967,NA,FALSE
"Akkermansia.Otu1935",5.4332697238403,-2.29006224416649,0.805917398050022,-2.84155950685202,0.00448934728743784,0.0451315105790086,5.4332697238403,1050.76117741289,FALSE,26.3028968039277,9,18.6347231523782,25.3051961844148,7,FALSE,25.3051961844148,5.92415670277818,-2.29006224416649,2.00643977437347,0.805917398050022,2.95257140455564,-2.84155950685202,0.00315139176106371,0.00448934728743784,TRUE,14,122.380162605136,NA,TRUE
"Prevotella.Otu0634",6.67843769742195,-1.96408886305739,0.691416524835973,-2.84067388109264,0.00450183232974029,0.0451315105790086,6.67843769742195,846.881395357777,FALSE,18.5420966532782,10,17.4011310062579,18.4522280954422,7,FALSE,18.4522280954422,5.86601599130833,-1.96408886305739,1.71648916002225,0.691416524835973,3.41745006489426,-2.84067388109264,0.000632106886405463,0.00450183232974029,TRUE,100,163.222778896491,NA,TRUE
