"Bacteroides"	"Prevotella"	"Parabacteroides"	"Faecalibacterium"	"Unclassified_Lachnospiraceae"	"Lactobacillus"	"Enterococcus"	"Alistipes"	"Lachnospiracea_incertae_sedis"	"Clostridium_XI"	"Blautia"	"Erysipelotrichaceae_incertae_sedis"	"Roseburia"	"Escherichia_Shigella"	"Unclassified_Clostridiales"	"Unclassified_Bacteroidales"	"Unclassified_Ruminococcaceae"	"Sutterella"	"Akkermansia"	"Unclassified_Bacteria"	"Megamonas"	"Ruminococcus"	"Clostridium_XlVa"	"Unclassified_Lactobacillales"	"Veillonella"	"Unclassified_Firmicutes"	"Unclassified_Enterobacteriaceae"	"Dorea"	"Clostridium_sensu_stricto"	"Unclassified_Burkholderiales"	"Clostridium_IV"	"Gemmiger"	"Clostridium_XVIII"	"Flavonifractor"	"Streptococcus"	"Oscillibacter"	"Turicibacter"	"Bifidobacterium"	"Odoribacter"	"Parasutterella"	"Phascolarctobacterium"	"Barnesiella"	"Coprobacillus"	"Haemophilus"	"Unclassified_Prevotellaceae"	"Unclassified_Bacilli"	"Acidaminococcus"	"Paraprevotella"	"Weissella"	"Clostridium_XlVb"	"Anaerovorax"	"Unclassified_Clostridiaceae_1"	"Unclassified_Acidaminococcaceae"	"Butyricicoccus"	"Megasphaera"	"Eggerthella"	"Coprococcus"	"Unclassified_Selenomonadales"	"Klebsiella"	"Unclassified_Bacteroidetes"	"Pseudoflavonifractor"	"Porphyromonas"	"Dialister"	"Butyricimonas"	"Unclassified_Proteobacteria"	"Catenibacterium"	"Rothia"	"Unclassified_Actinomycetales"	"Cellulosilyticum"	"Campylobacter"	"Bilophila"	"Unclassified_Veillonellaceae"	"Unclassified_Clostridia"	"Lactococcus"	"Unclassified_Fusobacteriaceae"	"Moraxella"	"Clostridium_III"	"Unclassified_Erysipelotrichaceae"	"Collinsella"	"Unclassified_Bacillales"	"Anaerobacter"	"Anaerotruncus"	"Anaerostipes"	"Unclassified_Porphyromonadaceae"	"Subdoligranulum"	"Holdemania"	"Gemella"	"Hespellia"	"Peptoniphilus"	"Finegoldia"	"Granulicatella"	"Allisonella"	"Enterobacter"	"Abiotrophia"	"Staphylococcus"	"Desulfovibrio"	"Unclassified_Alphaproteobacteria"	"Eubacterium"	"Unclassified_Peptostreptococcaceae"	"Fusobacterium"	"Atopobium"	"Unclassified_Pseudomonadaceae"	"Anaerococcus"	"Streptophyta"	"Corynebacterium"	"Asaccharobacter"	"Anaerofustis"	"Scardovia"	"Unclassified_Flavobacteriales"	"Solobacterium"	"TM7_genus_incertae_sedis"	"Unclassified_Betaproteobacteria"	"Pseudomonas"	"Mogibacterium"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Pasteurella"	"Victivallis"	"Leuconostoc"	"Unclassified_Coriobacteriaceae"	"Unclassified_Gammaproteobacteria"	"Acetobacterium"	"Aggregatibacter"	"Unclassified_Pasteurellaceae"	"Cloacibacterium"	"Erysipelothrix"	"Pseudobutyrivibrio"	"Unclassified_Actinobacteria"	"Unclassified_Rikenellaceae"	"Catonella"	"Syntrophococcus"	"Brevundimonas"
0.773486881981124	0.000259762750021647	0	0.0103039224175253	0.0452853060871071	0	0	0.00978439691748203	0.0233786475019482	0.00086587583340549	0.0317776430859815	0.00121222616676769	0.00597454325049788	0	0.00770629491730886	0.000173175166681098	0.0120356740843363	0	0	0.00086587583340549	0	0.00476231708373019	0.00658065633388172	0	8.6587583340549e-05	0.00614771841717898	0	0.000952463416746039	0.0116893237509741	0	0.00285739025023812	0.00744653216728721	0.0103905100008659	0.00545501775045459	0.000432937916702745	0	8.6587583340549e-05	0.000606113083383843	0	0.0138540133344878	0	0	0	0.000259762750021647	0	0	0	0	0	8.6587583340549e-05	8.6587583340549e-05	8.6587583340549e-05	0	0.000519525500043294	0	8.6587583340549e-05	0	0	0	8.6587583340549e-05	0	0	0.00164516408347043	0	0	0	0	0	0	0.000259762750021647	0	0.000692700666724392	0.000346350333362196	0	0	0	0	0.000606113083383843	0	0	0	0	8.6587583340549e-05	0	0	0	0	0	8.6587583340549e-05	8.6587583340549e-05	0	0	8.6587583340549e-05	0	0	0	0	8.6587583340549e-05	0	0	0	0	0.000173175166681098	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6587583340549e-05	0	0	0	0	0	0	0	8.6587583340549e-05	0	0	0	0	0	0
0.857799582786062	0.00034767828169667	0.000115892760565557	0.0339179479255196	0.00440392490149115	0	0	0.0444255582167967	0.00645136367148265	0.00108166576527853	0.00954183728656417	0.0012361894460326	0.000540832882639265	3.86309201885189e-05	0.000618094723016302	0.00289731901413892	0.00865332612222823	0	0.00374719925828633	0.00112029668546705	0	0.000231785521131113	0.000424940122073708	0	0.000463571042262227	0.000270416441319632	0.00181565324886039	7.72618403770378e-05	3.86309201885189e-05	0	0.00158386772772927	0.000386309201885189	0.000463571042262227	0.000733987483581859	0.000424940122073708	0	0	0	0	0	0.00390172293904041	3.86309201885189e-05	0.00370856833809781	0.000772618403770378	0.000231785521131113	3.86309201885189e-05	0	0.00243374797187669	0	0	0	0.000309047361508151	3.86309201885189e-05	0.000115892760565557	0.00312910453527003	3.86309201885189e-05	0	0	7.72618403770378e-05	0.000193154600942594	0.000270416441319632	0	3.86309201885189e-05	0	0	0	0	0	0	0	0	3.86309201885189e-05	0	0.000231785521131113	0	0	0	0	0	3.86309201885189e-05	0	0.000115892760565557	3.86309201885189e-05	7.72618403770378e-05	7.72618403770378e-05	3.86309201885189e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86309201885189e-05	0	0	0	0	0	0	0	0	3.86309201885189e-05	0	3.86309201885189e-05	0	0	0	0	0	0	3.86309201885189e-05	0	0	0	0	0	0	0	0	0	0	0
0.867386685552408	0.000132790368271955	0.000265580736543909	0.00889695467422096	0.0104904390934844	0	0	0.0561260623229462	0.00115084985835694	0	0.00314270538243626	0.000619688385269122	0.00376239376770538	0	0.00168201133144476	0.00362960339943343	0.0219104107648725	4.42634560906516e-05	8.85269121813031e-05	0.00225743626062323	0	0.0042050283286119	0.0028328611898017	0	0	0.00084100566572238	0	0.000708215297450425	0	0	0.0014606940509915	0.00115084985835694	8.85269121813031e-05	0.000796742209631728	8.85269121813031e-05	0.0013721671388102	0	0	0	0	0.0014606940509915	0	0	0	8.85269121813031e-05	0	0	0.000309844192634561	0	0	0	0	0	4.42634560906516e-05	0	0	0.000132790368271955	0	0	0.00181480169971671	0.000177053824362606	0	0	0	0	0	0	0	0	0	0	0.000531161473087819	4.42634560906516e-05	0	0	0	0	0	0	0	0	0.000132790368271955	0	0	0	4.42634560906516e-05	0	0	4.42634560906516e-05	0	0	0	0	0	0	0	0	4.42634560906516e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.429464285714286	0.0165178571428571	0.0303571428571429	0.00401785714285714	0.0111607142857143	0	0	0.248214285714286	0.00491071428571429	0.0410714285714286	0.00267857142857143	0	0.00267857142857143	0.000446428571428571	0.00803571428571428	0.000446428571428571	0.00982142857142857	0.00401785714285714	0.0303571428571429	0.00803571428571428	0	0.00803571428571428	0.000892857142857143	0	0	0.00580357142857143	0	0.00446428571428571	0.028125	0	0.00714285714285714	0	0.00178571428571429	0.00848214285714286	0	0.003125	0.0111607142857143	0	0.0174107142857143	0	0.0138392857142857	0.0120535714285714	0	0	0	0	0	0	0	0.000892857142857143	0.0142857142857143	0.00267857142857143	0	0.000446428571428571	0	0	0.003125	0	0.000446428571428571	0	0.000446428571428571	0.000446428571428571	0.000446428571428571	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0	0	0.000446428571428571	0	0.000446428571428571	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0397576675501704	0.0185535781900795	0.00265051117001136	0.0670200681560015	0.0617190458159788	0.00530102234002272	0.000757288905717531	0	0.0189322226429383	0.0348352896630064	0.0473305566073457	0.385460053010223	0.0208254449072321	0.00265051117001136	0.024233244982961	0.00189322226429383	0.00681560015145778	0.0011359333585763	0	0.00567966679288148	0	0.00189322226429383	0.00757288905717531	0.148428625520636	0	0.0132525558500568	0.000757288905717531	0.00605831124574025	0	0	0	0.000757288905717531	0.00151457781143506	0.00265051117001136	0.0155244225672094	0	0	0.0102234002271867	0	0	0	0	0.000378644452858766	0.0011359333585763	0	0.00454373343430519	0	0	0.0204468004543733	0.000757288905717531	0	0	0	0	0	0.00795153351003408	0.0011359333585763	0	0	0.000757288905717531	0	0.000757288905717531	0	0	0	0	0.00492237788716395	0.00189322226429383	0	0	0	0	0	0	0	0	0	0	0	0.000378644452858766	0	0	0	0	0	0	0.000757288905717531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.812991311543235	0.000413736036408771	0	0.000413736036408771	0.0293752585850228	0	0	0	0.0124120810922631	0.00165494414563508	0.00124120810922631	0.00455109640049648	0.00206868018204386	0.014480761274307	0.00744724865535788	0.00330988829127017	0.0107571369466281	0	0	0.0148944973107158	0	0.0136532892014894	0.00248241621845263	0	0	0.00786098469176665	0.000413736036408771	0	0	0.00744724865535788	0.0132395531650807	0	0.00165494414563508	0.00248241621845263	0.00124120810922631	0.00124120810922631	0	0.000413736036408771	0	0	0	0	0.0219280099296649	0	0	0	0	0	0	0.00165494414563508	0	0	0	0	0	0	0	0	0	0.000827472072817542	0.00330988829127017	0.00165494414563508	0	0	0	0	0	0.000827472072817542	0	0	0	0.000413736036408771	0	0	0	0	0	0	0	0	0	0.000413736036408771	0	0	0	0	0	0	0	0	0	0	0	0	0.000413736036408771	0	0	0	0	0	0	0	0	0	0.000413736036408771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.22211938917168	0.002313743637205	0.000462748727441	0.359093012494216	0.105506709856548	0	0.000462748727441	0	0.0541416011105969	0.016658954187876	0.039796390559926	0.002313743637205	0.0934752429430819	0	0.00879222582137899	0.000462748727441	0.015733456732994	0	0	0.001388246182323	0	0.001850994909764	0.003701989819528	0	0.001850994909764	0.00786672836649699	0	0.00601573345673299	0	0	0	0.012956964368348	0.000462748727441	0.00601573345673299	0.000925497454881999	0.001388246182323	0	0	0	0.014807959278112	0	0	0	0.00694123091161499	0	0.002313743637205	0	0	0	0	0	0	0	0.002776492364646	0.001388246182323	0	0.000462748727441	0	0.000925497454881999	0	0	0	0.003239241092087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001388246182323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.861136941293162	0.000247969747690782	6.19924369226954e-05	0.00154981092306739	0.0109726613353171	0.000619924369226954	0.0717872419564813	0.000247969747690782	0.00068191680614965	0	0.00415349327382059	0.000433947058458868	0.0026656747876759	0	0.00260368235075321	0.0252929142644597	0.00105387142768582	0	0	0.00365755377843903	0	0.000123984873845391	0.00105387142768582	0	6.19924369226954e-05	0.000867894116917736	0	0.000805901679995041	0	0	6.19924369226954e-05	0.00427747814766598	0.00111586386460852	0.000123984873845391	6.19924369226954e-05	0.000991878990763127	0	0	0	0.000867894116917736	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123984873845391	0	0.000185977310768086	0	0	0	0	0.000123984873845391	0	0	0	6.19924369226954e-05	0	0	0	0	0	0.000247969747690782	0	0	0.000247969747690782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19924369226954e-05	0	0	0	0	0	0	0.000123984873845391	0	0	0	0	0	0	0	0	0	0	6.19924369226954e-05	0	0	0	0	6.19924369226954e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
0.279552053090004	0	0.000829531314807134	0	0.000414765657403567	0	0.71049357113231	0	0	0	0	0.0062214848610535	0.000414765657403567	0	0.000414765657403567	0.0012442969722107	0	0	0	0	0	0	0.000414765657403567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.254214277633216	0.0445751781875778	0.00690123317117321	0.00633555832107704	0.156013123656522	0.0010182147301731	0.000678809820115398	0	0.14153184749406	0.146622921144926	0.121959497680733	0.000226269940038466	0.0140287362823849	0	0.0170833804729042	0.000905079760153864	0.00158388958026926	0	0	0.00214956443036543	0	0.00610928838103858	0.00497793868084625	0.000226269940038466	0.000339404910057699	0.00486480371082702	0.00475166874080778	0.00248896934042312	0	0	0.00169702455028849	0.00169702455028849	0.000113134970019233	0.000339404910057699	0.00610928838103858	0.000113134970019233	0.0336010860957122	0	0	0	0	0	0.000113134970019233	0	0	0.000452539880076932	0	0	0	0	0	0	0.00599615341101935	0.000113134970019233	0	0.000113134970019233	0.000226269940038466	0.00599615341101935	0	0	0	0	0	0	0.000339404910057699	0	0.000226269940038466	0	0	0	0	0	0.000113134970019233	0.000113134970019233	0	0	0	0	0	0	0	0	0	0	0	0	0.000339404910057699	0.000905079760153864	0	0.000113134970019233	0	0.000905079760153864	0.000113134970019233	0	0	0	0	0	0.000226269940038466	0	0	0	0	0	0	0	0	0.000339404910057699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.174665617623918	0	0.509441384736428	0	0.003933910306845	0	0.0003933910306845	0	0	0.0444531864673485	0	0.010228166797797	0	0.174665617623918	0.000786782061369001	0.00629425649095201	0.0003933910306845	0	0	0.000786782061369001	0	0	0	0	0.0027537372147915	0	0.0625491738788356	0	0.0003933910306845	0	0	0	0.001573564122738	0	0.0003933910306845	0	0	0	0	0	0.0003933910306845	0	0	0.0003933910306845	0	0	0	0	0	0	0	0	0	0	0.0003933910306845	0	0	0	0.000786782061369001	0	0	0	0	0	0.003933910306845	0	0	0	0	0	0	0	0.0003933910306845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.982786969478985	0.000102764361319494	0.000256910903298736	0.00200390504573014	0.00113040797451444	0	0.00349398828486281	0	0.000513821806597472	0.000411057445277978	0	0.000205528722638989	0.00035967526461823	0	0	0.00133593669715343	0.00128455451649368	0	0	0.000205528722638989	0	0.000565203987257219	0.000102764361319494	0	0	0	0	0.000102764361319494	0.00190114068441065	0	0.000256910903298736	0.000102764361319494	5.13821806597472e-05	5.13821806597472e-05	5.13821806597472e-05	0	0	5.13821806597472e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00246634467166787	0	5.13821806597472e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102764361319494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13821806597472e-05
0.503703703703704	0	0.0328502415458937	0.0322061191626409	0.029951690821256	0	0	0.0151368760064412	0.00740740740740741	0.00772946859903382	0.00322061191626409	0.00676328502415459	0.0035426731078905	0	0.007085346215781	0.00289855072463768	0.0219001610305958	0.00515297906602254	0.175201288244766	0.00611916264090177	0	0.00128824476650564	0.00837359098228663	0	0.000322061191626409	0.00289855072463768	0	0.01256038647343	0.0193236714975845	0	0.00998389694041868	0.0119162640901771	0.0112721417069243	0.00161030595813205	0.00483091787439614	0.000322061191626409	0.00225442834138486	0.0209339774557166	0.00128824476650564	0	0.0173913043478261	0	0.0035426731078905	0.000322061191626409	0	0	0	0	0	0.00161030595813205	0.00128824476650564	0.00128824476650564	0	0	0	0.000644122383252818	0.000644122383252818	0	0	0	0	0	0	0	0	0	0	0	0	0.000644122383252818	0.000644122383252818	0	0	0	0	0	0	0.000322061191626409	0	0.000322061191626409	0.000322061191626409	0	0	0	0.000322061191626409	0	0	0	0	0	0	0	0	0	0	0	0	0.000322061191626409	0	0	0	0	0	0	0	0	0	0	0.000322061191626409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
