"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Pasteurellales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Verrucomicrobiales"	"Bifidobacteriales"	"Rhizobiales"	"Fusobacteriales"	"Coriobacteriales"	"Unclassified_Bacilli"	"Unclassified_Proteobacteria"	"Bacillales"	"Campylobacterales"	"Actinomycetales"	"Unclassified_Bacteroidetes"	"Desulfovibrionales"	"Pseudomonadales"	"Unclassified_Clostridia"	"TM7_order_incertae_sedis"	"Unclassified_Alphaproteobacteria"	"Flavobacteriales"	"Unclassified_Gammaproteobacteria"	"Chloroplast_order_incertae_sedis"	"Unclassified_Actinobacteria"	"Unclassified_Betaproteobacteria"	"Sphingomonadales"	"Victivallales"	"Caulobacterales"
154	2130	24	102	105	11	1	0	7	79	3	21	0	0	28	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2490	188	1	3	0	0	0	41	1	4	0	0	0	204	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
2420	63	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15596	1262	9	16	9	4	1004	0	40	14	0	4	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2723	4105	7	236	2	16	0	36	16	5	0	124	0	0	0	2	2	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0
15535	1218	1	238	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
547	1885	37	296	27	22	0	319	34	20	0	0	1	0	1	0	0	3	1	9	0	0	0	0	6	0	0	1	0	0	0	0	0	0
5388	791	1	19	86	113	21	1	9	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
11712	685	16	50	145	4	0	0	13	10	88	0	0	21	0	0	0	0	4	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0
16966	1980	3	234	10	0	3	0	46	11	553	1	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
7	2392	196	292	0	0	0	0	8	3	0	0	0	0	1	1	0	39	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13555	3411	5	48	82	0	355	2	47	7	0	5	216	0	0	0	13	1	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0
8680	1443	9	4	4	1	0	12	46	1	0	2	4	2	1	0	0	0	4	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0
2225	349	4	7	1	0	20	0	59	2	18	0	0	1	1	0	0	0	0	1	0	7	2	0	0	0	0	0	0	0	0	0	0	0
31248	953	75	101	192	57	0	0	27	2	0	17	2	1	3	1	0	0	10	1	6	0	6	0	0	0	0	0	0	0	0	0	0	0
3006	570	0	18	8	4	0	0	29	1	0	2	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
9125	596	1	89	121	3	318	0	16	6	1	0	2	0	0	0	9	0	0	3	4	7	0	0	0	0	0	0	0	0	0	0	1	0
9	2865	26	4	228	1	0	18	21	18	0	25	0	0	1	0	0	1	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0
2278	185	1	0	1	0	152	0	4	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
9836	1463	1	35	2	2	143	1	34	13	0	15	180	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0
1613	193	4	0	508	0	105	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1497	725	1	40	7	1	45	4	14	74	7	4	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9797	2721	19	76	207	0	484	0	58	11	0	33	103	0	9	0	5	2	26	1	1	9	0	1	1	0	0	0	0	0	0	0	0	0
3824	349	0	12	29	5	0	0	18	37	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5786	1441	1	106	8	0	0	0	17	56	0	2	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
8393	3110	19	83	31	0	216	0	1190	19	22	43	0	0	1	0	2	0	0	0	7	0	0	15	1	11	0	0	0	0	0	0	0	0
17043	1217	11	36	304	64	0	1070	45	41	0	4	0	459	4	0	1	5	25	4	0	3	0	0	6	0	0	0	0	0	0	0	0	0
5845	2091	3	138	17	31	64	0	70	97	0	2	7	31	3	0	6	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
