"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Prevotella.Otu1987"	"Bacteroides.Otu2654"	"Bacteroides.Otu0863"	"Faecalibacterium.Otu0067"	"Bacteroides.Otu2038"	"Alistipes.Otu2508"	"Bacteroides.Otu0848"	"Bacteroides.Otu0929"	"Bacteroides.Otu2431"	"Parabacteroides.Otu1736"	"Ruminococcus.Otu1859"	"Bacteroides.Otu2065"	"Bacteroides.Otu2625"	"Prevotella.Otu1994"	"Alistipes.Otu1466"	"Escherichia_Shigella.Otu2393"	"Bacteroides.Otu1201"	"Blautia.Otu2475"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0661"	"Bacteroides.Otu0069"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu2765"	"Bacteroides.Otu0480"	"Bacteroides.Otu0786"	"Bacteroides.Otu0006"	"Akkermansia.Otu1935"	"Bacteroides.Otu2481"	"Bacteroides.Otu2437"	"Faecalibacterium.Otu0751"	"Bacteroides.Otu1726"	"Clostridium_XlVa.Otu0236"	"Prevotella.Otu1633"	"Dorea.Otu1142"	"Bacteroides.Otu1624"	"Bifidobacterium.Otu1244"	"Bacteroides.Otu2343"	"Prevotella.Otu2602"	"Sutterella.Otu0171"	"Bacteroides.Otu2104"	"Lactobacillus.Otu0959"	"Megamonas.Otu2657"	"Prevotella.Otu1803"	"Lachnospiraceae.Otu0220"	"Lachnospiraceae.Otu2512"	"Ruminococcaceae.Otu1504"	"Clostridiales.Otu1597"	"Prevotella.Otu0634"	"Bacteroides.Otu0877"	"Parabacteroides.Otu1378"	"Lachnospiraceae.Otu2222"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu1565"	"Gemmiger.Otu0907"	"Enterococcus.Otu1019"	"Bacteroides.Otu2216"	"Lachnospiraceae.Otu0898"	"Megamonas.Otu1877"	"Ruminococcus.Otu0422"	"Sutterella.Otu1997"	"Clostridium_IV.Otu1864"	"Prevotella.Otu1319"	"Phascolarctobacterium.Otu1814"	"Prevotella.Otu0738"	"Lachnospiracea_incertae_sedis.Otu1152"	"Lachnospiracea_incertae_sedis.Otu0113"	"Roseburia.Otu1051"	"Klebsiella.Otu1452"	"Blautia.Otu2495"	"Prevotella.Otu1563"	"Bacteroides.Otu2120"	"Bacteroides.Otu2375"	"Lachnospiraceae.Otu0790"	"Parabacteroides.Otu1107"	"Bacteroidales.Otu1168"	"Lachnospiraceae.Otu2599"	"Prevotella.Otu0773"	"Bacteroides.Otu2534"	"Lachnospiracea_incertae_sedis.Otu0778"	"Bacteria.Otu0435"	"Alistipes.Otu0529"	"Lachnospiracea_incertae_sedis.Otu1990"	"Bacteroides.Otu2460"	"Streptococcus.Otu0749"	"Prevotella.Otu0882"	"Oscillibacter.Otu0154"	"Lachnospiraceae.Otu0272"	"Blautia.Otu0620"	"Lachnospiracea_incertae_sedis.Otu2549"	"Roseburia.Otu2084"	"Lachnospiraceae.Otu0875"	"Bacteroides.Otu2416"	"Ruminococcaceae.Otu0064"	"Bacteroides.Otu1411"	"Lachnospiracea_incertae_sedis.Otu2746"	"Ruminococcus.Otu1429"	"Prevotella.Otu2666"	"Bacteroides.Otu1669"	"Lachnospiracea_incertae_sedis.Otu0651"	"Bacteroides.Otu2383"	"Blautia.Otu0591"	"Lachnospiraceae.Otu1734"	"Bacteroides.Otu0775"	"Catenibacterium.Otu2320"	"Lachnospiraceae.Otu0578"	"Prevotellaceae.Otu2503"	"Lachnospiraceae.Otu2612"	"Prevotella.Otu2327"	"Bacteroides.Otu0752"	"Prevotella.Otu2501"	"Ruminococcaceae.Otu2507"	"Prevotella.Otu2702"	"Prevotella.Otu2220"	"Bacteroides.Otu1854"	"Bacteroides.Otu0801"
0.0154574430946312	0.132595884742838	0	0.00500111577464984	0.00409182763603953	0.0138663435424195	0	0.0443137517819531	0.00591039977836772	0.0045464721752221	0.0474929418770448	0.000227324389949368	0	0.0343192458524458	0.0656495822630141	0	0	0.000454648768151436	0.0038645050434059	0.00295521279334096	0	0.00500111577464984	0.00204591809987083	0.00113662171480095	0.00409182763603953	0	0	0.000909297442324504	0	0	0.00954747941037601	0.00113662171480095	0	0.0186395207908026	0	0.0063650399947263	0.0290934177482556	0	0	0	0.103022934338718	0.00272788931967553	0	0	0	0.00181859413282311	0.00340985927078627	0	0	0.00204591809987083	0.0175030844616105	0.000227324389949368	0.00204591809987083	0	0.103927385524875	0.00113662171480095	0.000227324389949368	0.00613772004512661	0.000454648768151436	0	0	0.00750163457425891	0	0	0	0	0.000681973122858909	0.00818358676439772	0.00204591809987083	0	0.00318253611429347	0	0.000454648768151436	0.000909297442324504	0	0	0.000227324389949368	0.00136394592854101	0	0	0	0	0.00704699782311856	0.000454648768151436	0.00522843719259033	0	0	0.00136394592854101	0.000454648768151436	0.000227324389949368	0.000681973122858909	0.00522843719259033	0.00113662171480095	0	0	0.000227324389949368	0.00136394592854101	0	0	0.00227324196119349	0.000454648768151436	0.000909297442324504	0	0.000454648768151436	0.00477379409827841	0	0	0	0.00136394592854101	0	0.00340985927078627	0	0.000227324389949368	0	0	0.000454648768151436	0
0.0156682680502278	0.00596096273943252	0.199558471880206	8.51571147740252e-05	0.00826014621109293	0.0349073274460628	0.000170314228930514	0.00613127385606313	0.00127735637579005	0.00468362419462133	0.00136251341645976	0.00919683875856653	0	0	0.00102188520067287	0.0320987199905833	0.00723829155856997	0	0.0058758071159706	0.0180523278361591	0	0.00332112137495406	0.00204376933424472	0.00238439695719915	0.00102188520067287	0	0	0.00178829845924928	0	0	8.51571147740252e-05	0.0114108057650745	0	0.00357659119953175	0.0412894678624013	0.0202660060669494	0	8.51571147740252e-05	0	0.0231606645643408	0.0172008889864231	0.000596099768836123	0.000851571045846719	0	0.0239268662134842	0.000851571045846719	0.00868591649866446	0	0	0.010388981131915	0	0.000596099768836123	0.00255471066740117	0	0	0.0149019435567359	0	0	0	0	0	0.00212892626375832	0.000425785561519392	0.0103038285748139	0	0.000425785561519392	0.00187345543137268	0.00391721726631571	0.002895337860554	0	0.00332112137495406	0.0150722386606874	0.00246955382125436	0.000170314228930514	0.00229924007585306	0.000425785561519392	0.000170314228930514	0.00383206079068504	0.0206917023700031	0	0.00366174775667556	0	0.000936728126656243	0.00510940466155456	8.51571147740252e-05	0	0.00553518420221903	0.000425785561519392	0.000766413958861835	0.00204376933424472	0.00221408317783361	0.00374690428726582	0.00357659119953175	0.000596099768836123	0	0	0.00459846799687458	0	0.000255471341851929	0.000170314228930514	0.000340628452920733	0.000510942667030367	0.00178829845924928	0.00306565133362456	0	0.0508169234947251	0.00987806468100254	0.00246955382125436	0.00127735637579005	0.0058758071159706	0.000425785561519392	0.00153282746753996	0.00383206079068504	0.000170314228930514	0.000681256866319124	0	0
0.0214269318256534	0.0147316100082083	0	0	0.237493280354409	0.000892857024227144	0.000446428556599818	0.215297153297561	0.00892845280278563	0.00267856822557065	0.0174098347787549	0.013392456798781	0	0	0	0	0.0196415941894502	0.000446428556599818	0.0348143953929121	0.000892857024227144	0	0.00133928531390965	0.00178571333667532	0.0312449159708549	0.00312499491375933	0.0187489015409583	0.00133928531390965	0.00267856822557065	0.0294600241711168	0	0.00491069454885534	0	0	0.000446428556599818	0.000446428556599818	0.00446427088566354	0	0	0.00133928531390965	0	0.00401784633277316	0.00133928531390965	0	0	0	0	0	0	0	0.0160707368014297	0.000446428556599818	0.0138388439889104	0	0.00937486267632963	0	0	0	0	0.000446428556599818	0	0	0	0.00267856822557065	0	0.0138388439889104	0	0.00267856822557065	0	0	0.000446428556599818	0.00178571333667532	0	0	0.000446428556599818	0	0	0	0.000446428556599818	0	0	0	0	0.00803562780692703	0.000446428556599818	0	0	0	0.00312499491375933	0	0	0	0	0.00178571333667532	0.000446428556599818	0	0	0.000892857024227144	0	0	0	0	0	0	0	0.00223214100355262	0	0	0	0.000892857024227144	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167458216889001	0	0.191111067301064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179164161807527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0556019158153205	0	0.0900752828821389	0	0	0	0	0	0	0	0	0	0	0.0911510685440416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010802050289238	0	0	0	0	0	0	0	0	0	0.00675123145773266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0431204387500728	0	0	0	0	0.0198050432819408	0.13384299031335	0	0	0	0	0.0048415303811711	0	0	0	0	0	0.000440140830859452	0	0.00924282614373115	0.00176056247078078	0	0	0.00924282614373115	0	0	0	0.0127637379410661	0.00792245233522262	0	0	0.00132042215151534	0	0.0435601665386025	0	0.0127637379410661	0	0	0	0	0	0	0	0	0	0.0422409582592227	0.000440140830859452	0	0.0554293584641132	0	0	0	0.0400421156488678	0.00176056247078078	0	0	0	0	0	0	0	0	0	0	0	0	0.0242053827517675	0.00440139423985661	0.0162844915251596	0	0.0048415303811711	0	0	0	0.00220070244898455	0	0	0.00352111948458657	0	0	0.00176056247078078	0	0	0.00616193283674639	0	0	0	0.00352111948458657	0.0246453923320014	0.000440140830859452	0.0312449159708549	0.00220070244898455	0.00264084200086232	0	0	0	0.0149642302406508	0.0132038416859831	0	0	0.00176056247078078	0	0.00132042215151534	0.000880281576453113	0	0	0.00132042215151534	0	0.00220070244898455	0	0	0	0	0	0	0	0
0.0279746904531155	0.00128932403679815	0.28964130687313	0.000128932439044534	0.0027075779192365	0.0206277274126996	0.0027075779192365	0.0131507297641222	0.000773594559251096	0.0016761209274122	0.0027075779192365	0.00477048216380292	0.00309437360745883	0	0	0.0866630108750172	0	0	0.00244971389847031	0.00567299690471863	0	0.000902526953285977	0.00373903203047546	0.000515729734744959	0.00128932403679815	0.00193398538541199	0	0.00425475766295965	0.00038679730856033	0.000128932439044534	0.00219184971481343	0.00954085576768107	0	0.000902526953285977	0.00219184971481343	0.00154718865554614	0	0.00025786487594575	0	0.0612046892876139	0	0.00025786487594575	0	0	0.0457550494298632	0.00541513598953297	0.0144399313921868	0	0.000644662152356319	0.0315831966939729	0	0.000128932439044534	0.00683336610761963	0.000128932439044534	0.000773594559251096	0.00838051046276626	0	0	0	0	0	0.00206291756725915	0.000644662152356319	0.0366086351411267	0	0.00128932403679815	0.00180505317141525	0.00399689497960008	0.000644662152356319	0	0.000515729734744959	0.0197253840427531	0.0114747352928928	0.00116039169420281	0.0137953334440231	0	0	0.000773594559251096	0.00116039169420281	0	0.00219184971481343	0	0.000902526953285977	0.00309437360745883	0	0	0.0292634869260585	0	0.00103145933231765	0.000644662152356319	0.00193398538541199	0.00128932403679815	0.00154718865554614	0.000515729734744959	0	0.00025786487594575	0.0016761209274122	0.00038679730856033	0.000128932439044534	0.000128932439044534	0.000644662152356319	0.000128932439044534	0.00154718865554614	0.00103145933231765	0.00038679730856033	0	0.000773594559251096	0.000128932439044534	0.00206291756725915	0.013408571906759	0.000128932439044534	0.00128932403679815	0.000128932439044534	0	0.00128932403679815	0	0
0.0581580531229903	0.0437670515545559	0	0.0226125240737739	0.00696353997113354	0.00620514495623521	0.00110314373654607	0	0.0040678321349702	0.00461939890490969	0.0706114674395686	6.89464974633019e-05	0	0	0.00165471518530572	0	0	0.000413678973308722	0.00351626412749501	0.0123411097886681	0.000206839491078924	0.00903186837910255	0.00861820550534545	0.00896292467222203	0.00565358267884734	0.0706114674395686	0.00916975566374778	0.00399888619827246	0	0.000206839491078924	0.0919827574244542	0.00289574884876776	0	0.000689464920555036	0	0.023301807390331	0.000344732480761601	0.000344732480761601	0.00613619977135481	0	0	0.00296469505027886	0	0.0209582009101186	0	0.00737720831901886	0.000689464920555036	0	0	0	0.00103419727841218	0.00137892951336501	0.0117895779599424	0.000620518437840274	0.00399888619827246	6.89464974633019e-05	0	0	0.000482625463889372	0.102001740231349	0	0	0	0	0.0027578564047779	0	0.00310258741069472	0.00117209018943604	0.00330942583988671	0	0.00103419727841218	0	0.00255101764128994	0.0017236615844456	0.00130998307817325	0.00468834465578106	0	0.00199944709579176	0	6.89464974633019e-05	0.00151682236375611	0	0	0.0065498704316527	0.000344732480761601	0.0752186260416841	0	0	0.0181319353003187	0.00572252806102006	0.00365415623620655	0.00261996390834937	0.000137892994598858	0.00130998307817325	0	0.00854926154776876	0.0078598197910841	0	0	0.00310258741069472	0.000413678973308722	0.000965250815362124	0.00144787594200187	0.00199944709579176	0.00792876414027661	0	0.0107554462472675	0	0	0	0.00344731804790331	0	0.000413678973308722	0	0	0	0
0.172906295155754	0.0186170461924042	0	0.0107569294952956	0	0.000413736024605055	0.00744717981779679	0	0.0368141910587719	0.00372361572282274	0.000413736024605055	0	0.000827471978387833	0	0.00289614820620166	0	0	0.0144802552376781	0.000413736024605055	0.000827471978387833	0.00455108068989523	0.000413736024605055	0.0215126145417795	0.00165494339019811	0.00124120779052617	0	0.248570116622484	0.0107569294952956	0	0	0	0	0	0.00206867870658204	0.000413736024605055	0	0	0	0.130370963267734	0	0	0.00124120779052617	0	0	0	0	0	0	0	0	0.000413736024605055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00455108068989523	0	0.00206867870658204	0	0	0	0.00206867870658204	0.00124120779052617	0.012825465510159	0	0.00206867870658204	0.00124120779052617	0	0.00661972823546779	0.00620600070927623	0	0	0.000827471978387833	0.000413736024605055	0	0	0.00124120779052617	0	0	0	0	0.000413736024605055	0.0256488219336722	0	0	0.000413736024605055	0	0	0.000413736024605055	0	0	0	0.000827471978387833	0	0	0.000827471978387833	0	0.000413736024605055	0	0.000413736024605055	0	0	0	0	0	0
0.0607985493341757	0.00553051843042715	0.452443562292963	0.0227633073907668	0.00167202494440162	0.0183912461711421	0.00360127838934149	0.00321542854288947	0.0029581950424243	0.00102893872519361	0.00257234443003183	0.00938892958135641	0	0.00180064211377597	0.00154340774736802	0	0	0.000128617362989444	0.00167202494440162	0.00463020853599167	0	0.00102893872519361	0.00655943849245691	0.00308681181818824	0.00192925925336346	0	0.0014147905248028	0.00758835161031284	0	0	0.000900321421778133	0.00668805303428428	0	0.00128617327883357	0.00475882448199415	0.00347266183059363	0	0	0.000900321421778133	0.012861381753594	0.03073471082771	0.00128617327883357	0	0	0.0272635034160084	0.00205787636103648	0.000257234723851245	0	0	0.0381900729825887	0	0.0146618541058629	0.000900321421778133	0	0	0.00270096134621853	0	0.000257234723851245	0	0	0	0.00231511047212869	0	0.012861381753594	0.000128617362989444	0.000514469430681347	0.000771704103469173	0.00038585208045776	0.000128617362989444	0	0.0014147905248028	0.0168480775106249	0.0039871276996379	0.00115755601158797	0.00102893872519361	0.00347266183059363	0.000128617362989444	0.000643086772394365	0.0164622789335133	0	0.000514469430681347	0	0	0.000643086772394365	0	0	0.00578774903738778	0	0.000128617362989444	0.000771704103469173	0.000128617362989444	0.000514469430681347	0.000128617362989444	0.000514469430681347	0	0.000643086772394365	0.00038585208045776	0	0	0.00038585208045776	0.000900321421778133	0	0	0.00038585208045776	0.000514469430681347	0	0.00102893872519361	0	0.00102893872519361	0.0172338735803131	0.00038585208045776	0.00128617327883357	0.00115755601158797	0	0	0	0
0.00712906985841336	0.163060462420543	0	0.401613965713375	0.00297563258105258	0.000991878828124151	0.000557931903358007	0	0.00874082230299437	0.00446344063808367	0.00427746510373259	0	0	0	0.104946424591108	0	0	0	0.00892679235725356	0.00204574899150841	0.000433947044839437	0.00421547322575494	0.000495939475051685	0	0.0023557104242764	0	0.0224393789844938	0.000433947044839437	0	0	0	0.000247969745149547	0	0.000805901592759229	0	0.000805901592759229	0.000123984873527736	0	0.0147536647418761	0	0	0.00123984842079974	0	0	0	0	0	0	0	0	0.00427746510373259	0	6.19924368829886e-05	0	0.000185977309696003	0.00427746510373259	0.0717257263476236	0	0.000123984873527736	0	0	0	0	0	0	0	0	0.000185977309696003	0.0016118026621042	0	0.00148781793723845	0	6.19924368829886e-05	0.000681916753299911	0	0	0.0243606182127185	0.00254168717720618	0	0.000309962179650128	0	0	0	0	0.0104765301922672	0	0	0.000991878828124151	0	0.000309962179650128	0.000309962179650128	0.00105387123260642	0.000123984873527736	0.000433947044839437	0	0.00123984842079974	0	0	0	0.00260367940896487	0	0.000433947044839437	0.000247969745149547	0.0023557104242764	6.19924368829886e-05	0	0	0	0	0	0.000433947044839437	0	0	0	0	0.0011158636330386	0
