"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","DietStatus_before.diet_vs_after.diet","SE_Intercept","SE_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","SE_DietStatus_before.diet_vs_after.diet","WaldStatistic_Intercept","WaldStatistic_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldStatistic_DietStatus_before.diet_vs_after.diet","WaldPvalue_Intercept","WaldPvalue_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldPvalue_DietStatus_before.diet_vs_after.diet","betaConv","betaIter","deviance","maxCooks","replace"
"Bacteria.Otu0435",16.2311762078752,30,2.9580232812546,10.1419080066456,NA,NA,16.2311762078752,8693.88567600606,FALSE,33,2,9.54304634581454,33,8,FALSE,33,-23.520025086397,-24.5770189728192,30,2.8653891367985,3.05998017926872,2.9580232812546,-8.20831795037652,-8.03175757128358,10.1419080066456,2.24308581577698e-16,9.60860946887438e-16,3.59998364147123e-24,TRUE,100,28.2650576954085,26.4254475743294,TRUE
"Escherichia_Shigella.Otu2393",49.3581952112712,7.05435714654021,2.04951394777436,3.44196591304039,0.000577503016208159,0.0421577201831956,49.3581952112712,64878.2575337549,FALSE,16.4373308572907,8,10.573117994867,15.7433953390887,9,FALSE,15.7433953390887,0.733831779470959,-4.05215664860798,7.05435714654021,1.98257132182732,2.11596675275061,2.04951394777436,0.370141427645887,-1.91503795763353,3.44196591304039,0.711277115892743,0.055487663050533,0.000577503016208159,TRUE,100,98.8212784974837,3.74744896845106,TRUE
"Megamonas.Otu2657",26.2299982380566,-9.36436093603453,2.95795082935955,-3.16582711351631,NA,NA,26.2299982380566,22637.3633820306,FALSE,33,81,10.6117405261615,33,5,FALSE,33,7.17010007895553,-26.1906610625358,-9.36436093603453,2.82034634109251,3.06183222920427,2.95795082935955,2.54227644828119,-8.55391775314299,-3.16582711351631,0.0110133027576737,1.18979698457428e-17,0.0015464267611316,TRUE,100,34.5030541131128,23.0740279249497,TRUE
"Prevotella.Otu2501",39.0285042456735,-8.74783502595005,2.8550292006567,-3.06400895091998,NA,NA,39.0285042456735,44176.0366149676,FALSE,33,8,11.0503982907344,31.2845337679108,6,FALSE,31.2845337679108,8.28319732546491,-6.24219189759915,-8.74783502595005,2.73859597081365,2.96317216226701,2.8550292006567,3.02461458854915,-2.10659103007484,-3.06400895091998,0.00248950146030081,0.0351530449380868,0.00218392375742701,TRUE,100,77.6256654351079,51.9220273823715,TRUE
"Bacteroides.Otu0863",162.55887659066,3.5062424989625,1.15100068729257,3.04625578218378,NA,NA,162.55887659066,219486.379675805,FALSE,5.11456110757,12,8.56910327529857,5.21410035236764,7,FALSE,5.21410035236764,5.40582202362947,-1.27333854929973,3.5062424989625,1.11428264245694,1.19534278316536,1.15100068729257,4.85139211332403,-1.06524970680613,3.04625578218378,1.22597893086171e-06,0.286762945255308,0.00231710627449005,TRUE,15,298.812200842566,9.75698438349727,TRUE
"Lachnospiraceae.Otu2512",7.43681086959548,-3.41992472529641,1.16506893370257,-2.93538401580064,0.00333135125953905,0.121594320973175,7.43681086959548,390.002983895893,FALSE,4.55421004888604,11,8.93810311586244,4.72693846850315,10,FALSE,4.72693846850315,4.15484510912981,-0.672703411916972,-3.41992472529641,1.09144552221084,1.20161088534348,1.16506893370257,3.80673613531687,-0.559834652067652,-2.93538401580064,0.000140812841775136,0.575592225351209,0.00333135125953905,TRUE,17,145.514563242195,0.377106907550327,TRUE
"Bacteroides.Otu2654",245.267804207423,3.66446573986994,1.25528012043092,2.91924143482171,NA,NA,245.267804207423,1187959.50796472,FALSE,6.15040218825966,12,7.94860700818002,6.21005978573758,6,FALSE,6.21005978573758,5.49465198961913,-1.2224702886662,3.66446573986994,1.2152095257922,1.3037835367505,1.25528012043092,4.52156757579492,-0.937632861750227,2.91924143482171,6.13833573334385e-06,0.348433117436884,0.0035088434788426,TRUE,100,288.120726598483,31.2972397742962,TRUE
"Lachnospiracea_incertae_sedis.Otu1990",4.71322675617098,-3.5761622225729,1.35200142433695,-2.64508761470183,0.00816697675798075,0.14175079491842,4.71322675617098,299.958614024977,FALSE,6.10166238942278,7,9.40084919683751,6.31433520765586,7,FALSE,6.31433520765586,1.95889527710185,1.39646584070793,-3.5761622225729,1.28698030691043,1.41065630261512,1.35200142433695,1.52208644264685,0.989940524930926,-2.64508761470183,0.12798742253832,0.322203190143497,0.00816697675798075,TRUE,21,114.557834135043,0.713463994226774,TRUE
"Bacteroides.Otu1201",84.0142871604899,2.57314567406387,0.993053250273736,2.59114571484921,0.00956569787910115,0.14175079491842,84.0142871604899,41900.0177848087,FALSE,3.73709497544038,12,9.15590533981401,3.86120264715454,7,FALSE,3.86120264715454,3.65944680524309,1.31639647916695,2.57314567406387,0.967764720177778,1.03357012994643,0.993053250273736,3.78133933686986,1.27364021175339,2.59114571484921,0.00015598687792572,0.202790954313817,0.00956569787910115,TRUE,11,298.08288000511,0.42240522675708,FALSE
"Lachnospiracea_incertae_sedis.Otu2746",3.51042823666922,-3.55933891462649,1.37637394680108,-2.5860260744538,0.00970895855605614,0.14175079491842,3.51042823666922,95.7738518201256,FALSE,6.28105744798125,8,10.0779806337295,6.54988386889728,8,FALSE,6.54988386889728,2.52302909932911,0.214049958390803,-3.55933891462649,1.29953961400884,1.42927312500215,1.37637394680108,1.94147917626461,0.149761409940791,-2.5860260744538,0.0522001828352119,0.880952856319979,0.00970895855605614,TRUE,17,110.372875096782,2.10673134320193,TRUE
