"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Verrucomicrobia"	"Unclassified_Bacteria"	"Actinobacteria"	"Fusobacteria"	"Cyanobacteria_Chloroplast"	"TM7"	"Lentisphaerae"
0.783790804398649	0.192657372932721	0.0219066585851589	0	0.00086587583340549	0.000692700666724392	0	0	0	8.6587583340549e-05
0.908560611913776	0.0832882639264467	0.00320636637564707	0.00374719925828633	0.00112029668546705	3.86309201885189e-05	0	0	3.86309201885189e-05	0
0.929753895184136	0.0667050283286119	0.00119511331444759	8.85269121813031e-05	0.00225743626062323	0	0	0	0	0
0.754910714285714	0.200446428571429	0.00491071428571429	0.0303571428571429	0.00803571428571428	0.000892857142857143	0	0.000446428571428571	0	0
0.0643695569859902	0.898523286633851	0.00643695569859902	0	0.00567966679288148	0.0249905338886785	0	0	0	0
0.819197352089367	0.141911460488209	0.0223417459660736	0	0.0148944973107158	0.00165494414563508	0	0	0	0
0.225358630263767	0.737621471540953	0.035631652012957	0	0.001388246182323	0	0	0	0	0
0.886987787489926	0.103527369660901	0.00564131175996528	0	0.00365755377843903	0.000185977310768086	0	0	0	0
0.281625881377022	0.718374118622978	0	0	0	0	0	0	0	0
0.306595768752121	0.683674623826225	0.00690123317117321	0	0.00214956443036543	0.000678809820115398	0	0	0	0
0.690401258851298	0.0664830841856806	0.242328874901652	0	0.000786782061369001	0	0	0	0	0
0.984482581440756	0.0149522145719864	0.000256910903298736	0	0.000205528722638989	0.000102764361319494	0	0	0	0
0.556199677938808	0.222222222222222	0.0186795491143317	0.175201288244766	0.00611916264090177	0.0215780998389694	0	0	0	0
0	0.999807987711213	0.000192012288786482	0	0	0	0	0	0	0
0.932167621344589	0.0630087428399156	0.00211034066927947	0	0.00180886343081097	0.000904431715405487	0	0	0	0
0.0982677851617823	0.73504739078331	0.158078222028543	0	0.00326832988342957	0.00206994225950539	0.00315938555398192	0	0.000108944329447652	0
0.802934407364787	0.15671749136939	0.0384062140391254	0	0.00172612197928654	0.000215765247410817	0	0	0	0
0.731723237597911	0.245757180156658	0.0205613577023499	0	0.00195822454308094	0	0	0	0	0
0.904607631389489	0.0910727141828654	0.000359971202303816	0	0.00251979841612671	0.00143988480921526	0	0	0	0
0.773404599935212	0.216391318432135	0.00988014253320376	0	0.000161969549724652	0.000161969549724652	0	0	0	0
0.971497390606182	0.0272982737856283	0	0.000802890405459655	0	0.000401445202729827	0	0	0	0
0.868277474668745	0.0731544371450841	0.0561184723304754	0	0.0022269235051776	0.00022269235051776	0	0	0	0
0.763546243100146	0.200180241072434	0.0332882730652247	0	0.00264729075137997	0.000337952010814464	0	0	0	0
0.849579174006655	0.142982971227246	0.00244666275200626	0	0.00450185946369152	0.000293599530240752	0.000195733020160501	0	0	0
0.824990730441231	0.134593993325918	0.010752688172043	0.00667408231368187	0.0218761586948461	0.000741564701520208	0.000370782350760104	0	0	0
0.825370675453048	0.163920922570016	0.0013728720483251	0	0.00796265788028556	0.0013728720483251	0	0	0	0
0.886138613861386	0.0789167152009319	0.0329062317996506	9.706853038245e-05	0.0015530964861192	0.00029120559114735	0	0	0	9.706853038245e-05
0.00341296928327645	0.974868135277692	0.00713620850139622	0	0.00651566863170959	0.00806701830592616	0	0	0	0
0.866818873668189	0.0711567732115677	0.0605022831050228	0	0.0015220700152207	0	0	0	0	0
0.838704177323103	0.129326513213981	0.0277919863597613	0	0.00289855072463768	0.00127877237851662	0	0	0	0
0.663512957630605	0.290004113533525	0.0436034553681613	0	0.00246812011517894	0.000411353352529823	0	0	0	0
0.617574257425743	0.349422442244224	0.021039603960396	0.00288778877887789	0.00577557755775578	0.0033003300330033	0	0	0	0
0.638152396870014	0.248955405302743	0.0173972498670516	0.00167135151561194	0.0904049228899187	0.00334270303122389	0	0	7.59705234369065e-05	0
