"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","DietStatus_before.diet_vs_after.diet","SE_Intercept","SE_DietStatus_before.diet_vs_after.diet","WaldStatistic_Intercept","WaldStatistic_DietStatus_before.diet_vs_after.diet","WaldPvalue_Intercept","WaldPvalue_DietStatus_before.diet_vs_after.diet","betaConv","betaIter","deviance","maxCooks","replace"
"Firmicutes",1794.71785738535,-1.50345995960799,0.457384726313027,-3.28707950465981,0.00101232248821272,0.00506161244106362,1794.71785738535,9993466.52238798,FALSE,0.826322054411247,11,0.834961916029619,0.827471012503237,8,FALSE,0.827471012503237,11.3943509290602,-1.50345995960799,0.328182212781936,0.457384726313027,34.719587123484,-3.28707950465981,3.98954159013637e-264,0.00101232248821272,TRUE,4,550.819322154576,NA,FALSE
"Unclassified_Bacteria",25.3822636444501,1.76952540062882,0.588318550687469,3.0077674731845,0.0026317441901273,0.00657936047531825,25.3822636444501,2293.32896407131,FALSE,1.02449980014131,10,2.97017986170566,1.29831114882178,11,FALSE,1.29831114882178,3.51552567476971,1.76952540062882,0.427393936405199,0.588318550687469,8.22549263178304,3.0077674731845,1.94390218829893e-16,0.0026317441901273,TRUE,5,271.902015689377,NA,FALSE
"Verrucomicrobia",4.53901397632757,3.79505996014784,2.92146527876387,1.29902620706607,0.193934935511062,0.323224892518437,4.53901397632757,374.848241682353,FALSE,17.9039002484988,9,13250584.2990873,33,100,FALSE,33,-0.731285483090898,3.79505996014784,2.11507656061489,2.92146527876387,-0.345748942004397,1.29902620706607,0.729531399564443,0.193934935511062,TRUE,13,85.5636401642699,NA,TRUE
"Bacteroidetes",4077.00646285477,0.614508481192395,0.54730013283413,1.12279980275216,0.261522529173669,0.326903161467086,4077.00646285477,13453950.7558972,FALSE,1.14918015454669,11,1.37577349741779,1.18584960974344,11,FALSE,1.18584960974344,11.6444306522992,0.614508481192395,0.39282770373969,0.54730013283413,29.6425902283498,1.12279980275216,4.22579259366345e-193,0.261522529173669,TRUE,5,613.173654037514,NA,TRUE
"Proteobacteria",91.1266598393527,0.104276266526753,0.631266109410834,0.165185909669815,0.868797655367749,0.868797655367749,91.1266598393527,11708.3826051097,FALSE,1.47852838648156,9,2.00828784391657,1.56325688117338,12,FALSE,1.56325688117338,6.45869203759785,0.104276266526753,0.453023823845641,0.631266109410834,14.2568485312122,0.165185909669815,4.06396763105809e-46,0.868797655367749,TRUE,5,362.300201155014,NA,TRUE
