"feature","mean","sd","median","incidence"
"N_0",0.219421459041695,0.593229775946718,0.0747479682389178,0.5
"N_0.25",0.22550785992767,0.746979305810613,0.081095439111629,0.5
"N_0.5",0.164383520176507,0.847828799041963,0.0504254574963587,0.5
"NE_8",-0.276828798015132,0.841672571872835,-0.0940250253299635,0.357142857142857
"NE_Inf",-0.271446928775359,0.763612481155668,-0.093625460457023,0.357142857142857
"N_1",0.00976298185455353,1.02177366077774,0.0242347086081969,0.571428571428571
"NE_4",-0.276172324514704,0.92011407468597,-0.118505973001191,0.428571428571429
"N_4",-0.0505652498662245,0.971125239684814,-0.080268241459397,0.428571428571429
"NE_2",-0.268762739918619,0.998379230433979,-0.201652837995318,0.428571428571429
"N_8",-0.0511821214848847,0.874172358590244,-0.0510166118738285,0.428571428571429
"N_2",-0.0429398172222823,1.07684559374537,-0.0446942070500299,0.428571428571429
"N_Inf",-0.0458408551973221,0.767576940569703,-0.0435388329033298,0.428571428571429
"NE_0.5",-0.0600667085437971,0.448372554485565,0.0252776444560288,0.571428571428571
"NE_0.25",0.00368333501503988,0.213842661808844,0.0143736488475323,0.571428571428571
"NE_1",-0.216508240783679,0.85276068562475,-0.169387437103847,0.5
