"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Bacteroides.Otu2375","control","[3.18,6.27]",0.000943308827530619,0.00145020073267752,0.000357015351660121,0.5
"Bacteroides.Otu2375","control","(6.27,8.71]",0.00040290088638195,0.000569787897813495,0.00040290088638195,0.5
"Bacteroides.Otu2375","control","(8.71,15.3]",0.00256203220492549,0.00265463245399473,0.00172366243794815,1
"Bacteroides.Otu2375","control","(15.3,26.4]",0.000333076359703702,0.000405504297775952,0.000170314229753896,0.6
"Bacteroides.Otu2375","patient","[3.18,6.27]",0.00145177694905952,0.00265593991732663,0.000190258751902588,0.5
"Bacteroides.Otu2375","patient","(6.27,8.71]",0.00456171747063476,0.0040609121562748,0.00411789028400789,0.833333333333333
"Bacteroides.Otu2375","patient","(8.71,15.3]",0.00169980452460697,0.00174061711472357,0.00162827249526868,0.75
"Bacteroides.Otu2375","patient","(15.3,26.4]",0.0033494872555879,0.00249948983352418,0.00339950221574698,1
"Bacteroides.Otu0006","control","[3.18,6.27]",0.00303824432994797,0.00495003127579215,0.000899766060824186,0.5
"Bacteroides.Otu0006","control","(6.27,8.71]",0.00893374786727348,0.00541691402441559,0.00893374786727348,1
"Bacteroides.Otu0006","control","(8.71,15.3]",0.00653023268943943,0.00864860985554116,0.00399889685603971,1
"Bacteroides.Otu0006","control","(15.3,26.4]",0.00317238447041982,0.00371334326036977,0.00178829941241591,0.8
"Bacteroides.Otu0006","patient","[3.18,6.27]",0.00504326221315496,0.00627150123735164,0.00361772686162195,0.5
"Bacteroides.Otu0006","patient","(6.27,8.71]",0.0147509399128107,0.0127607822001091,0.015326477062379,0.833333333333333
"Bacteroides.Otu0006","patient","(8.71,15.3]",0.0052675479725632,0.00754602678483743,0.00230546928916494,0.75
"Bacteroides.Otu0006","patient","(15.3,26.4]",0.0124506187982919,0.00820408901274319,0.0107571369466281,1
"Bacteroides.Otu0001","control","[3.18,6.27]",0.0616073636431126,0.0730034301173138,0.0485985187892599,0.75
"Bacteroides.Otu0001","control","(6.27,8.71]",0.0512472667052544,0.0114741706687331,0.0512472667052544,1
"Bacteroides.Otu0001","control","(8.71,15.3]",0.0588079638571681,0.0478927255876958,0.0581908439051296,1
"Bacteroides.Otu0001","control","(15.3,26.4]",0.0279543515573683,0.0330242324296808,0.0156689091373584,0.8
"Bacteroides.Otu0001","patient","[3.18,6.27]",0.0779853817954553,0.0952698925563754,0.0589388001205909,0.5
"Bacteroides.Otu0001","patient","(6.27,8.71]",0.126952807211977,0.0903430948828087,0.141855046989715,0.833333333333333
"Bacteroides.Otu0001","patient","(8.71,15.3]",0.149988475881473,0.257113669191458,0.0326144467448815,0.75
"Bacteroides.Otu0001","patient","(15.3,26.4]",0.112427662343206,0.092649361863958,0.0906339330755003,1
"Lachnospiraceae.Otu0578","control","[3.18,6.27]",0.000362694300518135,0.000725388601036269,0,0.25
"Lachnospiraceae.Otu0578","control","(6.27,8.71]",0.000660211267605634,0.00093367972867942,0.000660211267605634,0.5
"Lachnospiraceae.Otu0578","control","(8.71,15.3]",0.00250535358815843,0.00383839937326041,0.000773594636410521,0.714285714285714
"Lachnospiraceae.Otu0578","control","(15.3,26.4]",0.00581241265280584,0.00737036291294548,0.0013445616021513,0.8
"Lachnospiraceae.Otu0578","patient","[3.18,6.27]",0,0,0,0
"Lachnospiraceae.Otu0578","patient","(6.27,8.71]",0.00128696777371185,0.00313077984935938,0,0.333333333333333
"Lachnospiraceae.Otu0578","patient","(8.71,15.3]",0,0,0,0
"Lachnospiraceae.Otu0578","patient","(15.3,26.4]",0.000424305045408549,0.000564582348875832,0.000168152009416513,0.555555555555556
"Clostridium_IV.Otu1864","control","[3.18,6.27]",0.0138142601173099,0.0117319553931061,0.0147759675748554,0.75
"Clostridium_IV.Otu1864","control","(6.27,8.71]",0.0126242277733011,0.0178533541314895,0.0126242277733011,0.5
"Clostridium_IV.Otu1864","control","(8.71,15.3]",0.000847432413137743,0.0018965941825309,0,0.428571428571429
"Clostridium_IV.Otu1864","control","(15.3,26.4]",0.00203013391981794,0.00338472894443898,0.00070459749867888,0.8
"Clostridium_IV.Otu1864","patient","[3.18,6.27]",0,0,0,0
"Clostridium_IV.Otu1864","patient","(6.27,8.71]",0.00090751604807917,0.00169795064646369,0.000191938579654511,0.5
"Clostridium_IV.Otu1864","patient","(8.71,15.3]",0.000669642857142857,0.00133928571428571,0,0.25
"Clostridium_IV.Otu1864","patient","(15.3,26.4]",0.00217194729271709,0.00631354725173653,0,0.222222222222222
"Gemmiger.Otu0907","control","[3.18,6.27]",0.00720858882691503,0.00557641598332202,0.00781239364811781,0.75
"Gemmiger.Otu0907","control","(6.27,8.71]",0,0,0,0
"Gemmiger.Otu0907","control","(8.71,15.3]",0.00444659233651721,0.00402021071528766,0.00383631713554987,1
"Gemmiger.Otu0907","control","(15.3,26.4]",0.00814527670791171,0.00583670595492203,0.00882489549465862,1
"Gemmiger.Otu0907","patient","[3.18,6.27]",0.000551016189373593,0.00091218646285732,0.000150738619234248,0.5
"Gemmiger.Otu0907","patient","(6.27,8.71]",0.000184431067044382,0.000451762006975769,0,0.166666666666667
"Gemmiger.Otu0907","patient","(8.71,15.3]",0.00228271997200104,0.00407624298192446,0.000378644452858766,0.5
"Gemmiger.Otu0907","patient","(15.3,26.4]",0.0028073294777044,0.00278106062126054,0.00215169445938677,0.888888888888889
"Lachnospiracea_incertae_sedis.Otu2746","control","[3.18,6.27]",0.0018443140317274,0.00136546870320479,0.00223785086138225,0.75
"Lachnospiracea_incertae_sedis.Otu2746","control","(6.27,8.71]",0.00815389584350043,0.00963205709534427,0.00815389584350043,1
"Lachnospiracea_incertae_sedis.Otu2746","control","(8.71,15.3]",0.00252399508568583,0.00252075087908444,0.00157773952954676,1
