"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Verrucomicrobiales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Rhizobiales"	"Bifidobacteriales"	"Pasteurellales"	"Unclassified_Bacilli"	"Coriobacteriales"	"Actinomycetales"	"Unclassified_Bacteroidetes"	"Unclassified_Proteobacteria"	"Desulfovibrionales"	"Bacillales"	"Campylobacterales"	"Fusobacteriales"	"Unclassified_Clostridia"	"Pseudomonadales"	"Unclassified_Alphaproteobacteria"	"Chloroplast_order_incertae_sedis"	"Flavobacteriales"	"TM7_order_incertae_sedis"	"Unclassified_Betaproteobacteria"	"Victivallales"	"Unclassified_Gammaproteobacteria"	"Unclassified_Actinobacteria"	"Caulobacterales"
0.783704216815309	0.170923889514244	0.000432937916702745	0.0123820244176985	0.00242445233353537	8.6587583340549e-05	0.0138540133344878	0	0.00086587583340549	0.00614771841717898	0.00744653216728721	0.000606113083383843	0.000259762750021647	0	8.6587583340549e-05	0	8.6587583340549e-05	0	0	0	0.000259762750021647	0	0.000346350333362196	0	0	0	0	0	0	8.6587583340549e-05	0	0	0
0.908367457312833	0.0692266089778259	0.000656725643204821	0.00544695974658116	0.00761029127713822	0.00193154600942594	0	0.00374719925828633	0.00112029668546705	0.000270416441319632	0.000386309201885189	0	0.000772618403770378	3.86309201885189e-05	3.86309201885189e-05	0	0.000193154600942594	0	0	3.86309201885189e-05	0	0	0	7.72618403770378e-05	0	0	0	3.86309201885189e-05	0	0	3.86309201885189e-05	0	0
0.927939093484419	0.0629868980169972	8.85269121813031e-05	0.000752478753541076	0.00199185552407932	0	4.42634560906516e-05	8.85269121813031e-05	0.00225743626062323	0.00084100566572238	0.00115084985835694	0	0	0	0	0	0.00181480169971671	0	0	0	0	0	4.42634560906516e-05	0	0	0	0	0	0	0	0	0	0
0.754910714285714	0.166964285714286	0	0.0133928571428571	0.0142857142857143	0.000892857142857143	0.00401785714285714	0.0303571428571429	0.00803571428571428	0.00580357142857143	0	0	0	0	0.000446428571428571	0.000446428571428571	0	0	0	0	0	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0
0.0636122680802726	0.301779628928436	0.190458159787959	0.387353275274517	0	0.00340780007572889	0.0011359333585763	0	0.00567966679288148	0.0132525558500568	0.000757288905717531	0.0102234002271867	0.0011359333585763	0.00454373343430519	0.00795153351003408	0.00681560015145778	0.000757288905717531	0	0	0.0011359333585763	0	0	0	0	0	0	0	0	0	0	0	0	0
0.818369880016549	0.103847745138602	0.00124120810922631	0.0281340504757964	0.000413736036408771	0.0148944973107158	0.00744724865535788	0	0.0148944973107158	0.00786098469176665	0	0.000413736036408771	0	0	0	0.00124120810922631	0.000827472072817542	0	0	0.000413736036408771	0	0	0	0	0	0	0	0	0	0	0	0	0
0.225358630263767	0.715409532623785	0.001388246182323	0.002776492364646	0.00647848218417399	0.000925497454881999	0.014807959278112	0	0.001388246182323	0.00786672836649699	0.012956964368348	0	0.00694123091161499	0.002313743637205	0	0	0	0	0	0.001388246182323	0	0	0	0	0	0	0	0	0	0	0	0	0
0.886987787489926	0.0282065587998264	0.0727791209472444	0.00154981092306739	6.19924369226954e-05	0	0.000867894116917736	0	0.00365755377843903	0.000867894116917736	0.00427747814766598	0	0	0	0.000185977310768086	0	0	6.19924369226954e-05	0.000247969747690782	6.19924369226954e-05	0	0	0	0.000185977310768086	0	0	0	0	0	0	0	0	0
0.281625881377022	0.00165906262961427	0.71049357113231	0.0062214848610535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.306595768752121	0.62246860504582	0.00814571784138477	0.0340536259757891	0.0132367914922503	0.00486480371082702	0	0	0.00214956443036543	0.00486480371082702	0.00169702455028849	0.000339404910057699	0	0.000452539880076932	0.000113134970019233	0.000226269940038466	0	0.000339404910057699	0	0.000339404910057699	0	0	0.000113134970019233	0	0	0	0	0	0	0	0	0	0
0.690401258851298	0.0499606608969315	0.000786782061369001	0.011801730920535	0.0035405192761605	0.238001573564123	0	0	0.000786782061369001	0	0	0	0.0003933910306845	0	0	0	0	0.003933910306845	0	0	0	0	0.0003933910306845	0	0	0	0	0	0	0	0	0	0
0.984482581440756	0.0111499332031651	0.00354537046552256	0.000256910903298736	0	0	0	0	0.000205528722638989	0	0.000102764361319494	5.13821806597472e-05	0	0	5.13821806597472e-05	0	0	0	0.000102764361319494	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13821806597472e-05
0.555877616747182	0.172302737520129	0.00483091787439614	0.0241545893719807	0.0177133655394525	0	0.00515297906602254	0.175201288244766	0.00611916264090177	0.00289855072463768	0.0119162640901771	0.0209339774557166	0.000322061191626409	0	0.000644122383252818	0	0	0	0.000644122383252818	0.000322061191626409	0.000644122383252818	0	0	0	0	0	0.000322061191626409	0	0	0	0	0	0
0	0	0.999807987711213	0	0	0	0	0	0	0	0	0	0.000192012288786482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.932167621344589	0.0521555622550497	0.00331624962315345	0.00602954476936991	0.000301477238468496	0	0.00180886343081097	0	0.00180886343081097	0.000602954476936991	0.000301477238468496	0.000301477238468496	0	0	0.000602954476936991	0	0	0	0	0	0	0	0.000602954476936991	0	0	0	0	0	0	0	0	0	0
0.0982677851617823	0.644514653012311	0.0232051421723499	0.0474997276391764	0.0174310927116244	0.146203290118749	0.000108944329447652	0	0.00326832988342957	0.00196099793005774	0.00119838762392417	0.00119838762392417	0.00827976903802157	0	0.000217888658895305	0.000653665976685913	0	0.000108944329447652	0	0.000108944329447652	0.00196099793005774	0.00315938555398192	0.000326832988342957	0.000108944329447652	0	0	0	0.000108944329447652	0	0	0.000108944329447652	0	0
