"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Sample.type_patient_vs_control","SE_Intercept","SE_Sample.type_patient_vs_control","WaldStatistic_Intercept","WaldStatistic_Sample.type_patient_vs_control","WaldPvalue_Intercept","WaldPvalue_Sample.type_patient_vs_control","betaConv","betaIter","deviance","maxCooks","replace"
"Bacteroidales",6271.79491682115,1.62302252861951,0.49205304088614,3.29847068051159,0.000972130316555799,0.0116655637986696,6271.79491682115,42892558.2108134,FALSE,1.1744992826172,11,1.17446856399111,1.17436085332713,5,FALSE,1.17436085332713,11.4989248363222,1.62302252861951,0.368541982409576,0.49205304088614,31.2011260186445,3.29847068051159,1.02862429031897e-213,0.000972130316555799,TRUE,5,786.99340313272,NA,FALSE
"Bifidobacteriales",12.5179694094346,-1.73329866686472,0.67706095708378,-2.56003340427477,0.010466210259006,0.062797261554036,12.5179694094346,444.303007171374,FALSE,2.30603947860481,7,1.05684276858187,2.07657055651314,11,FALSE,2.07657055651314,4.37315356580226,-1.73329866686472,0.494247904539867,0.67706095708378,8.84809733259983,-2.56003340427477,8.90239944714916e-19,0.010466210259006,TRUE,7,270.846969792357,NA,FALSE
"Unclassified_Firmicutes",19.1858327855912,-0.907519579701276,0.417399408404104,-2.17422344504778,0.0296883584629394,0.0927728858749977,19.1858327855912,355.106537179426,FALSE,0.611168465049533,10,2.91102796923305,0.773618320612065,9,FALSE,0.773618320612065,4.71666108367092,-0.907519579701276,0.304485411963074,0.417399408404104,15.4905979017574,-2.17422344504778,4.01538769666419e-54,0.0296883584629394,TRUE,5,320.772828127838,NA,FALSE
"Erysipelotrichales",78.216734820271,1.30324111841285,0.603898817376686,2.15804548860366,0.0309242952916659,0.0927728858749977,78.216734820271,20262.4775222612,FALSE,1.68432971473776,14,2.48115568221468,1.75138091753582,11,FALSE,1.75138091753582,5.42614571311824,1.30324111841285,0.452247637204537,0.603898817376686,11.9981737144249,2.15804548860366,3.63222774801514e-33,0.0309242952916659,TRUE,6,426.574145886367,NA,FALSE
"Burkholderiales",58.9013596731635,1.66374472685201,0.823912388797122,2.01932238120731,0.0434537231246886,0.104288935499253,58.9013596731635,18751.8728097123,FALSE,3.34906101255946,11,2.62748434504461,3.26722350183276,11,FALSE,3.26722350183276,4.73287566163149,1.66374472685201,0.617292960244373,0.823912388797122,7.6671466652687,2.01932238120731,1.75864646885479e-14,0.0434537231246886,TRUE,13,362.810884779488,NA,TRUE
"Lactobacillales",10.1466702877716,1.02238470269587,0.5372389339378,1.90303538725702,0.0570359278769244,0.114071855753849,10.1466702877716,428.821961238212,FALSE,1.38805082173494,11,0.684490347673281,1.27465879319944,11,FALSE,1.27465879319944,2.67860483379109,1.02238470269587,0.400631875059611,0.5372389339378,6.68595037125424,1.90303538725702,2.29430775052723e-11,0.0570359278769244,TRUE,6,270.497338911617,NA,TRUE
"Rhizobiales",20.7388332023761,-0.976766273129234,0.782130126076413,-1.24885391901373,0.211718508560403,0.362946014674976,20.7388332023761,682.166913865951,FALSE,2.80825388510886,11,3.53448369655324,2.89542006795099,11,FALSE,2.89542006795099,4.84219865510354,-0.976766273129234,0.581223121080019,0.782130126076413,8.33104960811925,-1.24885391901373,8.01287434106546e-17,0.211718508560403,TRUE,10,309.844872791219,NA,FALSE
"Clostridiales",1252.54843648852,-0.309475231776147,0.273351215135214,-1.13215239091973,0.257570371897616,0.386355557846424,1252.54843648852,452432.453877656,FALSE,0.361055764494045,11,0.363985831521303,0.361436580476679,7,FALSE,0.361436580476679,10.456007717452,-0.309475231776147,0.20458574655829,0.273351215135214,51.1081924980189,-1.13215239091973,0,0.257570371897616,TRUE,4,647.083200368801,NA,FALSE
"Enterobacteriales",3.98036615730062,0.401915946870295,0.841179136439284,0.477800660358278,0.632792091106359,0.806258656330859,3.98036615730062,77.5503569910347,FALSE,3.13663986323828,12,0.128754384206131,3.13663986323828,10,TRUE,1.89552803357231,1.77598300772111,0.401915946870295,0.622412667336848,0.841179136439284,2.85338506255039,0.477800660358278,0.00432561723268799,0.632792091106359,TRUE,8,190.918821039203,NA,TRUE
"Selenomonadales",43.5073625486934,-0.312912228853737,0.738756380277968,-0.423566194766399,0.671882213609049,0.806258656330859,43.5073625486934,8751.76189128592,FALSE,2.4512668584089,13,4.88350649550983,2.6173476509383,10,FALSE,2.6173476509383,5.6124610701604,-0.312912228853737,0.551742689552311,0.738756380277968,10.1722436498695,-0.423566194766399,2.63761868761091e-24,0.671882213609049,TRUE,8,369.305067221836,NA,TRUE
"Unclassified_Bacteria",56.0233660013426,0.151758931188553,0.459456706047012,0.330300829634696,0.741172666125557,0.808551999409698,56.0233660013426,5693.33093758847,FALSE,0.881805030581841,11,2.82160103787867,1.00178003549137,13,FALSE,1.00178003549137,5.72553489426905,0.151758931188553,0.342739538736795,0.459456706047012,16.7052068616628,0.330300829634696,1.20110738125698e-62,0.741172666125557,TRUE,5,413.176324837108,NA,FALSE
"Verrucomicrobiales",8.62192281297216,-0.276471055541954,1.53057653886747,-0.180631970059155,0.85665646015983,0.85665646015983,8.62192281297216,621.823258285978,FALSE,11.2125282786624,11,0.496148373602874,11.2125282786624,12,TRUE,6.56960340425723,3.25296673543542,-0.276471055541954,1.14263136409236,1.53057653886747,2.84690831851914,-0.180631970059155,0.00441460742970025,0.85665646015983,TRUE,14,161.512252498742,NA,TRUE
