"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"	"NE_0.25"	"NE_0.5"	"NE_1"	"NE_2"	"NE_4"	"NE_8"	"NE_Inf"
152.2425	102.794823673117	66.2745864674707	29.0731224996408	12.981825477598	8.8014908511301	7.35337602873357	6.11950851730525	0.674850802981324	0.435077302966935	0.191147476764405	0.0855092666061287	0.0579958630850941	0.0484636261921123	0.0403217906850987
209.685	152.96152603135	109.313723681063	59.1937019830786	29.1414894205809	17.438337401517	12.9359221836751	9.54635875227168	0.729776834556728	0.521838972297373	0.28283767493423	0.139173326716874	0.0831996946007472	0.0617103838342628	0.0455488568766335
158.2575	102.43944479207	60.8374303741548	19.8439851826442	5.88893958611032	3.5404260995602	2.96051862337947	2.58481082014548	0.647553425116306	0.384637329270401	0.125353957997859	0.0371972134174179	0.022374073769854	0.0187083404588331	0.0163328716943808
141.8475	94.8043166584372	61.3027348841515	27.7613266132103	11.6888972938001	6.89341338464719	5.41154950362028	4.39080287452579	0.668625753274078	0.432914125229066	0.196853039339457	0.0832009162149861	0.0490945254113215	0.0385354678687082	0.0312504000037065
147.0325	98.4367864885312	63.1550968012825	27.2828522391269	10.8570594676212	6.5057103677246	5.19239818922835	4.24187141475477	0.669473118234131	0.429717970897126	0.185904104072085	0.0740518380152604	0.0444296816086194	0.0354951869008486	0.0290056319005343
146.84	97.7119314797645	61.5410324757318	24.422712150059	8.85130413081144	5.65564454278164	4.84976370760623	4.17107806067256	0.665400798188525	0.419054510373104	0.166285047844092	0.0602668320611995	0.0385115008446256	0.0330254701475541	0.0284057388970005
162.5525	107.118892636431	63.7090268025749	19.4349262172647	5.66607261099316	3.54315260361661	2.97582665943849	2.59674548157173	0.658721894610981	0.391534818037497	0.119320640233511	0.0348173406284766	0.0217890370301698	0.0183037623202455	0.0159737562330971
215.5	152.770353006137	103.370404635187	46.1942599761615	16.4071025682149	9.05121599081722	7.12555904142019	5.68876001111189	0.708341558317428	0.479082707474816	0.214326412094211	0.0763800747382604	0.0421993044684566	0.0332525603767392	0.026573549902195
143.4	96.3162541712558	61.892653592561	26.0549141394236	9.40426782772406	5.35590617368848	4.26160266205841	3.55580680608037	0.67264787606925	0.433150038559585	0.183100464451386	0.0661844268576753	0.0376482177240914	0.0299428672776918	0.0249782891020354
135.465	86.9974204545366	52.548886078144	20.3937025955477	8.5227175614464	5.77623890543513	4.81197924952512	3.98238462399962	0.642312561649663	0.388036918992726	0.150619495964357	0.0629556975718004	0.0426776909385887	0.0355536670114782	0.0294218169787801
120.335	72.4095388756518	39.9481060836018	13.5941437288232	5.88023876880114	4.14858753576965	3.53262082197718	3.02841211794329	0.601630970176595	0.331714436910091	0.112739171560254	0.0487712990785629	0.034419377016633	0.0293123963348312	0.0251262022736568
167	117.117967927675	78.3082710458004	33.1403936580699	9.96443256184139	5.15537120459225	4.08319356209474	3.42472266244059	0.701305197171702	0.468911802669463	0.198445471006407	0.0596672608493488	0.0308704862550434	0.0244502608508668	0.0205073213319793
101.52	60.1842904987801	32.5933502003817	10.7789190178996	4.63907844128057	3.22699925400352	2.75343039796696	2.4261127432514	0.592523887264939	0.320721776192928	0.105969431792963	0.0455308275274853	0.0316423925571425	0.0269960693198369	0.0237883212511132
