"feature","mean","sd","median","incidence"
"N_0",3.76767857142857,9.6090868184698,1.5075,0.5
"N_0.25",2.16507944350129,7.54206776266309,0.635103065621138,0.5
"N_0.5",1.09923130780715,6.07559418036977,0.334129189843779,0.5
"NE_8",-0.0151051499071867,0.0486078529250076,-0.00338137507262219,0.357142857142857
"NE_Inf",-0.0140154568157979,0.0416463512501692,-0.00295915014708197,0.357142857142857
"N_1",0.326868429909859,4.26007138657843,0.0352935323206454,0.571428571428571
"NE_4",-0.0157340261410103,0.0573680334928466,-0.0050103000461165,0.428571428571429
"N_4",-0.0126663193004205,2.01949338224759,-0.157099403613765,0.428571428571429
"NE_2",-0.0157881699762149,0.0734991387745094,-0.0130029589893533,0.428571428571429
"N_8",-0.0324782040130716,1.60442674696514,-0.08625435045012,0.428571428571429
"N_2",0.067556915354998,2.79640852904082,-0.074434065216503,0.428571428571429
"N_Inf",-0.0326253007180785,1.23725138688744,-0.065489624850997,0.428571428571429
"NE_0.5",-0.0100083843707104,0.100783348876824,0.00365121131007952,0.571428571428571
"NE_0.25",0.000489507992934326,0.080751902124603,0.00541202439077909,0.571428571428571
"NE_1",-0.0155391805396047,0.0956712208421516,-0.0101708629480687,0.5
