"feature","DietStatus","mean","sd","median","incidence"
"2161","after.diet",124.680777532098,58.4941737031596,131.72902848173,1
"2161","before.diet",129.259158510362,40.7736492195453,135.523719427894,1
"1786.1724137931","after.diet",115.504284845683,54.0180793221624,121.800437221793,1
"1786.1724137931","before.diet",119.769647370095,37.4491679109817,125.058821780299,1
"893.586206896552","after.diet",86.4226873045945,39.9379680431542,92.0238061498096,1
"893.586206896552","before.diet",89.5245856179788,27.3186706927637,93.0106469328369,1
"1","after.diet",1.00000000000002,1.30030115012313e-13,0.99999999999999,1
"1","before.diet",1,8.89969234182318e-14,1.00000000000002,1
"2240","after.diet",123.628061099769,60.3161147204449,125.800446229873,1
"2240","before.diet",131.105719502771,41.4282053047165,137.573203898652,1
"2411","after.diet",127.316311359434,62.2100769246803,129.993030419386,1
"2411","before.diet",133.79018863953,43.9259942301665,140.47119344133,1
"2417","after.diet",134.543358357802,57.9824754937605,138.046071401427,1
"2417","before.diet",133.920005988606,43.9741531939878,140.614103301348,1
"2424","after.diet",134.698269101754,58.0540173709724,138.212542633345,1
"2424","before.diet",133.53119416313,45.5207655106422,139.39041346269,1
"2431","after.diet",128.591703147751,55.3673684006906,130.471051153498,1
"2431","before.diet",133.680730298083,45.5785271059281,139.55233907791,1
"2491","after.diet",130.663576086464,58.359034013894,139.79035841607,1
"2491","before.diet",134.949624970353,46.0694208821847,140.928951394895,1
"2542","after.diet",131.728998789716,58.8685647434095,140.973044104769,1
"2542","before.diet",142.349598922099,40.9578930571273,146.033805896044,1
"2628","after.diet",133.493173710213,59.7131014371278,142.933097397837,1
"2628","before.diet",151.174723709513,33.6532299224906,151.953819626671,1
"2641","after.diet",133.756421184295,59.8392108009733,143.225762884245,1
"2641","before.diet",152.064023658423,35.1513548151413,155.657428400296,1
"2678.75862068966","after.diet",134.520894320718,60.2055643589337,144.075953697095,1
"2678.75862068966","before.diet",150.819717126505,36.3065576045139,153.098129671095,1
"2697","after.diet",134.880439097558,60.3779339729715,144.475963077197,1
"2697","before.diet",151.214963694826,36.4130193644593,153.497897270799,1
"2778","after.diet",136.478470761533,61.1445686814409,146.255039393349,1
"2778","before.diet",156.451609518297,36.9279690826866,158.799480832,1
"3064","after.diet",141.878708153304,63.741614328007,152.282619002195,1
"3064","before.diet",166.648152824231,38.446336629457,168.804890410772,1
