"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Pasteurellales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Verrucomicrobiales"	"Bifidobacteriales"	"Rhizobiales"	"Fusobacteriales"	"Coriobacteriales"	"Unclassified_Bacilli"	"Unclassified_Proteobacteria"	"Bacillales"	"Campylobacterales"	"Actinomycetales"	"Unclassified_Bacteroidetes"	"Desulfovibrionales"	"Pseudomonadales"	"Unclassified_Clostridia"	"TM7_order_incertae_sedis"	"Unclassified_Alphaproteobacteria"	"Flavobacteriales"	"Unclassified_Gammaproteobacteria"	"Chloroplast_order_incertae_sedis"	"Unclassified_Actinobacteria"	"Unclassified_Betaproteobacteria"	"Sphingomonadales"	"Victivallales"	"Caulobacterales"
0.783704216815309	0.170923889514244	0.000432937916702745	0.0123820244176985	0.00242445233353537	8.6587583340549e-05	0.0138540133344878	0.000259762750021647	0.00086587583340549	0.00614771841717898	0	0.000606113083383843	0.00744653216728721	0	8.6587583340549e-05	0	0	0	0.000259762750021647	0	8.6587583340549e-05	0	0	0.000346350333362196	0	0	0	0	0	0	0	0	8.6587583340549e-05	0
0.239584437612636	0.70974239372416	0.000424043252411746	0.00752676773030849	0.00455846496342627	0.000424043252411746	0	0.00519452984204389	0.0043464433372204	0.00424043252411746	0	0.021732216686102	0	0	0.00106010813102937	0	0	0.000106010813102936	0.000742075691720556	0.000106010813102936	0.000106010813102936	0	0	0.000106010813102936	0	0	0	0	0	0	0	0	0	0
0.548342435197293	0.404353511268364	0.000307668640873779	0.00453811245288824	0.000153834320436889	0.0281516806399508	0	0.000923005922621337	0.00207676332589801	0.00130759172371356	0	0.00938389354665026	0	0	0.000307668640873779	0	0	0	0	0.000153834320436889	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.908367457312833	0.0692266089778259	0.000656725643204821	0.00544695974658116	0.00761029127713822	0.00193154600942594	0	0.000772618403770378	0.00112029668546705	0.000270416441319632	0.00374719925828633	0	0.000386309201885189	0	3.86309201885189e-05	3.86309201885189e-05	0	3.86309201885189e-05	0	0	0.000193154600942594	0	7.72618403770378e-05	0	3.86309201885189e-05	0	0	3.86309201885189e-05	0	0	0	0	0	0
0.927939093484419	0.0629868980169972	8.85269121813031e-05	0.000752478753541076	0.00199185552407932	0	4.42634560906516e-05	0	0.00225743626062323	0.00084100566572238	8.85269121813031e-05	0	0.00115084985835694	0	0	0	0	0	0	0	0.00181480169971671	0	0	4.42634560906516e-05	0	0	0	0	0	0	0	0	0	0
0.754910714285714	0.166964285714286	0	0.0133928571428571	0.0142857142857143	0.000892857142857143	0.00401785714285714	0	0.00803571428571428	0.00580357142857143	0.0303571428571429	0	0	0	0.000446428571428571	0	0	0	0	0.000446428571428571	0	0	0	0	0	0	0	0	0.000446428571428571	0	0	0	0	0
0.0636122680802726	0.301779628928436	0.190458159787959	0.387353275274517	0	0.00340780007572889	0.0011359333585763	0.0011359333585763	0.00567966679288148	0.0132525558500568	0	0.0102234002271867	0.000757288905717531	0	0.00795153351003408	0.00454373343430519	0	0.0011359333585763	0	0.00681560015145778	0.000757288905717531	0	0	0	0	0	0	0	0	0	0	0	0	0
0.390965225869353	0.571660708482288	0.0048748781280468	0.00942476438089048	0.00129996750081248	0.0008124796880078	0	0	0.00259993500162496	0.00292492687682808	0	0.0097497562560936	0.00389990250243744	0	0.00097497562560936	0	0.00064998375040624	0	0	0.00016249593760156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.818369880016549	0.103847745138602	0.00124120810922631	0.0281340504757964	0.000413736036408771	0.0148944973107158	0.00744724865535788	0	0.0148944973107158	0.00786098469176665	0	0.000413736036408771	0	0	0	0	0	0.000413736036408771	0	0.00124120810922631	0.000827472072817542	0	0	0	0	0	0	0	0	0	0	0	0	0
0.719489676011415	0.0955178781265738	0.0124223602484472	0.0100721839852275	0.129763303676347	0.0141010575793184	0	0.00184656706395837	0.00100721839852275	0.01342957864697	0	0.000503609199261373	0.000671478932348498	0.000167869733087124	0.000167869733087124	0	0	0.000167869733087124	0	0.000335739466174249	0	0	0.000167869733087124	0	0	0	0.000167869733087124	0	0	0	0	0	0	0
