"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"
3.45228648853819	2.86437690905599	2.21867068479915	1.15467350089788	0.506315617838346	0.34282546599042	0.293845070864126	0.257107749617534
3.5307625860168	3.07004611272071	2.67655590211276	2.17819937135856	1.80259776288425	1.59367621532996	1.47918208372248	1.34378353511935
3.34762078075876	2.85641237962498	2.39677190923731	1.71661846057904	1.11794885189367	0.815982153270418	0.700686996446325	0.613081200920911
3.39618483983861	2.63642652494942	1.80827698267231	0.736941397764293	0.300858922123056	0.203691274475558	0.174587935321107	0.15275950162912
3.22137270506679	2.46163742054281	1.65721877549578	0.670292670057279	0.278792800037749	0.189318391571931	0.162271369521203	0.141982933346756
3.77528648185468	3.32629264687262	2.86695673251641	2.07438931443918	1.37657135039896	1.09121619782063	0.963815123604898	0.844885403018273
3.72122563015315	3.34420964800654	2.98042749975631	2.36701589793932	1.67625259616539	1.26301246608498	1.08934110784608	0.953225678738593
3.45985929431074	2.97280291363065	2.53474767429205	1.95698316255167	1.51079671644507	1.2350734602468	1.07996295208845	0.945351056951184
3.53017676291862	2.90100957759593	2.18077017282282	1.01842130622687	0.409985565428357	0.2760025770605	0.236573273779827	0.207000860725394
3.63890108430769	3.04257845159484	2.40690497997739	1.43780841581087	0.798617773827327	0.566424237322247	0.485913587173686	0.425163652888754
3.52636052461616	3.07060455320653	2.65012747484576	2.06325429719437	1.59009398228569	1.31634545068968	1.16744444529492	1.02417383632367
3.15327006777021	2.35358368026828	1.55057723659512	0.649196775041576	0.291391415306703	0.199669651734503	0.171153264093708	0.149754555492801
3.755135249891	3.28931881210333	2.83646596946593	2.11956437417904	1.43386759600161	1.06532220924205	0.916243000612685	0.801694090389556
3.7321185251498	3.21440840600998	2.6876830173362	1.79999685613781	1.02238958979007	0.718823010459952	0.616534558357682	0.539463822629831
2.14914249575047	1.37558114369837	0.928471347435873	0.657457938942153	0.539508713875448	0.447799772458621	0.390523093367939	0.341778539231522
3.62979271165461	2.97859397481746	2.28772175302524	1.29904646276361	0.713745476660562	0.509249979666016	0.43706928828333	0.382424922846359
3.40510639815887	2.96960122733479	2.58736954756506	2.02512791318128	1.4298384973155	1.05611536717637	0.906882038193137	0.793505641371752
3.06152001409199	2.3199169381477	1.53884724825071	0.569554148526241	0.208994121830409	0.140258181749985	0.120220930988763	0.105192979342933
